field_key,src_table,label,abbreviation,dict_category,dict_unit,param_type,specimen,n_rows,n_keys,n_numeric,n_with_uom,unit_observed,p01,p50,p99,unit_recovery_rate,numeric_rate,dtype_inferred,coverage,missing_rate,obs_per_key
MCHC,eicu.lab,MCHC,,,,,,776967,105366,776957,776967,g/dL,28.9461,32.9862,36.0328,1.0,1.0,numeric,0.9556,0.0444,7.374
MCH,eicu.lab,MCH,,,,,,742184,100062,742179,742184,pg,22.0606,29.8412,35.9102,1.0,1.0,numeric,0.9075,0.0925,7.417
RDW,eicu.lab,RDW,,,,,,740729,102216,740727,740729,%,12.1835,15.1947,24.8578,1.0,1.0,numeric,0.9271,0.0729,7.247
anion gap,eicu.lab,anion gap,,,,,,726026,87344,725304,0,,2.0294,10.0,25.0606,0.0,0.999,numeric,0.7922,0.2078,8.312
Scores|Pain Score/Goal|Pain Goal,eicu.nurseCharting,Scores|Pain Score/Goal|Pain Goal,,,,,,690965,21436,690965,0,,0.0,0.0,5.0685,0.0,1.0,numeric,0.1944,0.8056,32.234
respFlowSettings|LPM O2,eicu.respiratoryCharting,respFlowSettings|LPM O2,,,,,,678041,31793,677665,0,,0.0,3.0,58.9535,0.0,0.9994,numeric,0.2884,0.7116,21.327
MPV,eicu.lab,MPV,,,,,,530081,72553,530075,530081,fL,6.6873,9.7296,12.9717,1.0,1.0,numeric,0.658,0.342,7.306
respFlowPtVentData|Mean Airway Pressure,eicu.respiratoryCharting,respFlowPtVentData|Mean Airway Pressure,,,,,,526795,19317,526795,0,,5.8855,10.9987,26.7974,0.0,1.0,numeric,0.1752,0.8248,27.271
respFlowPtVentData|Peak Insp. Pressure,eicu.respiratoryCharting,respFlowPtVentData|Peak Insp. Pressure,,,,,,519734,15497,519734,0,,9.7,23.0095,44.8085,0.0,1.0,numeric,0.1406,0.8594,33.538
Other Vital Signs and Infusions|Pain Assessment|Value,eicu.nurseCharting,Other Vital Signs and Infusions|Pain Assessment|Value,,,,,,514651,9399,0,0,,,,,0.0,0.0,categorical,0.0852,0.9148,54.756
Other Vital Signs and Infusions|MAP (mmHg)|Value,eicu.nurseCharting,Other Vital Signs and Infusions|MAP (mmHg)|Value,,,,,,491447,5026,491447,0,,53.3715,85.909,137.775,0.0,1.0,numeric,0.0456,0.9544,97.781
magnesium,eicu.lab,magnesium,,,,,,466661,85597,466614,466661,mg/dL,1.1722,1.9999,3.1515,1.0,0.9999,numeric,0.7763,0.2237,5.452
respFlowPtVentData|Exhaled MV,eicu.respiratoryCharting,respFlowPtVentData|Exhaled MV,,,,,,443278,17166,443278,0,,4.0289,9.6463,590.2444,0.0,1.0,numeric,0.1557,0.8443,25.823
-lymphs,eicu.lab,-lymphs,,,,,,441455,88243,441440,441455,%,0.9997,11.2804,50.6764,1.0,1.0,numeric,0.8003,0.1997,5.003
-monos,eicu.lab,-monos,,,,,,438053,87548,438040,438053,%,0.6935,7.6089,19.6899,1.0,1.0,numeric,0.794,0.206,5.004
Other Vital Signs and Infusions|Arterial Line MAP (mmHg)|Value,eicu.nurseCharting,Other Vital Signs and Infusions|Arterial Line MAP (mmHg)|Value,,,,,,429465,4309,429465,0,,48.7305,77.2985,128.3382,0.0,1.0,numeric,0.0391,0.9609,99.667
Scores|Sedation Scale/Score/Goal|Sedation Goal,eicu.nurseCharting,Scores|Sedation Scale/Score/Goal|Sedation Goal,,,,,,413729,12139,413729,0,,-5.0,0.0,0.0346,0.0,1.0,numeric,0.1101,0.8899,34.083
-eos,eicu.lab,-eos,,,,,,409984,87289,409960,409984,%,0.0,1.0,10.4508,1.0,0.9999,numeric,0.7917,0.2083,4.697
-basos,eicu.lab,-basos,,,,,,392183,85067,385059,392183,%,0.0,0.0407,1.9665,1.0,0.9818,numeric,0.7715,0.2285,4.61
-polys,eicu.lab,-polys,,,,,,390987,80058,390982,390987,%,15.8236,76.9125,95.8138,1.0,1.0,numeric,0.7261,0.2739,4.884
Other Vital Signs and Infusions|Pulse Ox  Mode|Value,eicu.nurseCharting,Other Vital Signs and Infusions|Pulse Ox  Mode|Value,,,,,,387408,7245,0,0,,,,,0.0,0.0,categorical,0.0657,0.9343,53.472
respFlowCareData|O2 Device,eicu.respiratoryCharting,respFlowCareData|O2 Device,,,,,,376970,4198,0,0,,,,,0.0,0.0,categorical,0.0381,0.9619,89.798
Other Vital Signs and Infusions|Level of Assistance|Value,eicu.nurseCharting,Other Vital Signs and Infusions|Level of Assistance|Value,,,,,,361573,7244,0,0,,,,,0.0,0.0,categorical,0.0657,0.9343,49.913
respFlowPtVentData|Exhaled TV (patient),eicu.respiratoryCharting,respFlowPtVentData|Exhaled TV (patient),,,,,,360218,17225,360218,0,,0.3853,500.2707,1006.0724,0.0,1.0,numeric,0.1562,0.8438,20.913
respFlowPtVentData|Exhaled TV (machine),eicu.respiratoryCharting,respFlowPtVentData|Exhaled TV (machine),,,,,,357188,11280,357188,0,,34.7119,488.5815,954.8,0.0,1.0,numeric,0.1023,0.8977,31.666
albumin,eicu.lab,albumin,,,,,,356149,88604,355875,356149,g/dL,1.2675,2.7579,4.5026,1.0,0.9992,numeric,0.8036,0.1964,4.02
Other Vital Signs and Infusions|Best Motor Response|Value,eicu.nurseCharting,Other Vital Signs and Infusions|Best Motor Response|Value,,,,,,343941,10417,123471,0,,1.0,6.0,6.0,0.0,0.359,mixed,0.0945,0.9055,33.017
Other Vital Signs and Infusions|Best Verbal Response|Value,eicu.nurseCharting,Other Vital Signs and Infusions|Best Verbal Response|Value,,,,,,343683,10417,123493,0,,1.0,4.0,5.0,0.0,0.3593,mixed,0.0945,0.9055,32.993
Other Vital Signs and Infusions|P.O.|Value,eicu.nurseCharting,Other Vital Signs and Infusions|P.O.|Value,,,,,,338714,16146,338714,0,,0.0,195.6481,780.1221,0.0,1.0,numeric,0.1464,0.8536,20.978
paO2,eicu.lab,paO2,,,,,,328557,59148,326677,328557,mm Hg,36.0257,96.0707,485.4202,1.0,0.9943,numeric,0.5365,0.4635,5.555
paCO2,eicu.lab,paCO2,,,,,,324889,58549,323765,324889,mm Hg,20.8248,40.6993,95.1372,1.0,0.9965,numeric,0.531,0.469,5.549
pH,eicu.lab,pH,,,,,,322260,57966,321673,0,,7.0479,7.3808,7.5625,0.0,0.9982,numeric,0.5257,0.4743,5.559
respFlowPtVentData|SaO2,eicu.respiratoryCharting,respFlowPtVentData|SaO2,,,,,,311461,22331,311461,0,,87.3771,97.0,100.0,0.0,1.0,numeric,0.2025,0.7975,13.947
respFlowSettings|Pressure Support,eicu.respiratoryCharting,respFlowSettings|Pressure Support,,,,,,308771,18033,308771,0,,0.0,9.997,22.6728,0.0,1.0,numeric,0.1636,0.8364,17.123
phosphate,eicu.lab,phosphate,,,,,,307142,60248,306890,307142,mg/dL,1.1031,3.1999,8.5727,1.0,0.9992,numeric,0.5464,0.4536,5.098
HCO3,eicu.lab,HCO3,,,,,,307115,56185,306992,307115,mmol/L,9.2246,23.9916,44.654,1.0,0.9996,numeric,0.5096,0.4904,5.466
AST (SGOT),eicu.lab,AST (SGOT),,,,,,306669,86982,306296,306669,Units/L,7.9973,31.3906,2267.6274,1.0,0.9988,numeric,0.7889,0.2111,3.526
ALT (SGPT),eicu.lab,ALT (SGPT),,,,,,304916,86504,302364,304916,Units/L,6.0,29.019,1771.9281,1.0,0.9916,numeric,0.7846,0.2154,3.525
total protein,eicu.lab,total protein,,,,,,303629,86062,303590,303629,g/dL,3.6853,5.9984,8.6303,1.0,0.9999,numeric,0.7806,0.2194,3.528
alkaline phos.,eicu.lab,alkaline phos.,,,,,,303220,85780,303203,303220,Units/L,30.7875,86.2908,603.4902,1.0,0.9999,numeric,0.778,0.222,3.535
Other Vital Signs and Infusions|Best Eye Response|Value,eicu.nurseCharting,Other Vital Signs and Infusions|Best Eye Response|Value,,,,,,299727,7200,93266,0,,1.0,4.0,4.0,0.0,0.3112,mixed,0.0653,0.9347,41.629
total bilirubin,eicu.lab,total bilirubin,,,,,,299538,84422,298041,299538,mg/dL,0.1989,0.6692,20.4006,1.0,0.995,numeric,0.7657,0.2343,3.548
PT - INR,eicu.lab,PT - INR,,,,,,285576,80596,285118,285576,ratio,0.9,1.3002,5.8644,1.0,0.9984,numeric,0.731,0.269,3.543
Other Vital Signs and Infusions|Mental Status Assessment|Value,eicu.nurseCharting,Other Vital Signs and Infusions|Mental Status Assessment|Value,,,,,,285142,7252,0,0,,,,,0.0,0.0,categorical,0.0658,0.9342,39.319
FiO2,eicu.lab,FiO2,,,,,,278442,58390,264967,278442,%,0.2946,40.458,100.0,1.0,0.9516,numeric,0.5296,0.4704,4.769
PT,eicu.lab,PT,,,,,,275975,78537,275550,275975,sec,10.0685,15.5243,58.5209,1.0,0.9985,numeric,0.7123,0.2877,3.514
respFlowPtVentData|Plateau Pressure,eicu.respiratoryCharting,respFlowPtVentData|Plateau Pressure,,,,,,275644,16701,275644,0,,0.0,19.9109,38.9295,0.0,1.0,numeric,0.1515,0.8485,16.505
Other Vital Signs and Infusions|RASS|Value,eicu.nurseCharting,Other Vital Signs and Infusions|RASS|Value,,,,,,271697,4218,271697,0,,-5.0,0.0,2.0,0.0,1.0,numeric,0.0383,0.9617,64.414
O2 Sat (%),eicu.lab,O2 Sat (%),,,,,,263112,50646,261182,263112,%,59.8182,96.9998,100.0,1.0,0.9927,numeric,0.4593,0.5407,5.195
Other Vital Signs and Infusions|Patient s Comfort/Function (Pain) GOAL At Rest|Value,eicu.nurseCharting,Other Vital Signs and Infusions|Patient s Comfort/Function (Pain) GOAL At Rest|Value,,,,,,262992,6881,262992,0,,0.0,2.0,7.779,0.0,1.0,numeric,0.0624,0.9376,38.22
Other Vital Signs and Infusions|Respiratory Assessment|Value,eicu.nurseCharting,Other Vital Signs and Infusions|Respiratory Assessment|Value,,,,,,262332,7253,0,0,,,,,0.0,0.0,categorical,0.0658,0.9342,36.169
Base Excess,eicu.lab,Base Excess,,,,,,255811,47784,255315,255811,mEq/L,-17.7948,0.2308,17.7964,1.0,0.9981,numeric,0.4334,0.5666,5.353
Other Vital Signs and Infusions|Neurological Assessment|Value,eicu.nurseCharting,Other Vital Signs and Infusions|Neurological Assessment|Value,,,,,,252242,7255,0,0,,,,,0.0,0.0,categorical,0.0658,0.9342,34.768
Other Vital Signs and Infusions|CV/ PV Assessment|Value,eicu.nurseCharting,Other Vital Signs and Infusions|CV/ PV Assessment|Value,,,,,,246870,7253,0,0,,,,,0.0,0.0,categorical,0.0658,0.9342,34.037
Other Vital Signs and Infusions|Gastrointestinal Assessment|Value,eicu.nurseCharting,Other Vital Signs and Infusions|Gastrointestinal Assessment|Value,,,,,,242307,7253,0,0,,,,,0.0,0.0,categorical,0.0658,0.9342,33.408
Other Vital Signs and Infusions|Genitourinary Assessment|Value,eicu.nurseCharting,Other Vital Signs and Infusions|Genitourinary Assessment|Value,,,,,,238724,7252,0,0,,,,,0.0,0.0,categorical,0.0658,0.9342,32.918
Other Vital Signs and Infusions|Integumentary Assessment|Value,eicu.nurseCharting,Other Vital Signs and Infusions|Integumentary Assessment|Value,,,,,,237993,7253,0,0,,,,,0.0,0.0,categorical,0.0658,0.9342,32.813
Other Vital Signs and Infusions|Musculoskeletal Assessment|Value,eicu.nurseCharting,Other Vital Signs and Infusions|Musculoskeletal Assessment|Value,,,,,,232758,7252,0,0,,,,,0.0,0.0,categorical,0.0658,0.9342,32.096
"Other Vital Signs and Infusions|Eye, Ear, Nose, Throat Assessment|Value",eicu.nurseCharting,"Other Vital Signs and Infusions|Eye, Ear, Nose, Throat Assessment|Value",,,,,,230629,7250,0,0,,,,,0.0,0.0,categorical,0.0658,0.9342,31.811
respFlowSettings|Flow Sensitivity,eicu.respiratoryCharting,respFlowSettings|Flow Sensitivity,,,,,,226274,7375,226274,0,,-0.2805,3.0,5.0,0.0,1.0,numeric,0.0669,0.9331,30.681
Scores|Delirium Scale/Score|Delirium Score,eicu.nurseCharting,Scores|Delirium Scale/Score|Delirium Score,,,,,,220689,18601,8003,0,,0.0,0.0,7.0,0.0,0.0363,categorical,0.1687,0.8313,11.864
Scores|Delirium Scale/Score|Delirium Scale,eicu.nurseCharting,Scores|Delirium Scale/Score|Delirium Scale,,,,,,220630,18581,0,0,,,,,0.0,0.0,categorical,0.1685,0.8315,11.874
Other Vital Signs and Infusions|SpO2|Value,eicu.nurseCharting,Other Vital Signs and Infusions|SpO2|Value,,,,,,214678,2275,214678,0,,86.2483,98.0,100.0,0.0,1.0,numeric,0.0206,0.9794,94.364
Propofol (ml/hr),eicu.infusionDrug,Propofol (ml/hr),,,,,,213134,5931,213131,0,,0.0,14.0089,163.7169,0.0,1.0,numeric,0.0538,0.9462,35.936
cardiacinput,eicu.vitalAperiodic,cardiacinput,,,,,,211192,3112,211192,0,,0.0,0.0,143.4782,0.0,1.0,numeric,0.0282,0.9718,67.864
PTT,eicu.lab,PTT,,,,,,207733,62738,204648,207733,sec,21.419,37.1398,148.2146,1.0,0.9851,numeric,0.569,0.431,3.311
Fentanyl (ml/hr),eicu.infusionDrug,Fentanyl (ml/hr),,,,,,206395,3196,206394,0,,0.0067,7.4995,59.232,0.0,1.0,numeric,0.029,0.971,64.579
Other Vital Signs and Infusions|Score (Glasgow Coma Scale)|Value,eicu.nurseCharting,Other Vital Signs and Infusions|Score (Glasgow Coma Scale)|Value,,,,,,205976,5157,205976,0,,3.0,14.0,15.0,0.0,1.0,numeric,0.0468,0.9532,39.941
Insulin (units/hr),eicu.infusionDrug,Insulin (units/hr),,,,,,199486,4579,199481,0,,0.0,2.0,17.7924,0.0,1.0,numeric,0.0415,0.9585,43.565
svri,eicu.vitalAperiodic,svri,,,,,,197887,3109,197887,0,,361.3187,1819.4279,4388.7328,0.0,1.0,numeric,0.0282,0.9718,63.65
Fentanyl (mcg/hr),eicu.infusionDrug,Fentanyl (mcg/hr),,,,,,194509,3246,194508,0,,0.0,74.6744,399.0849,0.0,1.0,numeric,0.0294,0.9706,59.923
Invasive|PA|PA Diastolic,eicu.nurseCharting,Invasive|PA|PA Diastolic,,,,,,193676,2917,193676,0,,4.8608,18.3089,40.7192,0.0,1.0,numeric,0.0265,0.9735,66.396
Invasive|PA|PA Systolic,eicu.nurseCharting,Invasive|PA|PA Systolic,,,,,,193531,2919,193531,0,,17.0616,35.997,80.575,0.0,1.0,numeric,0.0265,0.9735,66.3
Other Vital Signs and Infusions|Symptoms of Delirium Present|Value,eicu.nurseCharting,Other Vital Signs and Infusions|Symptoms of Delirium Present|Value,,,,,,191207,5925,0,0,,,,,0.0,0.0,categorical,0.0537,0.9463,32.271
Other Vital Signs and Infusions|Eye Opening|Value,eicu.nurseCharting,Other Vital Signs and Infusions|Eye Opening|Value,,,,,,188944,7432,188944,0,,1.0,4.0,4.0,0.0,1.0,numeric,0.0674,0.9326,25.423
