src_table,field_key,label,abbreviation,dict_category,unit_observed,dtype_inferred,p01,p50,p99,n_rows,n_keys,coverage,concept,method,note
eicu.nurseCharting,Other Vital Signs and Infusions|RASS|Value,Other Vital Signs and Infusions|RASS|Value,,,,numeric,-5.0,0.0,2.0,271697,4218,0.0383,,,
eicu.nurseCharting,Other Vital Signs and Infusions|SpO2|Value,Other Vital Signs and Infusions|SpO2|Value,,,,numeric,86.3041,98.0,100.0,214678,2275,0.0206,,,
eicu.nurseCharting,Other Vital Signs and Infusions|Score (Glasgow Coma Scale)|Value,Other Vital Signs and Infusions|Score (Glasgow Coma Scale)|Value,,,,numeric,3.0,14.0,15.0,205976,5157,0.0468,,,
eicu.nurseCharting,Invasive|PA|PA Diastolic,Invasive|PA|PA Diastolic,,,,numeric,4.861,18.3247,40.8265,193676,2917,0.0265,,,
eicu.nurseCharting,Invasive|PA|PA Systolic,Invasive|PA|PA Systolic,,,,numeric,16.9874,35.9962,80.6672,193531,2919,0.0265,,,
eicu.nurseCharting,Invasive|PA|PA Mean,Invasive|PA|PA Mean,,,,numeric,10.4209,25.2298,52.4693,181703,2666,0.0242,,,
eicu.nurseCharting,Other Vital Signs and Infusions|Pain Present|Value,Other Vital Signs and Infusions|Pain Present|Value,,,,categorical,,,,168481,3556,0.0323,,,
eicu.nurseCharting,Vital Signs|End Tidal CO2|End Tidal CO2,Vital Signs|End Tidal CO2|End Tidal CO2,,,,numeric,1.6121,31.0692,57.1741,158788,5149,0.0467,,,
eicu.nurseCharting,Other Vital Signs and Infusions|CVP (mmHg)|Value,Other Vital Signs and Infusions|CVP (mmHg)|Value,,,,numeric,0.2098,11.2699,269.3744,144218,1865,0.0169,,,
eicu.nurseCharting,Invasive|CI|CI,Invasive|CI|CI,,,,numeric,1.2607,2.5157,5.1168,143771,4393,0.0398,,,
eicu.nurseCharting,Other Vital Signs and Infusions|SEDATION SCORE|Value,Other Vital Signs and Infusions|SEDATION SCORE|Value,,,,numeric,-5.0,-1.0,2.0,129960,3924,0.0356,,,
eicu.nurseCharting,Invasive|SVR|SVR,Invasive|SVR|SVR,,,,numeric,383.5343,999.7765,2565.4657,77829,3255,0.0295,,,
eicu.nurseCharting,Invasive|CO|CO,Invasive|CO|CO,,,,numeric,2.2027,5.0405,11.6272,75050,2634,0.0239,,,
eicu.nurseCharting,SVO2|SVO2|SVO2,SVO2|SVO2|SVO2,,,,numeric,32.3948,64.8495,90.7613,61493,1311,0.0119,,,
eicu.nurseCharting,Scores|Fall Risk|Fall Risk,Scores|Fall Risk|Fall Risk,,,,categorical,,,,53841,5277,0.0479,,,
eicu.nurseCharting,Vital Signs|PA|PA Mean,Vital Signs|PA|PA Mean,,,,numeric,10.553,24.6988,51.8894,26828,2298,0.0208,,,
eicu.nurseCharting,Vital Signs|PA|PA Diastolic,Vital Signs|PA|PA Diastolic,,,,numeric,5.6858,18.0,39.455,26675,2289,0.0208,,,
eicu.nurseCharting,Vital Signs|PA|PA Systolic,Vital Signs|PA|PA Systolic,,,,numeric,16.3962,34.9577,80.1377,26640,2278,0.0207,,,
eicu.nurseCharting,Vital Signs and Infusions|Electrolyte Replacement|Electrolyte Replacement,Vital Signs and Infusions|Electrolyte Replacement|Electrolyte Replacement,,,,categorical,,,,22344,5418,0.0491,,,
eicu.nurseCharting,Invasive|SVRI|SVRI,Invasive|SVRI|SVRI,,,,numeric,817.0882,2029.6388,4652.9225,21462,1131,0.0103,,,
eicu.nurseCharting,ECG|ECG (secs)|QRS,ECG|ECG (secs)|QRS,,,,numeric,0.04,0.08,0.2112,15620,2813,0.0255,,,
eicu.nurseCharting,ECG|ECG (secs)|PR,ECG|ECG (secs)|PR,,,,numeric,0.0771,0.16,0.279,14096,2594,0.0235,,,
eicu.nurseCharting,ECG|ECG (secs)|QT,ECG|ECG (secs)|QT,,,,numeric,0.1797,0.36,0.5195,13270,2619,0.0238,,,
eicu.nurseCharting,Vital Signs|SV|SV,Vital Signs|SV|SV,,,,numeric,27.0354,61.5026,128.9792,12148,1307,0.0119,,,
eicu.nurseCharting,ECG|ECG (secs)|QTc,ECG|ECG (secs)|QTc,,,,numeric,0.2899,0.4204,437.4421,5700,1324,0.012,,,
eicu.respiratoryCharting,respFlowCareData|O2 Device,respFlowCareData|O2 Device,,,,categorical,,,,376970,4198,0.0381,,,
eicu.respiratoryCharting,respFlowCareData|FIO2 (%),respFlowCareData|FIO2 (%),,,,numeric,22.0312,40.0,100.0,115003,1521,0.0138,,,
eicu.respiratoryCharting,respFlowSettings|PEEP/CPAP,respFlowSettings|PEEP/CPAP,,,,numeric,4.9603,5.0,15.2509,104183,4143,0.0376,,,
eicu.respiratoryCharting,respFlowSettings|Peak Flow,respFlowSettings|Peak Flow,,,,numeric,0.0,60.0,97.887,88664,5054,0.0458,,,
eicu.respiratoryCharting,respFlowSettings|Pressure Control,respFlowSettings|Pressure Control,,,,numeric,0.0,17.7107,35.0365,65593,2066,0.0187,,,
eicu.respiratoryCharting,respFlowCareData|RT Vent On/Off,respFlowCareData|RT Vent On/Off,,,,categorical,,,,48838,2032,0.0184,,,
eicu.respiratoryCharting,respFlowSettings|Pressure to Trigger PS,respFlowSettings|Pressure to Trigger PS,,,,numeric,-2.0,2.0,8.0,42019,1957,0.0177,,,
eicu.respiratoryCharting,respFlowCareData|Tidal Volume Observed (VT),respFlowCareData|Tidal Volume Observed (VT),,,,numeric,223.7028,450.1936,841.4172,41623,1984,0.018,,,
eicu.respiratoryCharting,respFlowSettings|CPAP,respFlowSettings|CPAP,,,,numeric,3.4691,5.0,15.9747,20181,2441,0.0221,,,
eicu.respiratoryCharting,respFlowCareData|Head of Bed Elevated,respFlowCareData|Head of Bed Elevated,,,,categorical,,,,16675,1216,0.011,,,
eicu.vitalAperiodic,svr,svr,,,,numeric,375.0269,980.0439,2312.2227,1334428,3838,0.0348,,,
eicu.vitalAperiodic,cardiacoutput,cardiacoutput,,,,numeric,0.0,4.4949,9.3881,1056392,4208,0.0382,,,
eicu.vitalAperiodic,cardiacinput,cardiacinput,,,,numeric,0.0,0.0,151.1592,211192,3112,0.0282,,,
eicu.vitalAperiodic,svri,svri,,,,numeric,340.9791,1819.2876,4368.0767,197887,3109,0.0282,,,
eicu.vitalAperiodic,paop,paop,,,,numeric,5.0,17.0,40.0,30155,1613,0.0146,,,
eicu.vitalAperiodic,pvr,pvr,,,,numeric,-62.7517,110.2925,649.0336,16010,1471,0.0133,,,
eicu.vitalAperiodic,pvri,pvri,,,,numeric,-126.2134,216.4736,1057.6875,15916,1451,0.0132,,,
eicu.vitalPeriodic,icp,icp,,,,numeric,-10.4272,7.0,35.6748,2326951,1319,0.012,,,
