src_table,field_key,label,abbreviation,dict_category,unit_observed,dtype_inferred,p01,p50,p99,n_rows,n_keys,coverage,concept,method,note
mimiciv.icu.chartevents,228374,Stroke Volume (SV NICOM),Stroke Volume (SV NICOM),NICOM,mL/beat,numeric,19.3682,60.2753,150.0844,4679,617,0.017,,,
mimiciv.icu.chartevents,225984,IABP Trigger,IABP Trigger,Access Lines - Invasive,,categorical,,,,4675,540,0.0149,,,
mimiciv.icu.chartevents,225980,IABP Volume,IABP Volume,Access Lines - Invasive,mL,numeric,28.0,40.0,48.9929,4670,542,0.0149,,,
mimiciv.icu.chartevents,228603,Impaired Skin #4- Dressing Status,Impaired Skin #4- Dressing Status,Skin - Impairment,,categorical,,,,4605,737,0.0203,,,
mimiciv.icu.chartevents,220507,Activated Clotting Time,ACT,Labs,,numeric,105.127,187.0531,304.2769,4601,1125,0.031,,,
mimiciv.icu.chartevents,223797,Sensory Level,Sensory Level,Pain/Sedation,,categorical,,,,4583,418,0.0115,,,
mimiciv.icu.chartevents,227674,Face to Face Eval (Non-Violent),Face to Face Eval (Non-Violent),Restraint/Support Systems,,categorical,,,,4525,363,0.01,,,
mimiciv.icu.chartevents,224803,AV Fistula L Bruit,AV Fistula L Bruit,Cardiovascular,,categorical,,,,4502,501,0.0138,,,
mimiciv.icu.chartevents,227133,Small Volume Neb Drug #2,SV Neb Drug #2,Respiratory,,categorical,,,,4498,1224,0.0337,,,
mimiciv.icu.chartevents,228754,Pressure ulcer #2- Drainage,Pressure ulcer #2- Drainage,Skin - Impairment,,categorical,,,,4485,949,0.0261,,,
mimiciv.icu.chartevents,224804,AV Fistula L Thrill,AV Fistula L Thrill,Cardiovascular,,categorical,,,,4453,504,0.0139,,,
mimiciv.icu.chartevents,227717,Cerebral Perfusion Pressure Alarm - Low,CPP Alarm - Low,Alarms,mmHg,numeric,16.7717,60.0,71.6042,4380,552,0.0152,,,
mimiciv.icu.chartevents,228541,Pressure Ulcer #3- Treatment,Pressure Ulcer #3- Treatment,Skin - Impairment,,categorical,,,,4373,507,0.014,,,
mimiciv.icu.chartevents,226117,Sheath placed in outside facility,Sheath placed in outside facility,Access Lines - Invasive,,numeric,0.0,0.0,1.0,4339,765,0.0211,,,
mimiciv.icu.chartevents,227716,Cerebral Perfusion Pressure Alarm - High,CPP Alarm - High,Alarms,mmHg,numeric,78.9846,130.0,160.0,4244,541,0.0149,,,
mimiciv.icu.chartevents,227754,IABP Placement Confirmed by X-ray,IABP Placement Confirmed by X-ray,Access Lines - Invasive,,categorical,,,,4136,487,0.0134,,,
mimiciv.icu.chartevents,227728,AVA Line Site Appear,AVA Line Site Appear,Access Lines - Invasive,,categorical,,,,4113,371,0.0102,,,
mimiciv.icu.chartevents,227582,BiPap O2 Flow,BiPap O2 Flow,Respiratory,L/min,numeric,0.0366,6.0,36.1106,4082,1079,0.0297,,,
mimiciv.icu.chartevents,227461,Phenytoin (Dilantin),Phenytoin (Dilantin),Labs,ug/mL,numeric,1.2667,10.8279,25.7097,3983,1065,0.0293,,,
mimiciv.icu.chartevents,229330,Activity Intolerance  NCP - Interventions,AI NCP - Interventions,Care Plans,,categorical,,,,3953,673,0.0185,,,
mimiciv.icu.chartevents,229140,Substance withdrawal NCP - Plan revised,Substance withdrawal NCP - Plan revised,Care Plans,,categorical,,,,3945,1088,0.0299,,,
mimiciv.icu.chartevents,229706,CP-Pain Assessment Method-Post,CP-Pain Assessment Method-Post,Pain/Sedation,,categorical,,,,3920,666,0.0183,,,
mimiciv.icu.chartevents,229150,Palliative Care NCP - Expected outcomes,Palliative Care NCP - Expected outcomes,Care Plans,,categorical,,,,3897,556,0.0153,,,
mimiciv.icu.chartevents,228376,Stroke Volume Variation (SVV NICOM),Stroke Volume Variation (SVI NICOM),NICOM,,numeric,4.2114,16.0,30.4699,3879,530,0.0146,,,
mimiciv.icu.chartevents,223963,Temporary Pacemaker Wires Ground,Temp Pacemaker Wires Ground,Cardiovascular (Pacer Data),,numeric,0.0,0.0,2.0,3874,627,0.0173,,,
mimiciv.icu.chartevents,225729,Multi Lumen Line Tip Cultured,Multi Lumen Line Tip Cultured,Access Lines - Invasive,,numeric,0.0,0.0,1.0,3867,1623,0.0447,,,
mimiciv.icu.chartevents,228420,Compression device # 2,Compression device # 2,Cardiovascular,,categorical,,,,3845,640,0.0176,,,
mimiciv.icu.chartevents,229505,Surgibra,Surgibra,Treatments,,numeric,0.5536,1.0,1.0,3825,542,0.0149,,,
mimiciv.icu.chartevents,225228,CCO PAC Zero/Calibrate,CCO PAC Zero/Calibrate,Access Lines - Invasive,,numeric,0.0,1.0,1.0,3806,1011,0.0278,,,
mimiciv.icu.chartevents,227723,AVA Dressing Occlusive,AVA Dressing Occlusive,Access Lines - Invasive,,numeric,0.0,1.0,1.0,3774,372,0.0102,,,
mimiciv.icu.chartevents,228520,Impaired Skin #3- Cleanse,Impaired Skin #3- Cleanse,Skin - Impairment,,categorical,,,,3747,1225,0.0337,,,
mimiciv.icu.chartevents,229148,Metabolic disturbance NCP - Problem resolved,Metabolic disturbance NCP - Problem resolved,Care Plans,,categorical,,,,3716,503,0.0138,,,
mimiciv.icu.chartevents,226846,Feeding Weight,Feeding Weight,General,kg,numeric,0.0,68.485,115.2557,3664,1625,0.0447,,,
mimiciv.icu.chartevents,223771,PCWP,PCWP,Hemodynamics,mmHg,numeric,6.4768,18.0,43.3415,3643,535,0.0147,,,
mimiciv.icu.chartevents,228296,PCA concentrations,PCA concentrations,Pain/Sedation,,categorical,,,,3623,1163,0.032,,,
mimiciv.icu.chartevents,224410,PCA bolus,PCA bolus,Pain/Sedation,,numeric,0.0,0.0,12.4095,3576,704,0.0194,,,
mimiciv.icu.chartevents,227583,Autoset/CPAP,Autoset/CPAP,Respiratory,,categorical,,,,3481,1135,0.0312,,,
mimiciv.icu.chartevents,224418,Cuff Volume (mL),Cuff Volume (mL),Respiratory,mL,numeric,0.0,6.0,29.8995,3350,1159,0.0319,,,
mimiciv.icu.chartevents,228567,Incision #3- Cleanse,Incision #3- Cleanse,Skin - Incisions,,categorical,,,,3344,1119,0.0308,,,
mimiciv.icu.chartevents,227365,14 Gauge Dressing Occlusive,14 Gauge Dressing Occlusive,Access Lines - Peripheral,,numeric,0.0,1.0,1.0,3308,409,0.0113,,,
mimiciv.icu.chartevents,226135,14 Gauge placed in outside facility,14 Gauge placed in outside facility,Access Lines - Peripheral,,numeric,0.0,0.0,1.0,3251,406,0.0112,,,
mimiciv.icu.chartevents,225695,Uric Acid,Uric Acid,Labs,mg/dL,numeric,0.4393,4.8295,15.1453,3248,1009,0.0278,,,
mimiciv.icu.chartevents,224845,Permanent Pacemaker Rate,Permanent Pacemaker Rate,Cardiovascular (Pacer Data),/min,numeric,0.0,60.0,90.4655,3246,540,0.0149,,,
mimiciv.icu.chartevents,227444,C Reactive Protein (CRP),C Reactive Protein (CRP),Labs,mg/L,numeric,0.7196,85.2605,299.9765,3206,1742,0.0479,,,
mimiciv.icu.chartevents,228709,Respiratory,Respiratory,MD Progress Note,,categorical,,,,3202,531,0.0146,,,
mimiciv.icu.chartevents,229032,HEENT,HEENT,MD Progress Note,,categorical,,,,3148,530,0.0146,,,
mimiciv.icu.chartevents,228300,CAM-ICU MS change,CAM-ICU MS change,Pain/Sedation,,categorical,,,,3124,696,0.0192,,,
mimiciv.icu.chartevents,227962,Restraints (Violent),Restraints (Violent),Restraint/Support Systems,,categorical,,,,3083,462,0.0127,,,
mimiciv.icu.chartevents,227356,Sheath Line Dressing Occlusive,Sheath Line Dressing Occlusive,Access Lines - Invasive,,numeric,0.0,1.0,1.0,3057,584,0.0161,,,
mimiciv.icu.chartevents,228764,Pressure ulcer #2- Drainage amount,Pressure ulcer #2- Drainage amount,Skin - Impairment,,categorical,,,,2928,745,0.0205,,,
mimiciv.icu.chartevents,229123,Elimination NCP - Plan revised,Elimination NCP - Plan revised,Care Plans,,categorical,,,,2922,742,0.0204,,,
mimiciv.icu.chartevents,228343,OCAT - Lips Tongue Gums Palate,OCAT - LTGP,Treatments,,numeric,1.0,1.0,4.0,2811,1121,0.0308,,,
mimiciv.icu.chartevents,224716,SBT Stopped,SBT Stopped,Respiratory,,categorical,,,,2808,1368,0.0376,,,
mimiciv.icu.chartevents,228346,OCAT - Teeth,OCAT - Teeth,Treatments,,numeric,1.0,1.0,3.0,2801,1119,0.0308,,,
mimiciv.icu.chartevents,229636,Test Performed (AM-PAC),Test Performed (AM-PAC),Treatments,,categorical,,,,2793,1635,0.045,,,
mimiciv.icu.chartevents,223966,Transcutaneous Pacer Placement,Transcutaneous Pacer Placement,Cardiovascular (Pacer Data),,categorical,,,,2782,435,0.012,,,
mimiciv.icu.chartevents,228344,"OCAT - Saliva secretions, Voice quality",OCAT - SSVQ,Treatments,,numeric,1.0,1.0,4.0,2782,1116,0.0307,,,
mimiciv.icu.chartevents,228345,OCAT - Swallow,OCAT - Swallow,Treatments,,numeric,1.0,1.0,4.0,2777,1116,0.0307,,,
mimiciv.icu.chartevents,225770,Sheath Waveform Appear,Sheath Waveform Appear,Access Lines - Invasive,,categorical,,,,2760,470,0.0129,,,
mimiciv.icu.chartevents,225636,D-Dimer,D-Dimer,Labs,ng/mL,numeric,215.0,2097.5989,20727.912,2693,951,0.0262,,,
mimiciv.icu.chartevents,229638,Discharge Recommendations (AM-PAC),Discharge Recommendations (AM-PAC),Treatments,,categorical,,,,2692,1615,0.0444,,,
mimiciv.icu.chartevents,227187,Pinsp (Draeger only),Pinsp (Draeger only),Respiratory,cmH2O,numeric,0.0317,28.0,45.3791,2690,427,0.0118,,,
mimiciv.icu.chartevents,227686,Central Venous O2% Sat,Central Venous O2% Sat,Labs,%,numeric,32.9257,69.7119,97.0,2689,1577,0.0434,,,
mimiciv.icu.chartevents,225772,Sheath Size,Sheath Size,Access Lines - Invasive,,categorical,,,,2628,497,0.0137,,,
mimiciv.icu.chartevents,226499,Hemodialysis Output,Hemodialysis Output,Dialysis,mL,numeric,0.0,1731.5599,4752.4554,2430,1017,0.028,,,
mimiciv.icu.chartevents,229633,Basic Mobility (AM-PAC),Basic Mobility (AM-PAC),Treatments,,numeric,16.59,30.0764,57.68,2424,1543,0.0425,,,
mimiciv.icu.chartevents,228805,Pressure ulcer #3- Dressing status,Pressure ulcer #3- Dressing status,Skin - Impairment,,categorical,,,,2414,393,0.0108,,,
mimiciv.icu.chartevents,223925,Seizure Duration,Seizure Duration,Neurological,,categorical,,,,2401,633,0.0174,,,
mimiciv.icu.chartevents,228604,Impaired Skin #5- Dressing Status,Impaired Skin #5- Dressing Status,Skin - Impairment,,categorical,,,,2346,387,0.0106,,,
