src_table,field_key,label,abbreviation,dict_category,unit_observed,dtype_inferred,p01,p50,p99,n_rows,n_keys,coverage,concept,method,note
mimiciii.CHARTEVENTS,220227,Arterial O2 Saturation,SaO2,Labs,%,numeric,84.8575,97.0,99.0,4686,650,0.034,,,
mimiciii.CHARTEVENTS,8463,Pressure Sore #1 [Length],,,,categorical,,,,4495,780,0.0408,,,
mimiciii.CHARTEVENTS,559,Pressure Sore #2 [Drainage],,,,categorical,,,,4295,294,0.0154,,,
mimiciii.CHARTEVENTS,8458,Pressure Sore #2 [Heal],,,,categorical,,,,4199,321,0.0168,,,
mimiciii.CHARTEVENTS,60,Auto-PEEP Level,,,cmH2O,mixed,0.0,2.0,20.1662,4091,658,0.0344,,,
mimiciii.CHARTEVENTS,8425,Inc #4 [Amount],,,,categorical,,,,4072,408,0.0213,,,
mimiciii.CHARTEVENTS,441,MDI #3 [Puff],,,,numeric,0.6434,4.0,8.396,4066,364,0.019,,,
mimiciii.CHARTEVENTS,529,Pause Time %,,,,categorical,,,,4039,808,0.0423,,,
mimiciii.CHARTEVENTS,8439,MDI #3 [Drug],,,,categorical,,,,3935,345,0.0181,,,
mimiciii.CHARTEVENTS,8460,Pressure Sore #1 [Amount],,,,categorical,,,,3750,547,0.0286,,,
mimiciii.CHARTEVENTS,366,ImpSkin Wound Base#5,,,,categorical,,,,3694,224,0.0117,,,
mimiciii.CHARTEVENTS,188,Femoral Pulse [Right],,,,categorical,,,,3586,220,0.0115,,,
mimiciii.CHARTEVENTS,355,ImpSkin #5 [Drain],,,,categorical,,,,3586,209,0.0109,,,
mimiciii.CHARTEVENTS,686,Total PEEP Level,,,cmH2O,mixed,0.0,12.2892,28.6376,3567,762,0.0399,,,
mimiciii.CHARTEVENTS,341,Imp Skin Cleanse #4,,,,categorical,,,,3508,439,0.023,,,
mimiciii.CHARTEVENTS,8411,ImpSkin #2 [Length],,,,categorical,,,,3488,799,0.0418,,,
mimiciii.CHARTEVENTS,574,Pressure Sore Odor#2,,,,categorical,,,,3196,266,0.0139,,,
mimiciii.CHARTEVENTS,495,PCA Bolus,,,,mixed,0.0,0.0,4.0,3163,568,0.0297,,,
mimiciii.CHARTEVENTS,718,Ventricular Pacemaker Threshold [Unit],,,,categorical,,,,3108,900,0.0471,,,
mimiciii.CHARTEVENTS,1411,Bladder Pressure,,,mmHg,mixed,5.0912,17.0,38.2802,2951,467,0.0244,,,
mimiciii.CHARTEVENTS,8408,ImpSkin #4 [Amount],,,,categorical,,,,2780,294,0.0154,,,
mimiciii.CHARTEVENTS,565,PressSoreCleansing#2,,,,categorical,,,,2742,307,0.0161,,,
mimiciii.CHARTEVENTS,555,PressSore Depth #1,,,,categorical,,,,2691,564,0.0295,,,
mimiciii.CHARTEVENTS,8483,Ventricular Pacemaker Threshold [Value],,,,numeric,0.3493,5.9988,24.8791,2516,744,0.0389,,,
mimiciii.CHARTEVENTS,178,Epidural Bolus,,,,mixed,0.0,0.0,6.0,2391,312,0.0163,,,
mimiciii.CHARTEVENTS,586,QTc,,,sec,mixed,0.2422,0.4113,0.5658,2342,706,0.0369,,,
mimiciii.CHARTEVENTS,8387,GI [pH],,,,mixed,1.0,5.0,7.8275,2336,757,0.0396,,,
mimiciii.CHARTEVENTS,181,Epidural Total Dose,,,,mixed,0.0,13.1452,771.0681,2157,322,0.0168,,,
mimiciii.CHARTEVENTS,220644,ALT,ALT,Labs,IU/L,numeric,8.0,40.8719,3083.5964,2144,704,0.0368,,,
mimiciii.CHARTEVENTS,225690,Total Bilirubin,Total Bilirubin,Labs,mg/dL,numeric,0.2,1.0645,38.5502,2143,692,0.0362,,,
mimiciii.CHARTEVENTS,220587,AST,AST,Labs,IU/L,numeric,12.5,56.2285,4136.2047,2140,702,0.0367,,,
mimiciii.CHARTEVENTS,225612,Alkaline Phosphate,Alkaline Phosphate,Labs,IU/L,numeric,29.6048,86.4385,742.3137,2084,685,0.0358,,,
mimiciii.CHARTEVENTS,225634,CK (CPK),CK (CPK),Labs,IU/L,numeric,13.7353,250.8527,26669.3632,1977,682,0.0357,,,
mimiciii.CHARTEVENTS,226540,Hematocrit (whole blood - calc),Hematocrit (whole blood - calc),Labs,%,numeric,17.117,29.0,44.6175,1917,575,0.0301,,,
mimiciii.CHARTEVENTS,370,ImpSkin #3 [Width],,,,categorical,,,,1843,447,0.0234,,,
mimiciii.CHARTEVENTS,632,Sensory Level,,,,categorical,,,,1813,218,0.0114,,,
mimiciii.CHARTEVENTS,64,BIPAP - EPAP,,,cmH2O,mixed,3.3467,7.0,20.994,1768,391,0.0205,,,
mimiciii.CHARTEVENTS,404,Inc/Wound Packing #1,,,,categorical,,,,1752,387,0.0202,,,
mimiciii.CHARTEVENTS,382,Inc Cleansing #3,,,,categorical,,,,1730,735,0.0385,,,
mimiciii.CHARTEVENTS,630,Seizure Duration,,,,categorical,,,,1725,430,0.0225,,,
mimiciii.CHARTEVENTS,227456,Albumin,Albumin,Labs,g/dL,numeric,1.5267,2.8103,4.4,1700,700,0.0366,,,
mimiciii.CHARTEVENTS,226534,Sodium (whole blood),Sodium (whole blood),Labs,mEq/L,numeric,126.0915,136.0,148.3522,1633,608,0.0318,,,
mimiciii.CHARTEVENTS,68,BIPAP-Mode,,,,categorical,,,,1632,373,0.0195,,,
mimiciii.CHARTEVENTS,227429,Troponin-T,Troponin-T,Labs,ng/mL,numeric,0.01,0.0755,15.5253,1618,632,0.0331,,,
mimiciii.CHARTEVENTS,443,Manual BP Mean(calc),,,mmHg,mixed,48.9944,82.2486,125.72,1615,412,0.0216,,,
mimiciii.CHARTEVENTS,67,BIPAP - O2 lpm,,,lpm,mixed,0.2132,5.0,15.0,1549,346,0.0181,,,
mimiciii.CHARTEVENTS,801,Digoxin,,Drug Level,ng,numeric,0.2106,1.0,3.8,1518,708,0.037,,,
mimiciii.CHARTEVENTS,8412,ImpSkin #3 [Length],,,,categorical,,,,1505,363,0.019,,,
mimiciii.CHARTEVENTS,856,Vancomycin/Trough,,Drug Level,,mixed,2.5323,13.4896,40.4314,1477,920,0.0481,,,
mimiciii.CHARTEVENTS,66,BIPAP - IPAP,,,cmH2O,mixed,0.0,12.0,25.0,1429,315,0.0165,,,
mimiciii.CHARTEVENTS,838,SvO2,,Mixed Venous Gases,%,mixed,36.9667,69.85,98.2695,1411,735,0.0385,,,
mimiciii.CHARTEVENTS,227445,CK-MB,CK-MB,Labs,ng/mL,numeric,2.0,10.0,361.9126,1320,494,0.0258,,,
mimiciii.CHARTEVENTS,220632,LDH,LDH,Labs,IU/L,numeric,120.82,303.7582,4077.3186,1312,537,0.0281,,,
mimiciii.CHARTEVENTS,562,Pressure Sore #2 [Width],,,,categorical,,,,1276,237,0.0124,,,
mimiciii.CHARTEVENTS,220734,PH (dipstick),PH (dipstick),Labs,units,numeric,5.0,5.0,8.0,1250,692,0.0362,,,
mimiciii.CHARTEVENTS,1541,Uric Acid,,Chemistry,,numeric,0.9081,5.2503,17.0318,1214,573,0.03,,,
mimiciii.CHARTEVENTS,608,Recruit Breath,,,,categorical,,,,1197,428,0.0224,,,
mimiciii.CHARTEVENTS,227471,Specific Gravity (urine),Specific Gravity (urine),Labs,,numeric,1.0,1.02,1.0487,1181,680,0.0356,,,
mimiciii.CHARTEVENTS,8464,Pressure Sore #2 [Length],,,,categorical,,,,1158,226,0.0118,,,
mimiciii.CHARTEVENTS,606,Rec. Breath Pressure,,,,mixed,20.0,35.0,50.4025,1145,408,0.0213,,,
mimiciii.CHARTEVENTS,607,Rec.Breath Time(sec),,,,mixed,0.755,40.0,120.0,1142,410,0.0215,,,
mimiciii.CHARTEVENTS,226536,Chloride (whole blood),Chloride (whole blood),Labs,mEq/L,numeric,90.308,106.3605,119.384,1131,550,0.0288,,,
mimiciii.CHARTEVENTS,490,PAO2,,,mmHg,numeric,173.8426,316.8973,682.0575,1082,908,0.0475,,,
mimiciii.CHARTEVENTS,220581,Amylase,Amylase,Labs,IU/L,numeric,14.585,60.2852,1125.3403,1067,397,0.0208,,,
mimiciii.CHARTEVENTS,26,AaDO2,,,mmHg,numeric,20.26,202.2219,616.0,1056,883,0.0462,,,
mimiciii.CHARTEVENTS,225672,Lipase,Lipase,Labs,IU/L,numeric,8.0,40.707,1405.2061,1055,390,0.0204,,,
mimiciii.CHARTEVENTS,225640,Differential-Eos,Differential-Eos,Labs,%,numeric,0.0,0.592,10.092,1039,600,0.0314,,,
mimiciii.CHARTEVENTS,225639,Differential-Basos,Differential-Basos,Labs,%,numeric,0.0,0.1,1.0458,1039,600,0.0314,,,
mimiciii.CHARTEVENTS,225641,Differential-Lymphs,Differential-Lymphs,Labs,%,numeric,0.6373,9.6892,36.8419,1039,600,0.0314,,,
mimiciii.CHARTEVENTS,225643,Differential-Neuts,Differential-Neuts,Labs,%,numeric,50.5273,82.5713,95.8747,1039,600,0.0314,,,
mimiciii.CHARTEVENTS,225642,Differential-Monos,Differential-Monos,Labs,%,numeric,0.0,4.0,11.211,1039,600,0.0314,,,
mimiciii.CHARTEVENTS,371,ImpSkin #4 [Width],,,,categorical,,,,977,226,0.0118,,,
mimiciii.CHARTEVENTS,8487,Med Wasted [Amount],,,,mixed,0.0,30.355,250.0,945,627,0.0328,,,
mimiciii.CHARTEVENTS,225674,Mixed Venous O2% Sat,Mixed Venous O2% Sat,Labs,%,numeric,38.654,63.6984,93.005,933,287,0.015,,,
mimiciii.CHARTEVENTS,1526,D-Dimer,,Coags,,mixed,325.96,3069.1597,9945.3403,905,652,0.0341,,,
mimiciii.CHARTEVENTS,8486,Initials (2 RNs) [RN #2],,,,categorical,,,,879,602,0.0315,,,
mimiciii.CHARTEVENTS,227468,Fibrinogen,Fibrinogen,Labs,mg/dL,numeric,76.195,227.2692,934.5901,842,478,0.025,,,
mimiciii.CHARTEVENTS,809,Gentamycin/Random,,Drug Level,,mixed,0.3,1.8897,11.133,840,316,0.0165,,,
mimiciii.CHARTEVENTS,174,Emesis [Appearance],,,,categorical,,,,806,325,0.017,,,
mimiciii.CHARTEVENTS,852,Tylenol,,Drug Level,,mixed,5.002,14.75,703.6002,742,592,0.031,,,
mimiciii.CHARTEVENTS,849,Total Protein(6.5-8),,Chemistry,,numeric,3.3555,5.4298,8.6725,715,613,0.0321,,,
mimiciii.CHARTEVENTS,225628,CK-MB fraction (%),CK-MB fraction (%),Labs,%,numeric,0.2,4.2715,18.315,667,241,0.0126,,,
mimiciii.CHARTEVENTS,804,Ethanol,,Drug Level,,mixed,0.8,83.0,383.08,641,588,0.0308,,,
mimiciii.CHARTEVENTS,854,Vancomycin/Peak,,Drug Level,,mixed,6.23,27.118,70.395,600,340,0.0178,,,
mimiciii.CHARTEVENTS,220274,PH (Venous),PH (Venous),Labs,units,numeric,7.16,7.39,7.53,550,291,0.0152,,,
mimiciii.CHARTEVENTS,225638,Differential-Bands,Differential-Bands,Labs,%,numeric,0.0,0.0,36.0,536,340,0.0178,,,
mimiciii.CHARTEVENTS,1539,Total Protein,,Chemistry,,numeric,3.4,5.5,8.984,523,464,0.0243,,,
mimiciii.CHARTEVENTS,835,Sed Rate,,Hematology,,numeric,0.0,47.0313,147.33,520,454,0.0238,,,
mimiciii.CHARTEVENTS,227516,PO2 (Mixed Venous),PO2 (Mixed Venous),Labs,mmHg,numeric,24.0,36.0,135.3301,501,213,0.0111,,,
mimiciii.CHARTEVENTS,3,ABI (R),,,.,mixed,0.3336,0.8827,1.5,456,246,0.0129,,,
mimiciii.CHARTEVENTS,5,ABI Brachial BP [Right],,,mmHg,mixed,63.16,104.0556,164.2,455,245,0.0128,,,
mimiciii.CHARTEVENTS,4,ABI Ankle BP [Right],,,mmHg,mixed,39.28,94.8333,175.52,452,244,0.0128,,,
mimiciii.CHARTEVENTS,2,ABI (L),,,.,mixed,0.3682,0.8788,1.3014,440,242,0.0127,,,
mimiciii.CHARTEVENTS,447,Minimal Leak Present,,,,categorical,,,,399,251,0.0131,,,
mimiciii.CHARTEVENTS,225637,Differential-Atyps,Differential-Atyps,Labs,%,numeric,0.0,0.0,6.0,315,201,0.0105,,,
mimiciii.LABEVENTS,51240,Large Platelets,,Hematology,,categorical,8.0,66.0,124.0,2700,814,0.0426,,,
mimiciii.LABEVENTS,50986,tacroFK,,Chemistry,ng/mL,numeric,1.8115,9.3191,28.2406,2535,237,0.0124,,,
mimiciii.LABEVENTS,50929,Gentamicin,,Chemistry,ug/mL,mixed,0.3,1.899,10.0359,2209,517,0.0271,,,
mimiciii.LABEVENTS,50866,Ammonia,,Chemistry,umol/L,numeric,9.2669,45.6689,293.2701,1425,867,0.0454,,,
mimiciii.LABEVENTS,51351,Lymphs,,Hematology,%,numeric,0.0,41.5714,100.0,1392,890,0.0466,,,
mimiciii.LABEVENTS,51355,Monocytes,,Hematology,%,numeric,0.0,7.0,77.625,1390,890,0.0466,,,
mimiciii.LABEVENTS,51363,"WBC, CSF",,Hematology,#/uL,numeric,0.0,4.9717,7183.4811,1390,890,0.0466,,,
mimiciii.LABEVENTS,51360,Polys,,Hematology,%,numeric,0.0,14.3016,98.3729,1389,890,0.0466,,,
mimiciii.LABEVENTS,51362,"RBC, CSF",,Hematology,#/uL,numeric,0.0,107.0023,252315.0849,1377,887,0.0464,,,
mimiciii.LABEVENTS,51294,Target Cells,,Hematology,,categorical,,,,1314,830,0.0434,,,
