src_table,field_key,label,abbreviation,dict_category,unit_observed,dtype_inferred,p01,p50,p99,n_rows,n_keys,coverage,concept,method,note
mimiciv.hosp.labevents,52424,RFXUCU,,Hematology,,categorical,,,,1897,1336,0.0368,,,
mimiciv.hosp.labevents,51956,CDT027,,Chemistry,,categorical,,,,1868,1320,0.0363,,,
mimiciv.hosp.labevents,51564,ARCH-1,,Chemistry,,numeric,0.06,0.12,14.3065,1852,1756,0.0483,,,
mimiciv.hosp.labevents,50873,Anti-Nuclear Antibody,,Chemistry,N/A,categorical,,,,1850,1743,0.048,,,
mimiciv.hosp.labevents,51117,Macrophage,,Hematology,%,numeric,1.0,31.6306,87.93,1828,860,0.0237,,,
mimiciv.hosp.labevents,51802,"Total Protein, CSF",,Chemistry,mg/dL,numeric,8.0,47.7921,955.7194,1814,1230,0.0338,,,
mimiciv.hosp.labevents,51790,"Glucose, CSF",,Chemistry,mg/dL,numeric,8.0184,72.9012,172.0928,1749,1212,0.0334,,,
mimiciv.hosp.labevents,50950,Immunoglobulin G,,Chemistry,mg/dL,numeric,162.9232,892.3151,4360.0343,1718,1422,0.0391,,,
mimiciv.hosp.labevents,51008,Valproic Acid,,Chemistry,ug/mL,numeric,8.771,53.2774,138.9475,1658,452,0.0124,,,
mimiciv.hosp.labevents,51518,WBC Clumps,,Hematology,/hpf,categorical,,,,1624,1369,0.0377,,,
mimiciv.hosp.labevents,51436,Polys,,Hematology,%,numeric,0.0,68.5755,99.4317,1616,1254,0.0345,,,
mimiciv.hosp.labevents,51427,Lymphocytes,,Hematology,%,numeric,0.0,4.2703,85.8759,1616,1254,0.0345,,,
mimiciv.hosp.labevents,51431,Monos,,Hematology,%,numeric,0.0,1.0,50.3313,1616,1254,0.0345,,,
mimiciv.hosp.labevents,52391,"Total Nucleated Cells, Pleural",,Hematology,#/uL,numeric,8.4519,591.5601,82150.706,1601,1111,0.0306,,,
mimiciv.hosp.labevents,51450,Monos,,Hematology,%,numeric,0.0,1.0,45.441,1600,1111,0.0306,,,
mimiciv.hosp.labevents,51446,Lymphocytes,,Hematology,%,numeric,0.0,23.3708,93.565,1600,1111,0.0306,,,
mimiciv.hosp.labevents,51455,Polys,,Hematology,%,numeric,0.0,34.4252,99.0,1600,1111,0.0306,,,
mimiciv.hosp.labevents,51059,"Total Protein, Pleural",,Chemistry,g/dL,numeric,0.5053,2.6,5.43,1564,1102,0.0303,,,
mimiciv.hosp.labevents,51219,H/O Smear,,Hematology,,categorical,,,,1563,1145,0.0315,,,
mimiciv.hosp.labevents,51054,"Lactate Dehydrogenase, Pleural",,Chemistry,IU/L,numeric,44.3238,220.8281,12213.1242,1562,1097,0.0302,,,
mimiciv.hosp.labevents,50994,Thyroxine (T4),,Chemistry,ug/dL,numeric,1.3227,5.7237,18.1641,1558,1175,0.0323,,,
mimiciv.hosp.labevents,50949,Immunoglobulin A,,Chemistry,mg/dL,numeric,8.204,221.724,1832.6533,1541,1307,0.036,,,
mimiciv.hosp.labevents,51213,Fibrin Degradation Products,,Hematology,ug/mL,categorical,,,,1525,719,0.0198,,,
mimiciv.hosp.labevents,51197,Elliptocytes,,Hematology,N/A,categorical,,,,1509,953,0.0262,,,
mimiciv.hosp.labevents,51873,Influenza B by PCR,,Chemistry,,categorical,,,,1503,1347,0.0371,,,
mimiciv.hosp.labevents,51865,Influenza A by PCR,,Chemistry,,categorical,,,,1503,1347,0.0371,,,
mimiciv.hosp.labevents,50849,"Total Protein, Ascites",,Chemistry,g/dL,numeric,0.227,1.5847,5.2041,1492,809,0.0223,,,
mimiciv.hosp.labevents,50866,Ammonia,,Chemistry,umol/L,mixed,7.8476,39.9753,224.7667,1485,1054,0.029,,,
mimiciv.hosp.labevents,51053,"Glucose, Pleural",,Chemistry,mg/dL,numeric,1.0507,117.6924,281.3029,1477,1047,0.0288,,,
mimiciv.hosp.labevents,51457,"RBC, Pleural",,Hematology,#/uL,numeric,12.3693,4900.678,686100.5786,1474,1037,0.0285,,,
mimiciv.hosp.labevents,50835,"Albumin, Ascites",,Chemistry,g/dL,mixed,0.2,1.2,3.0702,1471,806,0.0222,,,
mimiciv.hosp.labevents,50880,Benzodiazepine Screen,,Chemistry,N/A,categorical,,,,1407,1345,0.037,,,
mimiciv.hosp.labevents,51118,Mesothelial Cell,,Hematology,%,numeric,1.0,3.0,32.1067,1407,726,0.02,,,
mimiciv.hosp.labevents,50951,Immunoglobulin M,,Chemistry,mg/dL,numeric,5.0,80.0476,2047.0031,1403,1217,0.0335,,,
mimiciv.hosp.labevents,50937,Hepatitis A Virus Antibody,,Chemistry,N/A,categorical,,,,1394,1346,0.037,,,
mimiciv.hosp.labevents,50879,Barbiturate Screen,,Chemistry,N/A,categorical,,,,1394,1341,0.0369,,,
mimiciv.hosp.labevents,51893,Staph aureus PCR,,Chemistry,,categorical,,,,1392,1315,0.0362,,,
mimiciv.hosp.labevents,51877,MRSA PCR,,Chemistry,,categorical,,,,1392,1315,0.0362,,,
mimiciv.hosp.labevents,51734,STX3,,Chemistry,,mixed,0.0,0.8163,111.0,1388,1249,0.0344,,,
mimiciv.hosp.labevents,50853,25-OH Vitamin D,,Chemistry,ng/mL,mixed,5.3214,23.7043,77.0,1385,1201,0.033,,,
mimiciv.hosp.labevents,50975,Protein Electrophoresis,,Chemistry,,categorical,,,,1340,1236,0.034,,,
mimiciv.hosp.labevents,51732,STX1,,Chemistry,,mixed,0.3,0.8375,60.5736,1260,1165,0.0321,,,
mimiciv.hosp.labevents,51989,Oxycodone,,Chemistry,N/A,categorical,,,,1255,1218,0.0335,,,
mimiciv.hosp.labevents,53105,E GENE CT,,Chemistry,,numeric,0.0,0.0,33.8242,1248,916,0.0252,,,
mimiciv.hosp.labevents,53106,E GENE ENDPT,,Chemistry,,numeric,-0.8619,2.0,390.1001,1248,916,0.0252,,,
mimiciv.hosp.labevents,53111,N2 GENE CT,,Chemistry,,numeric,0.0,0.0,39.3113,1248,916,0.0252,,,
mimiciv.hosp.labevents,53112,N2 GENE ENDPT,,Chemistry,,numeric,-4.3387,0.0,205.08,1248,916,0.0252,,,
mimiciv.hosp.labevents,51474,Eosinophils,,Hematology,,categorical,,,,1242,1046,0.0288,,,
mimiciv.hosp.labevents,51269,Promyelocytes,,Hematology,%,numeric,0.0,1.0,21.2967,1241,633,0.0174,,,
mimiciv.hosp.labevents,52008,UTX5,,Chemistry,,numeric,-369.1333,-257.7222,339.3815,1204,1169,0.0322,,,
mimiciv.hosp.labevents,52007,UTX4,,Chemistry,,numeric,-611.7125,-462.733,661.1323,1203,1170,0.0322,,,
mimiciv.hosp.labevents,52004,UTX1,,Chemistry,,numeric,-445.6247,-274.6258,139.7383,1201,1160,0.0319,,,
mimiciv.hosp.labevents,51733,STX2,,Chemistry,,mixed,10.0,126.0,494.0,1199,1151,0.0317,,,
mimiciv.hosp.labevents,52005,UTX2,,Chemistry,,numeric,-887.912,-561.2045,271.2781,1194,1159,0.0319,,,
mimiciv.hosp.labevents,52010,UTX7,,Chemistry,,numeric,-605.34,-406.284,424.1787,1192,1159,0.0319,,,
mimiciv.hosp.labevents,52006,UTX3,,Chemistry,,numeric,0.0,14.0508,5347.9942,1187,1153,0.0317,,,
mimiciv.hosp.labevents,51001,Triiodothyronine (T3),,Chemistry,ng/dL,numeric,26.9044,67.825,277.449,1174,829,0.0228,,,
mimiciv.hosp.labevents,52009,UTX6,,Chemistry,,numeric,-88.1489,-70.0214,240.51,1133,1100,0.0303,,,
mimiciv.hosp.labevents,51447,Macrophages,,Hematology,%,numeric,1.0,14.5636,83.092,1132,850,0.0234,,,
mimiciv.hosp.labevents,51737,STX6,,Chemistry,,numeric,-85.388,-57.9377,-4.79,1124,1081,0.0297,,,
mimiciv.hosp.labevents,51428,Macrophage,,Hematology,%,numeric,1.0,11.3708,94.5911,1117,899,0.0247,,,
mimiciv.hosp.labevents,50831,pH,,Blood Gas,units,numeric,6.5984,7.4254,7.8098,1116,829,0.0228,,,
mimiciv.hosp.labevents,51259,Other Cells,,Hematology,%,numeric,0.0,0.0,92.788,1059,410,0.0113,,,
mimiciv.hosp.labevents,50965,Parathyroid Hormone,,Chemistry,pg/mL,numeric,5.0,70.0625,1004.3896,1055,838,0.0231,,,
mimiciv.hosp.labevents,51288,Sedimentation Rate,,Hematology,mm/hr,numeric,0.0,60.398,148.1467,1054,789,0.0217,,,
mimiciv.hosp.labevents,50927,Gamma Glutamyltransferase,,Chemistry,IU/L,numeric,7.745,131.6934,1734.2207,1051,906,0.0249,,,
mimiciv.hosp.labevents,51076,"Bicarbonate, Urine",,Chemistry,mEq/L,mixed,2.0,7.25,48.56,1049,898,0.0247,,,
mimiciv.hosp.labevents,51046,"Albumin, Pleural",,Chemistry,g/dL,mixed,0.3,1.5,3.0,1046,762,0.021,,,
mimiciv.hosp.labevents,50842,"Glucose, Ascites",,Chemistry,mg/dL,numeric,2.5197,126.9694,343.044,1027,614,0.0169,,,
mimiciv.hosp.labevents,51051,"Cholesterol, Pleural",,Chemistry,mg/dL,numeric,6.4293,37.36,128.3947,993,724,0.0199,,,
mimiciv.hosp.labevents,51236,Inpatient Hematology/Oncology Smear,,Hematology,,categorical,,,,945,681,0.0187,,,
mimiciv.hosp.labevents,51098,"Prot. Electrophoresis, Urine",,Chemistry,+/-,categorical,,,,943,882,0.0243,,,
mimiciv.hosp.labevents,50843,"Lactate Dehydrogenase, Ascites",,Chemistry,IU/L,numeric,22.57,90.1775,4738.7466,939,593,0.0163,,,
mimiciv.hosp.labevents,52026,Estimated GFR (MDRD equation),,Blood Gas,,categorical,,,,918,854,0.0235,,,
mimiciv.hosp.labevents,50836,"Amylase, Ascites",,Chemistry,IU/L,numeric,2.0,32.5104,74303.3311,911,510,0.014,,,
mimiciv.hosp.labevents,50915,D-Dimer,,Chemistry,ng/mL,mixed,205.8675,2664.2083,20036.2786,899,652,0.0179,,,
mimiciv.hosp.labevents,51448,Mesothelial Cells,,Hematology,%,numeric,1.0,4.0,45.3725,893,701,0.0193,,,
mimiciv.hosp.labevents,50891,C4,,Chemistry,mg/dL,numeric,2.93,22.5625,59.175,807,699,0.0192,,,
mimiciv.hosp.labevents,50938,Hepatitis A Virus IgM Antibody,,Chemistry,N/A,categorical,,,,803,776,0.0214,,,
mimiciv.hosp.labevents,51660,HPE4,,Chemistry,,mixed,0.008,1.1781,59.5948,789,756,0.0208,,,
mimiciv.hosp.labevents,50872,Anti-Neutrophil Cytoplasmic Antibody,,Chemistry,N/A,categorical,,,,789,752,0.0207,,,
mimiciv.hosp.labevents,50805,Carboxyhemoglobin,,Blood Gas,%,numeric,0.0,1.0,5.3275,776,669,0.0184,,,
mimiciv.hosp.labevents,51095,"Phosphate, Urine",,Chemistry,mg/dL,mixed,5.1565,35.981,182.9285,768,665,0.0183,,,
mimiciv.hosp.labevents,50890,C3,,Chemistry,mg/dL,numeric,19.685,103.9752,208.8601,763,656,0.0181,,,
mimiciv.hosp.labevents,50814,Methemoglobin,,Blood Gas,%,numeric,0.0,0.0,11.5178,732,584,0.0161,,,
mimiciv.hosp.labevents,51147,Bite Cells,,Hematology,N/A,categorical,,,,707,542,0.0149,,,
mimiciv.hosp.labevents,50864,Alpha-Fetoprotein,,Chemistry,ng/mL,numeric,0.7,3.295,333634.3366,703,613,0.0169,,,
mimiciv.hosp.labevents,52266,Macrophage,,Hematology,%,numeric,0.5,7.12,80.0,701,453,0.0125,,,
mimiciv.hosp.labevents,50876,Anti-Smooth Muscle Antibody,,Chemistry,N/A,categorical,,,,686,663,0.0182,,,
mimiciv.hosp.labevents,50871,Anti-Mitochondrial Antibody,,Chemistry,N/A,categorical,,,,683,664,0.0183,,,
mimiciv.hosp.labevents,53174,COV8MC,,Chemistry,,numeric,0.1413,0.2034,0.2222,674,447,0.0123,,,
mimiciv.hosp.labevents,53173,COV8IC,,Chemistry,,numeric,26.52,27.4428,29.7965,672,446,0.0123,,,
mimiciv.hosp.labevents,50900,Carcinoembyronic Antigen (CEA),,Chemistry,ng/mL,mixed,0.7507,4.4741,874.0219,669,637,0.0175,,,
mimiciv.hosp.labevents,52195,Voided Specimen,,Hematology,,categorical,,,,653,481,0.0132,,,
mimiciv.hosp.labevents,50838,"Bilirubin, Total, Ascites",,Chemistry,mg/dL,numeric,0.1,2.2056,50.164,648,446,0.0123,,,
mimiciv.hosp.labevents,51453,Other,,Hematology,%,numeric,0.0,2.0,78.8067,644,514,0.0141,,,
mimiciv.hosp.labevents,51077,"Calcium, Urine",,Chemistry,mg/dL,mixed,0.1,3.3422,41.057,641,547,0.0151,,,
mimiciv.hosp.labevents,51047,"Amylase, Pleural",,Chemistry,IU/L,numeric,4.0,25.9383,12923.3648,633,427,0.0118,,,
mimiciv.hosp.labevents,51123,Other,,Hematology,%,numeric,0.0,0.9136,49.6,596,402,0.0111,,,
mimiciv.hosp.labevents,53169,Ceph-IC,,Chemistry,,numeric,27.2133,28.8,34.8,590,414,0.0114,,,
mimiciv.hosp.labevents,51434,Other Cell,,Hematology,%,numeric,0.0,2.0,90.68,583,495,0.0136,,,
mimiciv.hosp.labevents,52369,"Total Nucleated Cells, Other",,Hematology,#/uL,numeric,0.0,899.0156,48455.653,567,477,0.0131,,,
mimiciv.hosp.labevents,51216,Fragmented Cells,,Hematology,N/A,categorical,,,,558,378,0.0104,,,
mimiciv.hosp.labevents,51243,Lupus Anticoagulant,,Hematology,N/A,categorical,,,,538,498,0.0137,,,
mimiciv.hosp.labevents,50980,Rheumatoid Factor,,Chemistry,IU/mL,mixed,4.11,13.92,365.0201,531,515,0.0142,,,
