src_table,field_key,label,abbreviation,dict_category,unit_observed,dtype_inferred,p01,p50,p99,n_rows,n_keys,coverage,concept,method,note
mimiciii.CHARTEVENTS,697,Traction/Immobile #1,,,,categorical,,,,9784,278,0.0145,,,
mimiciii.CHARTEVENTS,46,Angio Dressing #2,,,,categorical,,,,9578,507,0.0265,,,
mimiciii.CHARTEVENTS,568,PressSoreTreatment#2,,,,categorical,,,,9371,371,0.0194,,,
mimiciii.CHARTEVENTS,259,INV Line#6 [Type],,,,categorical,,,,9316,197,0.0103,,,
mimiciii.CHARTEVENTS,204,GI#2 Tube PlaceCheck,,,,categorical,,,,9315,619,0.0324,,,
mimiciii.CHARTEVENTS,687,Trach Care,,,,categorical,,,,9275,858,0.0449,,,
mimiciii.CHARTEVENTS,415,Incision/Wound #5,,,,categorical,,,,9218,194,0.0102,,,
mimiciii.CHARTEVENTS,8397,INV Line#6 [Site],,,,categorical,,,,9090,192,0.01,,,
mimiciii.CHARTEVENTS,693,Tract/Imm Location#1,,,,categorical,,,,9058,242,0.0127,,,
mimiciii.CHARTEVENTS,8391,GI#2 Tube [Drain],,,,categorical,,,,8959,536,0.028,,,
mimiciii.CHARTEVENTS,1433,Seizure,,,,categorical,,,,8904,611,0.032,,,
mimiciii.CHARTEVENTS,179,Epidural Location,,,,categorical,0.0,12.0,12.0,8729,410,0.0215,,,
mimiciii.CHARTEVENTS,365,ImpSkin Wound Base#4,,,,categorical,,,,8501,521,0.0273,,,
mimiciii.CHARTEVENTS,340,Imp Skin Cleanse #3,,,,categorical,,,,8297,941,0.0492,,,
mimiciii.CHARTEVENTS,1429,Insomnia,,,,categorical,,,,8214,587,0.0307,,,
mimiciii.CHARTEVENTS,225667,Ionized Calcium,Ionized Calcium,Labs,mmol/L,numeric,0.8842,1.1269,1.4197,8019,921,0.0482,,,
mimiciii.CHARTEVENTS,354,ImpSkin #4 [Drain],,,,categorical,,,,7927,485,0.0254,,,
mimiciii.CHARTEVENTS,8434,KneeImmobilizeLoc [Left],,,,categorical,,,,7902,827,0.0433,,,
mimiciii.CHARTEVENTS,1426,Drowsiness,,,,categorical,,,,7659,562,0.0294,,,
mimiciii.CHARTEVENTS,671,TCPCV Insp. Time,,,sec,numeric,0.5,0.9009,1.9875,7572,358,0.0187,,,
mimiciii.CHARTEVENTS,1434,Slurred Speech,,,,categorical,,,,7568,559,0.0292,,,
mimiciii.CHARTEVENTS,193,Flatus,,,,categorical,,,,7527,576,0.0301,,,
mimiciii.CHARTEVENTS,670,TCPCV Insp. Pressure,,,cmH2O,numeric,11.9647,29.5435,49.0806,7514,351,0.0184,,,
mimiciii.CHARTEVENTS,1435,Sustained Nystamus,,,,categorical,,,,7450,535,0.028,,,
mimiciii.CHARTEVENTS,105,CT #3 Dressing,,,,categorical,,,,7413,251,0.0131,,,
mimiciii.CHARTEVENTS,162,Ectopy Type 2,,,,categorical,,,,7396,286,0.015,,,
mimiciii.CHARTEVENTS,262,INV Line#6SiteAppear,,,,categorical,,,,7382,192,0.01,,,
mimiciii.CHARTEVENTS,107,CT #3 Suction Amount,,,,categorical,,,,7333,253,0.0132,,,
mimiciii.CHARTEVENTS,75,Baseline Current/mA,,,mA,numeric,3.0909,31.0639,80.0,7196,315,0.0165,,,
mimiciii.CHARTEVENTS,734,Working Pressure,,,cmH2O,mixed,21.7342,70.0,74.9685,7023,943,0.0493,,,
mimiciii.CHARTEVENTS,254,INV Line#5 Zero/Cal,,,,categorical,,,,6976,422,0.0221,,,
mimiciii.CHARTEVENTS,571,PressSoreWoundBase#2,,,,categorical,,,,6878,359,0.0188,,,
mimiciii.CHARTEVENTS,673,TOF Response/Twitch,,,,categorical,,,,6847,347,0.0182,,,
