src_table,field_key,label,abbreviation,dict_category,unit_observed,dtype_inferred,p01,p50,p99,n_rows,n_keys,coverage,concept,method,note
mimiciii.LABEVENTS,51197,Elliptocytes,,Hematology,,categorical,,,,378,316,0.0165,,,
mimiciii.LABEVENTS,51469,Calcium Oxalate Crystals,,Hematology,,categorical,,,,376,342,0.0179,,,
mimiciii.LABEVENTS,50938,Hepatitis A Virus IgM Antibody,,Chemistry,,categorical,,,,375,357,0.0187,,,
mimiciii.LABEVENTS,50951,Immunoglobulin M,,Chemistry,mg/dL,numeric,6.15,79.24,3389.1049,365,346,0.0181,,,
mimiciii.LABEVENTS,50864,Alpha-Fetoprotein,,Chemistry,ng/mL,mixed,1.0,3.276,24362.4645,365,341,0.0178,,,
mimiciii.LABEVENTS,50949,Immunoglobulin A,,Chemistry,mg/dL,numeric,13.36,208.78,1200.0403,364,344,0.018,,,
mimiciii.LABEVENTS,50939,"Hepatitis B Core Antibody, IgM",,Chemistry,,categorical,,,,358,343,0.0179,,,
mimiciii.LABEVENTS,50836,"Amylase, Ascites",,Chemistry,IU/L,numeric,0.0,35.68,51760.8015,339,249,0.013,,,
mimiciii.LABEVENTS,50843,"Lactate Dehydrogenase, Ascites",,Chemistry,IU/L,numeric,24.0,88.7,7392.486,336,254,0.0133,,,
mimiciii.LABEVENTS,51284,"Reticulocyte Count, Manual",,Hematology,%,numeric,0.3,3.06,33.028,334,263,0.0138,,,
mimiciii.LABEVENTS,51026,"Amylase, Body Fluid",,Chemistry,IU/L,numeric,0.0,46.16,181545.6444,327,252,0.0132,,,
mimiciii.LABEVENTS,50872,Anti-Neutrophil Cytoplasmic Antibody,,Chemistry,,categorical,,,,321,302,0.0158,,,
mimiciii.LABEVENTS,50891,C4,,Chemistry,mg/dL,numeric,1.66,22.5,59.04,319,284,0.0149,,,
mimiciii.LABEVENTS,51352,Macrophage,,Hematology,%,numeric,0.0,7.0,84.8,310,235,0.0123,,,
mimiciii.LABEVENTS,50890,C3,,Chemistry,mg/dL,numeric,14.54,99.4688,197.92,309,273,0.0143,,,
mimiciii.LABEVENTS,50842,"Glucose, Ascites",,Chemistry,mg/dL,numeric,1.0,124.25,506.841,308,234,0.0122,,,
mimiciii.LABEVENTS,51108,Urine Volume,,Chemistry,mL,numeric,155.8,1788.75,6666.0023,306,252,0.0132,,,
mimiciii.LABEVENTS,51094,pH,,Chemistry,,numeric,1.0,5.9063,9.0,301,250,0.0131,,,
mimiciii.LABEVENTS,51428,Macrophage,,Hematology,%,numeric,1.0,11.2188,92.14,293,268,0.014,,,
mimiciii.LABEVENTS,51180,"CD4 Cells, Percent",,Hematology,%,mixed,0.0,17.8333,67.16,271,203,0.0106,,,
mimiciii.LABEVENTS,51047,"Amylase, Pleural",,Chemistry,IU/L,numeric,4.21,26.8438,40005.1018,271,226,0.0118,,,
mimiciii.LABEVENTS,51077,"Calcium, Urine",,Chemistry,mg/dL,numeric,0.0,3.3563,42.48,267,240,0.0126,,,
mimiciii.LABEVENTS,51216,Fragmented Cells,,Hematology,,categorical,,,,266,231,0.0121,,,
mimiciii.LABEVENTS,50906,"Cholesterol, LDL, Measured",,Chemistry,mg/dL,mixed,21.75,93.3333,233.25,264,250,0.0131,,,
mimiciii.LABEVENTS,51147,Bite Cells,,Hematology,,categorical,,,,263,237,0.0124,,,
mimiciii.LABEVENTS,50900,Carcinoembyronic Antigen (CEA),,Chemistry,ng/mL,mixed,1.098,4.0111,955.6894,262,253,0.0132,,,
mimiciii.LABEVENTS,51086,"Immunofixation, Urine",,Chemistry,,categorical,,,,253,248,0.013,,,
mimiciii.LABEVENTS,50946,Human Chorionic Gonadotropin,,Chemistry,mIU/mL,mixed,5.0,182.0,38888.0,236,215,0.0112,,,
mimiciii.LABEVENTS,50974,Prostate Specific Antigen,,Chemistry,ng/mL,mixed,0.1,1.2667,1109.2515,233,217,0.0114,,,
mimiciii.LABEVENTS,50945,Homocysteine,,Chemistry,umol/L,numeric,3.067,8.4333,45.3751,217,207,0.0108,,,
mimiciii.LABEVENTS,50948,Immunofixation,,Chemistry,,categorical,,,,213,211,0.011,,,
mimiciii.LABEVENTS,51069,"Albumin, Urine",,Chemistry,mg/dL,mixed,0.3,7.5,346.4852,211,201,0.0105,,,
