db,field_key,base_concept,method,concept_raw,src_table,unit_observed,unit_recovery_rate,dtype_inferred,p01,p50,p99,n_rows,n_keys,coverage,src_file,pattern,dbs_covered,dbs_missing,verdict,note
mimic-iii,223835,fio2,chartevents,fio2_chartevents,mimiciii.CHARTEVENTS,,0.0,numeric,30.0,40.0,100.0,490,11,0.0006,firstday/blood_gas_first_day_arterial.sql,P1,mimic-iii+mimic-iv,eicu,,
mimic-iii,50816,fio2,unspecified,fio2,mimiciii.LABEVENTS,%,0.4091,numeric,23.4313,50.0,100.0,67835,9086,0.4754,pivot/pivoted_bg.sql,P3,mimic-iii+mimic-iv,eicu,,
mimic-iii,223835,fio2,chartevents,fio2_chartevents,mimiciii.CHARTEVENTS,,0.0,numeric,30.0,40.0,100.0,490,11,0.0006,pivot/pivoted_bg_art.sql,P1,mimic-iii+mimic-iv,eicu,,
mimic-iv,50816,fio2,unspecified,fio2,mimiciv.hosp.labevents,%,1.0,numeric,20.5334,50.0,100.0,37491,9150,0.2518,measurement/bg.sql,P1,mimic-iii+mimic-iv,eicu,,
mimic-iv,223835,fio2,unspecified,fio2,mimiciv.icu.chartevents,,0.0,numeric,27.8941,40.7411,100.0,530319,21233,0.5843,measurement/ventilator_setting.sql,P1,mimic-iii+mimic-iv,eicu,,
mimic-iii,456,mbp,unspecified,mbp,mimiciii.CHARTEVENTS,mmHg,0.9982,numeric,47.1444,76.3734,119.7659,1033353,18304,0.9577,firstday/vitals_first_day.sql,P2,mimic-iii+mimic-iv,eicu,,
mimic-iii,52,mbp,unspecified,mbp,mimiciii.CHARTEVENTS,mmHg,0.9962,numeric,49.7153,79.0756,131.5674,1561213,12803,0.6699,firstday/vitals_first_day.sql,P2,mimic-iii+mimic-iv,eicu,,
mimic-iii,6702,mbp,unspecified,mbp,mimiciii.CHARTEVENTS,mmHg,0.9805,numeric,46.9159,75.9743,126.1078,14998,374,0.0196,firstday/vitals_first_day.sql,P2,mimic-iii+mimic-iv,eicu,,
mimic-iii,443,mbp,unspecified,mbp,mimiciii.CHARTEVENTS,mmHg,0.9282,mixed,48.9944,82.2486,125.72,1615,412,0.0216,firstday/vitals_first_day.sql,P2,mimic-iii+mimic-iv,eicu,,
mimic-iii,220052,mbp,unspecified,mbp,mimiciii.CHARTEVENTS,mmHg,1.0,numeric,50.2933,80.9284,132.1022,1238,8,0.0004,firstday/vitals_first_day.sql,P2,mimic-iii+mimic-iv,eicu,,
mimic-iii,220181,mbp,unspecified,mbp,mimiciii.CHARTEVENTS,mmHg,1.0,numeric,47.5667,80.9802,116.4875,1520,13,0.0007,firstday/vitals_first_day.sql,P2,mimic-iii+mimic-iv,eicu,,
mimic-iii,225312,mbp,unspecified,mbp,mimiciii.CHARTEVENTS,mmHg,1.0,numeric,77.0,80.0,81.0,3,1,0.0001,firstday/vitals_first_day.sql,P2,mimic-iii+mimic-iv,eicu,,
mimic-iii,456,mbp,unspecified,mbp,mimiciii.CHARTEVENTS,mmHg,0.9982,numeric,47.1444,76.3734,119.7659,1033353,18304,0.9577,pivot/pivoted_vital.sql,P1,mimic-iii+mimic-iv,eicu,,
mimic-iii,52,mbp,unspecified,mbp,mimiciii.CHARTEVENTS,mmHg,0.9962,numeric,49.7153,79.0756,131.5674,1561213,12803,0.6699,pivot/pivoted_vital.sql,P1,mimic-iii+mimic-iv,eicu,,
mimic-iii,6702,mbp,unspecified,mbp,mimiciii.CHARTEVENTS,mmHg,0.9805,numeric,46.9159,75.9743,126.1078,14998,374,0.0196,pivot/pivoted_vital.sql,P1,mimic-iii+mimic-iv,eicu,,
mimic-iii,443,mbp,unspecified,mbp,mimiciii.CHARTEVENTS,mmHg,0.9282,mixed,48.9944,82.2486,125.72,1615,412,0.0216,pivot/pivoted_vital.sql,P1,mimic-iii+mimic-iv,eicu,,
mimic-iii,220052,mbp,unspecified,mbp,mimiciii.CHARTEVENTS,mmHg,1.0,numeric,50.2933,80.9284,132.1022,1238,8,0.0004,pivot/pivoted_vital.sql,P1,mimic-iii+mimic-iv,eicu,,
mimic-iii,220181,mbp,unspecified,mbp,mimiciii.CHARTEVENTS,mmHg,1.0,numeric,47.5667,80.9802,116.4875,1520,13,0.0007,pivot/pivoted_vital.sql,P1,mimic-iii+mimic-iv,eicu,,
mimic-iii,225312,mbp,unspecified,mbp,mimiciii.CHARTEVENTS,mmHg,1.0,numeric,77.0,80.0,81.0,3,1,0.0001,pivot/pivoted_vital.sql,P1,mimic-iii+mimic-iv,eicu,,
mimic-iv,220052,mbp,unspecified,mbp,mimiciv.icu.chartevents,mmHg,1.0,numeric,49.368,77.0425,128.3253,1529951,17692,0.4868,measurement/vitalsign.sql,P1,mimic-iii+mimic-iv,eicu,,
mimic-iv,220181,mbp,unspecified,mbp,mimiciv.icu.chartevents,mmHg,1.0,numeric,48.8589,78.3078,123.6146,2314564,36000,0.9906,measurement/vitalsign.sql,P1,mimic-iii+mimic-iv,eicu,,
mimic-iv,225312,mbp,unspecified,mbp,mimiciv.icu.chartevents,mmHg,1.0,numeric,43.8092,75.2319,127.5647,187170,3350,0.0922,measurement/vitalsign.sql,P1,mimic-iii+mimic-iv,eicu,,
mimic-iv,220181,mbp,noninvasive,mbp_noninvasive,mimiciv.icu.chartevents,mmHg,1.0,numeric,48.8589,78.3078,123.6146,2314564,36000,0.9906,measurement/vitalsign.sql,P1,mimic-iii+mimic-iv,eicu,,
mimic-iii,50814,methemoglobin,unspecified,methemoglobin,mimiciii.LABEVENTS,%,1.0,numeric,0.0,0.6,34.0,852,712,0.0373,firstday/blood_gas_first_day.sql,P3,mimic-iii+mimic-iv,eicu,,
mimic-iii,50814,methemoglobin,unspecified,methemoglobin,mimiciii.LABEVENTS,%,1.0,numeric,0.0,0.6,34.0,852,712,0.0373,pivot/pivoted_bg.sql,P3,mimic-iii+mimic-iv,eicu,,
mimic-iv,50814,methemoglobin,unspecified,methemoglobin,mimiciv.hosp.labevents,%,1.0,numeric,0.0,0.0,11.5178,732,584,0.0161,measurement/bg.sql,P1,mimic-iii+mimic-iv,eicu,,
mimic-iii,50823,requiredo2,unspecified,requiredo2,mimiciii.LABEVENTS,,0.0,numeric,35.973,80.507,100.0,12531,5215,0.2729,firstday/blood_gas_first_day.sql,P3,mimic-iii+mimic-iv,eicu,,
mimic-iii,50823,requiredo2,unspecified,requiredo2,mimiciii.LABEVENTS,,0.0,numeric,35.973,80.507,100.0,12531,5215,0.2729,pivot/pivoted_bg.sql,P3,mimic-iii+mimic-iv,eicu,,
mimic-iv,50823,requiredo2,unspecified,requiredo2,mimiciv.hosp.labevents,,0.0,numeric,38.4259,84.723,100.0,6032,2943,0.081,measurement/bg.sql,P1,mimic-iii+mimic-iv,eicu,,
mimic-iii,50817,so2,unspecified,so2,mimiciii.LABEVENTS,%,0.7153,numeric,47.3149,96.5215,99.0,101480,10901,0.5704,firstday/blood_gas_first_day.sql,P3,mimic-iii+mimic-iv,eicu,,
mimic-iii,50817,so2,unspecified,so2,mimiciii.LABEVENTS,%,0.7153,numeric,47.3149,96.5215,99.0,101480,10901,0.5704,pivot/pivoted_bg.sql,P3,mimic-iii+mimic-iv,eicu,,
mimic-iv,50817,so2,unspecified,so2,mimiciv.hosp.labevents,%,1.0,numeric,40.2065,94.5805,99.0,103057,15308,0.4212,measurement/bg.sql,P1,mimic-iii+mimic-iv,eicu,,
mimic-iii,50826,tidal_volume,unspecified,tidal_volume,mimiciii.LABEVENTS,,0.0,numeric,251.1668,550.0,891.201,50595,7634,0.3994,firstday/blood_gas_first_day.sql,P3,mimic-iii+mimic-iv,eicu,,
mimic-iii,50826,tidal_volume,unspecified,tidal_volume,mimiciii.LABEVENTS,,0.0,numeric,251.1668,550.0,891.201,50595,7634,0.3994,pivot/pivoted_bg.sql,P3,mimic-iii+mimic-iv,eicu,,
mimic-iv,224684,tidal_volume,set,tidal_volume_set,mimiciv.icu.chartevents,mL,1.0,numeric,188.8438,450.0,604.3334,205768,17438,0.4799,measurement/ventilator_setting.sql,P1,mimic-iii+mimic-iv,eicu,,
mimic-iv,224685,tidal_volume,observed,tidal_volume_observed,mimiciv.icu.chartevents,mL,1.0,numeric,93.0569,448.7032,885.6575,394900,18429,0.5071,measurement/ventilator_setting.sql,P1,mimic-iii+mimic-iv,eicu,,
mimic-iv,224686,tidal_volume,spontaneous,tidal_volume_spontaneous,mimiciv.icu.chartevents,mL,1.0,numeric,0.2409,446.5169,1021.0231,202505,15296,0.4209,measurement/ventilator_setting.sql,P1,mimic-iii+mimic-iv,eicu,,
mimic-iv,50867,amylase,unspecified,amylase,mimiciv.hosp.labevents,IU/L,1.0,numeric,9.727,64.321,855.4157,13994,5840,0.1607,measurement/enzyme.sql,P1,mimic-iii+mimic-iv,eicu,,"[MIMIC-III 侧已由 itemid 同一性结构性补全, 仅需补 eicu]"
mimic-iv,51143,atypical_lymphocytes,unspecified,atypical_lymphocytes,mimiciv.hosp.labevents,%,1.0,numeric,0.0,0.0,7.6269,19885,5584,0.1537,measurement/blood_differential.sql,P1,mimic-iii+mimic-iv,eicu,,"[MIMIC-III 侧已由 itemid 同一性结构性补全, 仅需补 eicu]"
eicu,Base Deficit,base_deficit,unspecified,base_deficit,eicu.lab,mEq/L,1.0,numeric,0.0,3.7029,21.7074,53951,13652,0.1238,pivoted/pivoted-bg.sql,P4,eicu,mimic-iii+mimic-iv,,
mimic-iv,51146,basophils,unspecified,basophils,mimiciv.hosp.labevents,%,1.0,numeric,0.0,0.2,2.0441,67908,22515,0.6196,measurement/blood_differential.sql,P1,mimic-iii+mimic-iv,eicu,,"[MIMIC-III 侧已由 itemid 同一性结构性补全, 仅需补 eicu]"
mimic-iv,52069,basophils_abs,unspecified,basophils_abs,mimiciv.hosp.labevents,K/uL,1.0,numeric,0.0,0.02,0.2729,39263,12856,0.3538,measurement/blood_differential.sql,P1,mimic-iv,eicu+mimic-iii,,
mimic-iv,50883,bilirubin_direct,unspecified,bilirubin_direct,mimiciv.hosp.labevents,mg/dL,1.0,numeric,0.1,2.0952,29.4412,9568,3939,0.1084,measurement/enzyme.sql,P1,mimic-iii+mimic-iv,eicu,,"[MIMIC-III 侧已由 itemid 同一性结构性补全, 仅需补 eicu]"
mimic-iv,50884,bilirubin_indirect,unspecified,bilirubin_indirect,mimiciv.hosp.labevents,mg/dL,1.0,numeric,0.1,1.0943,13.845,8489,3587,0.0987,measurement/enzyme.sql,P1,mimic-iii+mimic-iv,eicu,,"[MIMIC-III 侧已由 itemid 同一性结构性补全, 仅需补 eicu]"
eicu,Vital Signs|Non-Invasive BP|Non-Invasive BP Mean,bp,noninvasive,nibp,eicu.nurseCharting,,0.0,numeric,48.3898,79.8312,128.3062,8408076,97407,0.8835,pivoted/pivoted-vital.sql,P5,eicu,mimic-iii+mimic-iv,,
eicu,Vital Signs|Invasive BP|Invasive BP Mean,bp,invasive,ibp,eicu.nurseCharting,,0.0,numeric,48.2233,77.2888,129.4355,2182995,26453,0.2399,pivoted/pivoted-vital.sql,P5,eicu,mimic-iii+mimic-iv,,
eicu,Invasive|CI|CI,ci,unspecified,ci,eicu.nurseCharting,,0.0,numeric,1.2607,2.5157,5.1168,143771,4393,0.0398,pivoted/pivoted-vital-other.sql,P5,eicu,mimic-iii+mimic-iv,,
eicu,Vital Signs|CI|CI,ci,unspecified,ci,eicu.nurseCharting,,0.0,numeric,0.0,2.5459,4.9273,6580,763,0.0069,pivoted/pivoted-vital-other.sql,P5,eicu,mimic-iii+mimic-iv,,
mimic-iv,50910,ck_cpk,unspecified,ck_cpk,mimiciv.hosp.labevents,IU/L,1.0,numeric,12.2373,202.9853,49975.7133,40308,14496,0.3989,measurement/enzyme.sql,P1,mimic-iii+mimic-iv,eicu,,"[MIMIC-III 侧已由 itemid 同一性结构性补全, 仅需补 eicu]"
mimic-iv,50911,ck_mb,unspecified,ck_mb,mimiciv.hosp.labevents,ng/mL,1.0,mixed,1.0,5.0,284.6577,40493,14709,0.4048,measurement/cardiac_marker.sql,P1,mimic-iii+mimic-iv,eicu,,"[MIMIC-III 侧已由 itemid 同一性结构性补全, 仅需补 eicu]"
mimic-iv,50911,ck_mb,unspecified,ck_mb,mimiciv.hosp.labevents,ng/mL,1.0,mixed,1.0,5.0,284.6577,40493,14709,0.4048,measurement/enzyme.sql,P1,mimic-iii+mimic-iv,eicu,,"[MIMIC-III 侧已由 itemid 同一性结构性补全, 仅需补 eicu]"
eicu,Invasive|CO|CO,co,unspecified,co,eicu.nurseCharting,,0.0,numeric,2.2027,5.0405,11.6272,75050,2634,0.0239,pivoted/pivoted-vital-other.sql,P5,eicu,mimic-iii+mimic-iv,,
eicu,Vital Signs|CO|CO,co,unspecified,co,eicu.nurseCharting,,0.0,numeric,0.0,5.1459,10.4737,7358,992,0.009,pivoted/pivoted-vital-other.sql,P5,eicu,mimic-iii+mimic-iv,,
eicu,Vital Signs|CPP|CPP,cpp,unspecified,cpp,eicu.nurseCharting,,0.0,numeric,41.8809,78.6993,124.9911,78329,676,0.0061,pivoted/pivoted-vital-other.sql,P5,eicu,mimic-iii+mimic-iv,,
mimic-iv,50889,crp,unspecified,crp,mimiciv.hosp.labevents,mg/L,0.9999,mixed,0.6299,66.4758,287.1596,7569,3286,0.0904,measurement/inflammation.sql,P1,mimic-iii+mimic-iv,eicu,,"[MIMIC-III 侧已由 itemid 同一性结构性补全, 仅需补 eicu]"
mimic-iv,51196,d_dimer,unspecified,d_dimer,mimiciv.hosp.labevents,ng/mL FEU,0.9613,mixed,304.785,1959.7035,19238.7522,3077,867,0.0239,measurement/coagulation.sql,P1,mimic-iii+mimic-iv,eicu,,"[MIMIC-III 侧已由 itemid 同一性结构性补全, 仅需补 eicu]"
eicu,Scores|Fall Risk|Fall Risk,delirium_scale,unspecified,delirium_scale,eicu.nurseCharting,,0.0,categorical,,,,53841,5277,0.0479,pivoted/pivoted-score.sql,P5,eicu,mimic-iii+mimic-iv,,
eicu,Scores|Delirium Scale/Score|Delirium Score,delirium_score,unspecified,delirium_score,eicu.nurseCharting,,0.0,categorical,0.0,0.0,7.0,220689,18601,0.1687,pivoted/pivoted-score.sql,P5,eicu,mimic-iii+mimic-iv,,
mimic-iii,30042,dobutamine,unspecified,dobutamine,mimiciii.INPUTEVENTS_CV,mcgkgmin,0.6059,mixed,0.0,3.0007,19.6357,49005,579,0.0303,severityscores/sofa.sql,P1,mimic-iii,eicu+mimic-iv,,
mimic-iii,30043,dopamine,unspecified,dopamine,mimiciii.INPUTEVENTS_CV,mcgkgmin,0.613,mixed,0.0,3.9966,20.0,114956,1603,0.0839,severityscores/sofa.sql,P1,mimic-iii,eicu+mimic-iv,,
mimic-iii,221662,dopamine,unspecified,dopamine,mimiciii.INPUTEVENTS_MV,mcg/kg/min,1.0,numeric,5.0005,5.0005,5.0005,1,1,0.0001,severityscores/sofa.sql,P1,mimic-iii,eicu+mimic-iv,,
mimic-iv,224651,ectopy_frequency,unspecified,ectopy_frequency,mimiciv.icu.chartevents,,0.0,categorical,,,,481435,22546,0.6204,measurement/rhythm.sql,P1,mimic-iv,eicu+mimic-iii,,
mimic-iv,226480,ectopy_frequency_secondary,unspecified,ectopy_frequency_secondary,mimiciv.icu.chartevents,,0.0,categorical,,,,19262,1838,0.0506,measurement/rhythm.sql,P1,mimic-iv,eicu+mimic-iii,,
mimic-iv,220048,ectopy_type,unspecified,ectopy_type,mimiciv.icu.chartevents,,0.0,categorical,,,,3583284,36294,0.9987,measurement/rhythm.sql,P1,mimic-iv,eicu+mimic-iii,,
mimic-iv,226479,ectopy_type_secondary,unspecified,ectopy_type_secondary,mimiciv.icu.chartevents,,0.0,categorical,,,,32523,2065,0.0568,measurement/rhythm.sql,P1,mimic-iv,eicu+mimic-iii,,
mimic-iv,51200,eosinophils,unspecified,eosinophils,mimiciv.hosp.labevents,%,1.0,numeric,0.0,0.7111,13.6655,67908,22515,0.6196,measurement/blood_differential.sql,P1,mimic-iii+mimic-iv,eicu,,"[MIMIC-III 侧已由 itemid 同一性结构性补全, 仅需补 eicu]"
mimic-iv,52073,eosinophils_abs,unspecified,eosinophils_abs,mimiciv.hosp.labevents,K/uL,1.0,numeric,0.0,0.0525,1.7326,39275,12857,0.3538,measurement/blood_differential.sql,P1,mimic-iv,eicu+mimic-iii,,
mimic-iii,30044,epinephrine,unspecified,epinephrine,mimiciii.INPUTEVENTS_CV,mcgmin,0.6588,mixed,0.0,3.1111,15.2487,381,12,0.0006,severityscores/sofa.sql,P1,mimic-iii,eicu+mimic-iv,,
eicu,Vital Signs|End Tidal CO2|End Tidal CO2,etco2,unspecified,etco2,eicu.nurseCharting,,0.0,numeric,1.6121,31.0692,57.1741,158788,5149,0.0467,pivoted/pivoted-o2.sql,P5,eicu,mimic-iii+mimic-iv,,
mimic-iv,51214,fibrinogen,unspecified,fibrinogen,mimiciv.hosp.labevents,mg/dL,1.0,numeric,66.8645,236.6251,954.3574,44425,13527,0.3722,measurement/coagulation.sql,P1,mimic-iii+mimic-iv,eicu,,"[MIMIC-III 侧已由 itemid 同一性结构性补全, 仅需补 eicu]"
eicu,Scores|Glasgow coma score|GCS Total,gcs,total,gcs_total,eicu.nurseCharting,,0.0,numeric,3.0,14.0198,15.0,2363928,82103,0.7447,pivoted/pivoted-gcs.sql,P5,eicu,mimic-iii+mimic-iv,,
eicu,Scores|Glasgow coma score|GCS Total,gcs,total,gcs_total,eicu.nurseCharting,,0.0,numeric,3.0,14.0198,15.0,2363928,82103,0.7447,pivoted/pivoted-score.sql,P5,eicu,mimic-iii+mimic-iv,,
eicu,Scores|Glasgow coma score|Eyes,gcs_eyes,unspecified,gcs_eyes,eicu.nurseCharting,,0.0,numeric,1.0,4.0,4.0,1996612,71980,0.6528,pivoted/pivoted-gcs.sql,P5,eicu,mimic-iii+mimic-iv,,
eicu,Scores|Glasgow coma score|Eyes,gcs_eyes,unspecified,gcs_eyes,eicu.nurseCharting,,0.0,numeric,1.0,4.0,4.0,1996612,71980,0.6528,pivoted/pivoted-score.sql,P5,eicu,mimic-iii+mimic-iv,,
eicu,Scores|Glasgow coma score|Motor,gcs_motor,unspecified,gcs_motor,eicu.nurseCharting,,0.0,numeric,1.0,6.0,6.0,1994837,71980,0.6528,pivoted/pivoted-gcs.sql,P5,eicu,mimic-iii+mimic-iv,,
eicu,Scores|Glasgow coma score|GCS Total,gcs_unable,unspecified,gcs_unable,eicu.nurseCharting,,0.0,numeric,3.0,14.0198,15.0,2363928,82103,0.7447,pivoted/pivoted-score.sql,P5,eicu,mimic-iii+mimic-iv,,
eicu,Scores|Glasgow coma score|Verbal,gcs_verbal,unspecified,gcs_verbal,eicu.nurseCharting,,0.0,numeric,1.0,4.9997,5.0,1990208,71927,0.6524,pivoted/pivoted-gcs.sql,P5,eicu,mimic-iii+mimic-iv,,
mimic-iv,50927,ggt,unspecified,ggt,mimiciv.hosp.labevents,IU/L,1.0,numeric,7.745,131.6934,1734.2207,1051,906,0.0249,measurement/enzyme.sql,P1,mimic-iii+mimic-iv,eicu,,"[MIMIC-III 侧已由 itemid 同一性结构性补全, 仅需补 eicu]"
mimic-iv,50930,globulin,unspecified,globulin,mimiciv.hosp.labevents,g/dL,1.0,numeric,1.0467,2.4396,5.6507,1960,1268,0.0349,measurement/chemistry.sql,P1,mimic-iii+mimic-iv,eicu,,"[MIMIC-III 侧已由 itemid 同一性结构性补全, 仅需补 eicu]"
mimic-iv,51218,granulocytes_abs,unspecified,granulocytes_abs,mimiciv.hosp.labevents,#/uL,1.0,numeric,0.0,371.1535,14990.6046,2468,261,0.0072,measurement/blood_differential.sql,P1,mimic-iii+mimic-iv,eicu,,"[MIMIC-III 侧已由 itemid 同一性结构性补全, 仅需补 eicu]"
eicu,Vital Signs|IAP|IAP,iap,unspecified,iap,eicu.nurseCharting,,0.0,numeric,-13.0,18.0,98.0,450,70,0.0006,pivoted/pivoted-vital-other.sql,P5,eicu,mimic-iii+mimic-iv,,
eicu,Vital Signs|ICP|ICP,icp,unspecified,icp,eicu.nurseCharting,,0.0,numeric,-1.1943,9.0,37.0718,150186,884,0.008,pivoted/pivoted-vital-other.sql,P5,eicu,mimic-iii+mimic-iv,,
mimic-iv,52135,immature_granulocytes,unspecified,immature_granulocytes,mimiciv.hosp.labevents,%,1.0,numeric,0.2,0.8,4.6461,23568,11201,0.3082,measurement/blood_differential.sql,P1,mimic-iv,eicu+mimic-iii,,
mimic-iii,50812,intubated,unspecified,intubated,mimiciii.LABEVENTS,,0.0,categorical,,,,105424,13189,0.6901,firstday/blood_gas_first_day.sql,P3,mimic-iii,eicu+mimic-iv,,
mimic-iii,50812,intubated,unspecified,intubated,mimiciii.LABEVENTS,,0.0,categorical,,,,105424,13189,0.6901,pivot/pivoted_bg.sql,P3,mimic-iii,eicu+mimic-iv,,
mimic-iv,50954,ld_ldh,unspecified,ld_ldh,mimiciv.hosp.labevents,IU/L,1.0,numeric,117.2298,302.7552,5731.1245,79762,19007,0.523,measurement/enzyme.sql,P1,mimic-iii+mimic-iv,eicu,,"[MIMIC-III 侧已由 itemid 同一性结构性补全, 仅需补 eicu]"
mimic-iv,51244,lymphocytes,unspecified,lymphocytes,mimiciv.hosp.labevents,%,1.0,numeric,0.4719,11.4235,96.9196,67908,22515,0.6196,measurement/blood_differential.sql,P1,mimic-iii+mimic-iv,eicu,,"[MIMIC-III 侧已由 itemid 同一性结构性补全, 仅需补 eicu]"
mimic-iv,51245,lymphocytes,unspecified,lymphocytes,mimiciv.hosp.labevents,%,1.0,numeric,1.0,13.0,69.34,283,247,0.0068,measurement/blood_differential.sql,P1,mimic-iii+mimic-iv,eicu,,"[MIMIC-III 侧已由 itemid 同一性结构性补全, 仅需补 eicu]"
mimic-iv,51133,lymphocytes_abs,unspecified,lymphocytes_abs,mimiciv.hosp.labevents,K/uL,1.0,numeric,0.0245,1.0549,8.1096,39263,12856,0.3538,measurement/blood_differential.sql,P1,mimic-iii+mimic-iv,eicu,,"[MIMIC-III 侧已由 itemid 同一性结构性补全, 仅需补 eicu]"
mimic-iv,51248,mch,unspecified,mch,mimiciv.hosp.labevents,pg,1.0,numeric,22.5615,30.119,36.4162,475842,36201,0.9962,measurement/complete_blood_count.sql,P1,mimic-iii+mimic-iv,eicu,,"[MIMIC-III 侧已由 itemid 同一性结构性补全, 仅需补 eicu]"
mimic-iv,51249,mchc,unspecified,mchc,mimiciv.hosp.labevents,g/dL,1.0,numeric,28.7053,32.6884,36.5619,475892,36201,0.9962,measurement/complete_blood_count.sql,P1,mimic-iii+mimic-iv,eicu,,"[MIMIC-III 侧已由 itemid 同一性结构性补全, 仅需补 eicu]"
mimic-iv,51250,mcv,unspecified,mcv,mimiciv.hosp.labevents,fL,1.0,numeric,74.1567,91.9966,111.0084,475842,36201,0.9962,measurement/complete_blood_count.sql,P1,mimic-iii+mimic-iv,eicu,,"[MIMIC-III 侧已由 itemid 同一性结构性补全, 仅需补 eicu]"
mimic-iv,51251,metamyelocytes,unspecified,metamyelocytes,mimiciv.hosp.labevents,%,1.0,numeric,0.0,0.0,10.2783,21624,6017,0.1656,measurement/blood_differential.sql,P1,mimic-iii+mimic-iv,eicu,,"[MIMIC-III 侧已由 itemid 同一性结构性补全, 仅需补 eicu]"
mimic-iv,224687,minute_volume,unspecified,minute_volume,mimiciv.icu.chartevents,L/min,1.0,numeric,3.6485,8.941,18.0822,384300,18493,0.5089,measurement/ventilator_setting.sql,P1,mimic-iv,eicu+mimic-iii,,
mimic-iv,51254,monocytes,unspecified,monocytes,mimiciv.hosp.labevents,%,1.0,numeric,0.0,5.6232,29.7097,67908,22515,0.6196,measurement/blood_differential.sql,P1,mimic-iii+mimic-iv,eicu,,"[MIMIC-III 侧已由 itemid 同一性结构性补全, 仅需补 eicu]"
mimic-iv,52074,monocytes_abs,unspecified,monocytes_abs,mimiciv.hosp.labevents,K/uL,1.0,numeric,0.0,0.6456,3.7893,39263,12856,0.3538,measurement/blood_differential.sql,P1,mimic-iv,eicu+mimic-iii,,
mimic-iv,51256,neutrophils,unspecified,neutrophils,mimiciv.hosp.labevents,%,1.0,numeric,0.0,77.0774,96.0355,67908,22515,0.6196,measurement/blood_differential.sql,P1,mimic-iii+mimic-iv,eicu,,"[MIMIC-III 侧已由 itemid 同一性结构性补全, 仅需补 eicu]"
mimic-iv,52075,neutrophils_abs,unspecified,neutrophils_abs,mimiciv.hosp.labevents,K/uL,1.0,numeric,0.0043,7.7995,36.9711,39273,12856,0.3538,measurement/blood_differential.sql,P1,mimic-iv,eicu+mimic-iii,,
mimic-iii,30047,norepinephrine,unspecified,norepinephrine,mimiciii.INPUTEVENTS_CV,mcgmin,0.647,mixed,0.0,5.8005,62.5855,16119,166,0.0087,severityscores/sofa.sql,P1,mimic-iii,eicu+mimic-iv,,
mimic-iii,221906,norepinephrine,unspecified,norepinephrine,mimiciii.INPUTEVENTS_MV,mcg/kg/min,1.0,numeric,0.0028,0.07,0.6106,72,6,0.0003,severityscores/sofa.sql,P1,mimic-iii,eicu+mimic-iv,,
mimic-iv,51257,nrbc,unspecified,nrbc,mimiciv.hosp.labevents,%,1.0,numeric,0.1,1.0,59.1678,11860,3931,0.1082,measurement/blood_differential.sql,P1,mimic-iii+mimic-iv,eicu,,"[MIMIC-III 侧已由 itemid 同一性结构性补全, 仅需补 eicu]"
