base_concept,group,status,n_dbs_covered,dbs_covered,dbs_missing,units_observed,n_source_pairs
o2_flow,respiratory_bloodgas,auto,3,eicu+mimic-iii+mimic-iv,,L/min,5
o2_flow_additional,respiratory_bloodgas,needs_adjudication,1,mimic-iv,eicu+mimic-iii,L/min,1
padiastolic,vital,needs_adjudication,1,eicu,mimic-iii+mimic-iv,,2
pain_goal,vital,needs_adjudication,1,eicu,mimic-iii+mimic-iv,,1
pain_score,vital,needs_adjudication,1,eicu,mimic-iii+mimic-iv,,1
pamean,vital,needs_adjudication,1,eicu,mimic-iii+mimic-iv,,2
paop,vital,needs_adjudication,1,eicu,mimic-iii+mimic-iv,,2
pasystolic,vital,needs_adjudication,1,eicu,mimic-iii+mimic-iv,,2
pco2,respiratory_bloodgas,auto,3,eicu+mimic-iii+mimic-iv,,mm Hg,4
peep,respiratory_bloodgas,auto,3,eicu+mimic-iii+mimic-iv,,cm H2O;cmH2O,6
ph,respiratory_bloodgas,auto,3,eicu+mimic-iii+mimic-iv,,units,4
plateau_pressure,respiratory_bloodgas,needs_adjudication,1,mimic-iv,eicu+mimic-iii,cmH2O,1
platelets,lab,auto,3,eicu+mimic-iii+mimic-iv,,K/mcL;K/uL,5
po2,respiratory_bloodgas,auto,3,eicu+mimic-iii+mimic-iv,,mm Hg,4
potassium,lab,auto,3,eicu+mimic-iii+mimic-iv,,mEq/L;mmol/L,10
pt,lab,auto,3,eicu+mimic-iii+mimic-iv,,sec,4
ptt,lab,auto,3,eicu+mimic-iii+mimic-iv,,sec,5
pvr,vital,needs_adjudication,1,eicu,mimic-iii+mimic-iv,,2
pvri,vital,needs_adjudication,1,eicu,mimic-iii+mimic-iv,,2
rbc,lab,needs_adjudication,1,mimic-iv,eicu+mimic-iii,m/uL,1
rdw,lab,needs_adjudication,1,mimic-iv,eicu+mimic-iii,%,1
requiredo2,respiratory_bloodgas,needs_adjudication,2,mimic-iii+mimic-iv,eicu,,3
respiratory_rate,vital,auto,3,eicu+mimic-iii+mimic-iv,,BPM;insp/min,16
sbp,vital,auto,3,eicu+mimic-iii+mimic-iv,,mmHg,18
sedation_goal,vital,needs_adjudication,1,eicu,mimic-iii+mimic-iv,,1
sedation_scale,vital,needs_adjudication,1,eicu,mimic-iii+mimic-iv,,1
sedation_score,vital,needs_adjudication,1,eicu,mimic-iii+mimic-iv,,1
sex,demographic,auto_table_column,3,eicu+mimic-iii+mimic-iv,,,0
so2,respiratory_bloodgas,needs_adjudication,2,mimic-iii+mimic-iv,eicu,%,3
sodium,lab,auto,3,eicu+mimic-iii+mimic-iv,,mEq/L;mmol/L,10
spo2,vital,auto,3,eicu+mimic-iii+mimic-iv,,%,6
sv,vital,needs_adjudication,1,eicu,mimic-iii+mimic-iv,,2
svo2,respiratory_bloodgas,needs_adjudication,1,eicu,mimic-iii+mimic-iv,,3
svr,vital,needs_adjudication,1,eicu,mimic-iii+mimic-iv,,2
svri,vital,needs_adjudication,1,eicu,mimic-iii+mimic-iv,,2
temperature,vital,auto,3,eicu+mimic-iii+mimic-iv,,?C;?F;Deg. C;Deg. F,10
temperature_site,vital,needs_adjudication,1,mimic-iv,eicu+mimic-iii,,1
temperaturelocation,vital,needs_adjudication,1,eicu,mimic-iii+mimic-iv,,1
thrombin,lab,needs_adjudication,1,mimic-iv,eicu+mimic-iii,sec,1
tidal_volume,respiratory_bloodgas,needs_adjudication,2,mimic-iii+mimic-iv,eicu,mL,5
total_protein,lab,needs_adjudication,1,mimic-iv,eicu+mimic-iii,g/dL,1
troponin_t,lab,needs_adjudication,1,mimic-iv,eicu+mimic-iii,ng/mL,1
ventilator,respiratory_bloodgas,needs_adjudication,1,mimic-iii,eicu+mimic-iv,,2
ventilator_mode,respiratory_bloodgas,needs_adjudication,1,mimic-iv,eicu+mimic-iii,,1
ventilator_mode_hamilton,respiratory_bloodgas,needs_adjudication,1,mimic-iv,eicu+mimic-iii,,1
ventilator_type,respiratory_bloodgas,needs_adjudication,1,mimic-iv,eicu+mimic-iii,,1
wbc,lab,auto,3,eicu+mimic-iii+mimic-iv,,K/mcL;K/uL,9
weight,vital,needs_adjudication,1,mimic-iii,eicu+mimic-iv,kg,3
vasopressin,medication,needs_adjudication,0,,eicu+mimic-iii+mimic-iv,,0
phenylephrine,medication,needs_adjudication,0,,eicu+mimic-iii+mimic-iv,,0
