db,field_key,base_concept,method,concept_raw,src_table,unit_observed,unit_recovery_rate,dtype_inferred,p01,p50,p99,n_rows,n_keys,coverage,src_file,pattern
eicu,BUN,bun,unspecified,bun,eicu.lab,mg/dL,1.0,numeric,3.765,21.6393,112.0977,896094,109131,0.9898,concepts/labsfirstday.sql,P4
mimic-iii,51006,bun,unspecified,bun,mimiciii.LABEVENTS,mg/dL,0.9999,numeric,4.1392,21.9738,115.4788,252171,18877,0.9877,firstday/labs_first_day.sql,P3
mimic-iii,51006,bun,unspecified,bun,mimiciii.LABEVENTS,mg/dL,0.9999,numeric,4.1392,21.9738,115.4788,252171,18877,0.9877,pivot/pivoted_lab.sql,P3
mimic-iv,51006,bun,unspecified,bun,mimiciv.hosp.labevents,mg/dL,1.0,numeric,4.0608,21.669,117.8934,518206,36216,0.9966,measurement/chemistry.sql,P1
eicu,calcium,calcium,unspecified,calcium,eicu.lab,mg/dL,1.0,numeric,6.2988,8.4,10.4039,861453,107122,0.9716,pivoted/pivoted-lab.sql,P4
mimic-iii,50808,calcium,unspecified,calcium,mimiciii.LABEVENTS,mmol/L,0.9999,numeric,0.8293,1.1375,1.4266,135655,12462,0.6521,firstday/blood_gas_first_day.sql,P3
mimic-iii,50808,calcium,unspecified,calcium,mimiciii.LABEVENTS,mmol/L,0.9999,numeric,0.8293,1.1375,1.4266,135655,12462,0.6521,pivot/pivoted_bg.sql,P3
mimic-iv,50808,calcium,unspecified,calcium,mimiciv.hosp.labevents,mmol/L,1.0,numeric,0.8491,1.1214,1.446,174600,20877,0.5745,measurement/bg.sql,P1
mimic-iv,50893,calcium,unspecified,calcium,mimiciv.hosp.labevents,mg/dL,1.0,numeric,6.6616,8.4988,10.6788,450306,35469,0.976,measurement/chemistry.sql,P1
eicu,chloride,chloride,unspecified,chloride,eicu.lab,mmol/L,1.0,numeric,85.4034,103.9999,122.1991,907279,108688,0.9858,pivoted/pivoted-lab.sql,P4
eicu,chloride,chloride,unspecified,chloride,eicu.lab,mmol/L,1.0,numeric,85.4034,103.9999,122.1991,907279,108688,0.9858,concepts/labsfirstday.sql,P4
mimic-iii,50806,chloride,unspecified,chloride,mimiciii.LABEVENTS,mEq/L,0.9999,numeric,91.0241,106.0215,120.4892,18864,7529,0.3939,firstday/blood_gas_first_day.sql,P3
mimic-iii,50806,chloride,unspecified,chloride,mimiciii.LABEVENTS,mEq/L,0.9999,numeric,91.0241,106.0215,120.4892,18864,7529,0.3939,firstday/labs_first_day.sql,P3
mimic-iii,50902,chloride,unspecified,chloride,mimiciii.LABEVENTS,mEq/L,0.9999,numeric,89.3084,104.0,119.3542,245887,18859,0.9868,firstday/labs_first_day.sql,P3
mimic-iii,50806,chloride,unspecified,chloride,mimiciii.LABEVENTS,mEq/L,0.9999,numeric,91.0241,106.0215,120.4892,18864,7529,0.3939,pivot/pivoted_bg.sql,P3
mimic-iii,50806,chloride,unspecified,chloride,mimiciii.LABEVENTS,mEq/L,0.9999,numeric,91.0241,106.0215,120.4892,18864,7529,0.3939,pivot/pivoted_lab.sql,P3
mimic-iii,50902,chloride,unspecified,chloride,mimiciii.LABEVENTS,mEq/L,0.9999,numeric,89.3084,104.0,119.3542,245887,18859,0.9868,pivot/pivoted_lab.sql,P3
mimic-iv,50806,chloride,unspecified,chloride,mimiciv.hosp.labevents,mEq/L,1.0,numeric,90.0138,105.4734,119.794,33536,13524,0.3722,measurement/bg.sql,P1
mimic-iv,50902,chloride,unspecified,chloride,mimiciv.hosp.labevents,mEq/L,1.0,numeric,86.3456,102.5774,119.9748,533138,36217,0.9966,measurement/chemistry.sql,P1
eicu,creatinine,creatinine,unspecified,creatinine,eicu.lab,mg/dL,1.0,numeric,0.3128,1.0085,8.5351,901029,109168,0.9901,pivoted/pivoted-lab.sql,P4
eicu,creatinine,creatinine,unspecified,creatinine,eicu.lab,mg/dL,1.0,numeric,0.3128,1.0085,8.5351,901029,109168,0.9901,concepts/labsfirstday.sql,P4
mimic-iii,50912,creatinine,unspecified,creatinine,mimiciii.LABEVENTS,mg/dL,0.9999,numeric,0.2997,0.9483,7.8685,253176,18877,0.9877,firstday/labs_first_day.sql,P3
mimic-iii,50912,creatinine,unspecified,creatinine,mimiciii.LABEVENTS,mg/dL,0.9999,numeric,0.2997,0.9483,7.8685,253176,18877,0.9877,pivot/pivoted_lab.sql,P3
mimic-iv,50912,creatinine,unspecified,creatinine,mimiciv.hosp.labevents,mg/dL,1.0,numeric,0.3,0.9979,7.5883,519789,36218,0.9966,measurement/chemistry.sql,P1
eicu,Vital Signs|Non-Invasive BP|Non-Invasive BP Diastolic,dbp,noninvasive,dbp_noninvasive,eicu.nurseCharting,,0.0,numeric,34.5525,64.7758,108.6732,9992144,101833,0.9236,pivoted/pivoted-vital.sql,P5
eicu,Vital Signs|Invasive BP|Invasive BP Diastolic,dbp,invasive,dbp_invasive,eicu.nurseCharting,,0.0,numeric,32.8682,57.8081,100.6106,2592898,29455,0.2671,pivoted/pivoted-vital.sql,P5
mimic-iii,8368,dbp,unspecified,dbp,mimiciii.CHARTEVENTS,mmHg,1.0,numeric,33.1663,58.9391,100.2529,1570955,12274,0.6422,firstday/vitals_first_day.sql,P2
mimic-iii,8440,dbp,unspecified,dbp,mimiciii.CHARTEVENTS,mmHg,1.0,numeric,31.13,61.7837,99.0367,1489,400,0.0209,firstday/vitals_first_day.sql,P2
mimic-iii,8441,dbp,unspecified,dbp,mimiciii.CHARTEVENTS,mmHg,1.0,numeric,26.7487,57.0563,98.8023,1045799,18286,0.9568,firstday/vitals_first_day.sql,P2
mimic-iii,8555,dbp,unspecified,dbp,mimiciii.CHARTEVENTS,mmHg,1.0,numeric,28.8136,57.1763,96.2427,14845,375,0.0196,firstday/vitals_first_day.sql,P2
mimic-iii,220180,dbp,unspecified,dbp,mimiciii.CHARTEVENTS,mmHg,1.0,numeric,34.91,66.0954,101.471,1523,14,0.0007,firstday/vitals_first_day.sql,P2
mimic-iii,220051,dbp,unspecified,dbp,mimiciii.CHARTEVENTS,mmHg,1.0,numeric,36.3222,59.9912,96.3778,1240,7,0.0004,firstday/vitals_first_day.sql,P2
mimic-iii,8368,dbp,unspecified,dbp,mimiciii.CHARTEVENTS,mmHg,1.0,numeric,33.1663,58.9391,100.2529,1570955,12274,0.6422,pivot/pivoted_vital.sql,P1
mimic-iii,8440,dbp,unspecified,dbp,mimiciii.CHARTEVENTS,mmHg,1.0,numeric,31.13,61.7837,99.0367,1489,400,0.0209,pivot/pivoted_vital.sql,P1
mimic-iii,8441,dbp,unspecified,dbp,mimiciii.CHARTEVENTS,mmHg,1.0,numeric,26.7487,57.0563,98.8023,1045799,18286,0.9568,pivot/pivoted_vital.sql,P1
mimic-iii,8555,dbp,unspecified,dbp,mimiciii.CHARTEVENTS,mmHg,1.0,numeric,28.8136,57.1763,96.2427,14845,375,0.0196,pivot/pivoted_vital.sql,P1
mimic-iii,220180,dbp,unspecified,dbp,mimiciii.CHARTEVENTS,mmHg,1.0,numeric,34.91,66.0954,101.471,1523,14,0.0007,pivot/pivoted_vital.sql,P1
mimic-iii,220051,dbp,unspecified,dbp,mimiciii.CHARTEVENTS,mmHg,1.0,numeric,36.3222,59.9912,96.3778,1240,7,0.0004,pivot/pivoted_vital.sql,P1
mimic-iv,220180,dbp,unspecified,dbp,mimiciv.icu.chartevents,mmHg,1.0,numeric,35.2368,64.5765,110.345,2317959,36011,0.9909,measurement/vitalsign.sql,P1
mimic-iv,220051,dbp,unspecified,dbp,mimiciv.icu.chartevents,mmHg,1.0,numeric,34.2917,57.7372,98.5245,1526345,17615,0.4847,measurement/vitalsign.sql,P1
mimic-iv,225310,dbp,unspecified,dbp,mimiciv.icu.chartevents,mmHg,1.0,numeric,29.7264,56.8551,98.0818,185986,3296,0.0907,measurement/vitalsign.sql,P1
mimic-iv,220180,dbp,noninvasive,dbp_ni,mimiciv.icu.chartevents,mmHg,1.0,numeric,35.2368,64.5765,110.345,2317959,36011,0.9909,measurement/vitalsign.sql,P1
eicu,bedside glucose,glucose,unspecified,glucose,eicu.lab,mg/dL,1.0,numeric,60.0165,138.1475,373.9323,2275585,77974,0.7072,pivoted/pivoted-lab.sql,P4
eicu,glucose,glucose,unspecified,glucose,eicu.lab,mg/dL,1.0,numeric,64.3387,124.5849,427.0305,934056,108820,0.987,pivoted/pivoted-lab.sql,P4
eicu,glucose,glucose,unspecified,glucose,eicu.lab,mg/dL,1.0,numeric,64.3387,124.5849,427.0305,934056,108820,0.987,concepts/labsfirstday.sql,P4
mimic-iii,50809,glucose,unspecified,glucose,mimiciii.LABEVENTS,mg/dL,1.0,numeric,60.9899,130.1471,329.2384,110647,11690,0.6117,firstday/blood_gas_first_day.sql,P3
mimic-iii,50809,glucose,unspecified,glucose,mimiciii.LABEVENTS,mg/dL,1.0,numeric,60.9899,130.1471,329.2384,110647,11690,0.6117,firstday/labs_first_day.sql,P3
mimic-iii,50931,glucose,unspecified,glucose,mimiciii.LABEVENTS,mg/dL,0.9999,numeric,58.7913,119.256,339.7565,243060,18856,0.9866,firstday/labs_first_day.sql,P3
mimic-iii,807,glucose,unspecified,glucose,mimiciii.CHARTEVENTS,,0.0,numeric,61.0412,130.143,332.2447,305034,13665,0.715,firstday/vitals_first_day.sql,P2
mimic-iii,811,glucose,unspecified,glucose,mimiciii.CHARTEVENTS,,0.0,numeric,60.9541,125.7254,317.8038,279109,18725,0.9798,firstday/vitals_first_day.sql,P2
mimic-iii,1529,glucose,unspecified,glucose,mimiciii.CHARTEVENTS,,0.0,numeric,60.2054,123.4376,312.7063,203899,14047,0.735,firstday/vitals_first_day.sql,P2
mimic-iii,225664,glucose,unspecified,glucose,mimiciii.CHARTEVENTS,,0.0,numeric,55.07,149.84,307.65,357,12,0.0006,firstday/vitals_first_day.sql,P2
mimic-iii,220621,glucose,unspecified,glucose,mimiciii.CHARTEVENTS,mg/dL,0.9993,numeric,61.3212,124.1664,325.3244,10219,1636,0.0856,firstday/vitals_first_day.sql,P2
mimic-iii,226537,glucose,unspecified,glucose,mimiciii.CHARTEVENTS,mg/dL,1.0,numeric,60.0094,121.2454,276.4306,6362,775,0.0406,firstday/vitals_first_day.sql,P2
mimic-iii,50809,glucose,unspecified,glucose,mimiciii.LABEVENTS,mg/dL,1.0,numeric,60.9899,130.1471,329.2384,110647,11690,0.6117,pivot/pivoted_bg.sql,P3
mimic-iii,50809,glucose,unspecified,glucose,mimiciii.LABEVENTS,mg/dL,1.0,numeric,60.9899,130.1471,329.2384,110647,11690,0.6117,pivot/pivoted_lab.sql,P3
mimic-iii,50931,glucose,unspecified,glucose,mimiciii.LABEVENTS,mg/dL,0.9999,numeric,58.7913,119.256,339.7565,243060,18856,0.9866,pivot/pivoted_lab.sql,P3
mimic-iii,807,glucose,unspecified,glucose,mimiciii.CHARTEVENTS,,0.0,numeric,61.0412,130.143,332.2447,305034,13665,0.715,pivot/pivoted_vital.sql,P1
mimic-iii,811,glucose,unspecified,glucose,mimiciii.CHARTEVENTS,,0.0,numeric,60.9541,125.7254,317.8038,279109,18725,0.9798,pivot/pivoted_vital.sql,P1
mimic-iii,1529,glucose,unspecified,glucose,mimiciii.CHARTEVENTS,,0.0,numeric,60.2054,123.4376,312.7063,203899,14047,0.735,pivot/pivoted_vital.sql,P1
mimic-iii,225664,glucose,unspecified,glucose,mimiciii.CHARTEVENTS,,0.0,numeric,55.07,149.84,307.65,357,12,0.0006,pivot/pivoted_vital.sql,P1
mimic-iii,220621,glucose,unspecified,glucose,mimiciii.CHARTEVENTS,mg/dL,0.9993,numeric,61.3212,124.1664,325.3244,10219,1636,0.0856,pivot/pivoted_vital.sql,P1
mimic-iii,226537,glucose,unspecified,glucose,mimiciii.CHARTEVENTS,mg/dL,1.0,numeric,60.0094,121.2454,276.4306,6362,775,0.0406,pivot/pivoted_vital.sql,P1
mimic-iv,50809,glucose,unspecified,glucose,mimiciv.hosp.labevents,mg/dL,1.0,numeric,67.8184,133.3099,317.0065,119727,16631,0.4576,measurement/bg.sql,P1
mimic-iv,50931,glucose,unspecified,glucose,mimiciv.hosp.labevents,mg/dL,1.0,numeric,65.4862,121.7652,346.9996,505890,36215,0.9966,measurement/chemistry.sql,P1
mimic-iv,225664,glucose,unspecified,glucose,mimiciv.icu.chartevents,,0.0,numeric,65.0865,137.6317,365.8524,466121,29046,0.7993,measurement/vitalsign.sql,P1
mimic-iv,220621,glucose,unspecified,glucose,mimiciv.icu.chartevents,mg/dL,0.9886,numeric,66.8886,128.7272,358.5033,261758,36138,0.9944,measurement/vitalsign.sql,P1
mimic-iv,226537,glucose,unspecified,glucose,mimiciv.icu.chartevents,mg/dL,0.9078,numeric,67.0733,133.2107,323.0977,104415,14349,0.3949,measurement/vitalsign.sql,P1
eicu,Vital Signs|Heart Rate|Heart Rate,heart_rate,unspecified,heart_rate,eicu.nurseCharting,,0.0,numeric,49.5509,84.9941,136.6683,12850933,102895,0.9332,pivoted/pivoted-vital.sql,P5
mimic-iii,211,heart_rate,unspecified,heart_rate,mimiciii.CHARTEVENTS,BPM,1.0,numeric,51.4583,85.7331,135.1195,2476111,18815,0.9845,firstday/vitals_first_day.sql,P2
mimic-iii,220045,heart_rate,unspecified,heart_rate,mimiciii.CHARTEVENTS,bpm,1.0,numeric,49.3636,84.7848,138.7857,2650,13,0.0007,firstday/vitals_first_day.sql,P2
mimic-iii,211,heart_rate,unspecified,heart_rate,mimiciii.CHARTEVENTS,BPM,1.0,numeric,51.4583,85.7331,135.1195,2476111,18815,0.9845,pivot/pivoted_vital.sql,P1
mimic-iii,220045,heart_rate,unspecified,heart_rate,mimiciii.CHARTEVENTS,bpm,1.0,numeric,49.3636,84.7848,138.7857,2650,13,0.0007,pivot/pivoted_vital.sql,P1
mimic-iv,220045,heart_rate,unspecified,heart_rate,mimiciv.icu.chartevents,bpm,1.0,numeric,49.1024,84.3441,135.3071,3947601,36339,1.0,measurement/vitalsign.sql,P1
eicu,Hct,hematocrit,unspecified,hematocrit,eicu.lab,%,1.0,numeric,19.1072,30.5224,48.4893,905005,109054,0.9891,pivoted/pivoted-lab.sql,P4
eicu,Hct,hematocrit,unspecified,hematocrit,eicu.lab,%,1.0,numeric,19.1072,30.5224,48.4893,905005,109054,0.9891,concepts/labsfirstday.sql,P4
mimic-iii,50810,hematocrit,unspecified,hematocrit,mimiciii.LABEVENTS,%,1.0,numeric,18.1268,30.9853,46.714,47335,10950,0.5729,firstday/blood_gas_first_day.sql,P3
mimic-iii,50810,hematocrit,unspecified,hematocrit,mimiciii.LABEVENTS,%,1.0,numeric,18.1268,30.9853,46.714,47335,10950,0.5729,firstday/labs_first_day.sql,P3
mimic-iii,51221,hematocrit,unspecified,hematocrit,mimiciii.LABEVENTS,%,0.9999,numeric,20.8924,30.2299,44.421,289976,18876,0.9877,firstday/labs_first_day.sql,P3
mimic-iii,50810,hematocrit,unspecified,hematocrit,mimiciii.LABEVENTS,%,1.0,numeric,18.1268,30.9853,46.714,47335,10950,0.5729,pivot/pivoted_bg.sql,P3
mimic-iii,50810,hematocrit,unspecified,hematocrit,mimiciii.LABEVENTS,%,1.0,numeric,18.1268,30.9853,46.714,47335,10950,0.5729,pivot/pivoted_lab.sql,P3
mimic-iii,51221,hematocrit,unspecified,hematocrit,mimiciii.LABEVENTS,%,0.9999,numeric,20.8924,30.2299,44.421,289976,18876,0.9877,pivot/pivoted_lab.sql,P3
mimic-iv,50810,hematocrit,unspecified,hematocrit,mimiciv.hosp.labevents,%,1.0,numeric,17.9576,29.9971,46.5548,55919,14086,0.3876,measurement/bg.sql,P1
mimic-iv,51221,hematocrit,unspecified,hematocrit,mimiciv.hosp.labevents,%,1.0,numeric,19.746,28.8475,45.9256,519688,36206,0.9963,measurement/complete_blood_count.sql,P1
eicu,Hgb,hemoglobin,unspecified,hemoglobin,eicu.lab,g/dL,1.0,numeric,6.3321,9.9772,16.2097,920579,108574,0.9847,pivoted/pivoted-lab.sql,P4
eicu,Hgb,hemoglobin,unspecified,hemoglobin,eicu.lab,g/dL,1.0,numeric,6.3321,9.9772,16.2097,920579,108574,0.9847,concepts/labsfirstday.sql,P4
mimic-iii,50811,hemoglobin,unspecified,hemoglobin,mimiciii.LABEVENTS,g/dL,1.0,numeric,6.036,10.2566,15.5185,47333,10950,0.5729,firstday/blood_gas_first_day.sql,P3
mimic-iii,50811,hemoglobin,unspecified,hemoglobin,mimiciii.LABEVENTS,g/dL,1.0,numeric,6.036,10.2566,15.5185,47333,10950,0.5729,firstday/labs_first_day.sql,P3
mimic-iii,51222,hemoglobin,unspecified,hemoglobin,mimiciii.LABEVENTS,g/dL,0.9999,numeric,7.0461,10.269,15.3498,234246,18868,0.9872,firstday/labs_first_day.sql,P3
mimic-iii,50811,hemoglobin,unspecified,hemoglobin,mimiciii.LABEVENTS,g/dL,1.0,numeric,6.036,10.2566,15.5185,47333,10950,0.5729,pivot/pivoted_bg.sql,P3
mimic-iii,50811,hemoglobin,unspecified,hemoglobin,mimiciii.LABEVENTS,g/dL,1.0,numeric,6.036,10.2566,15.5185,47333,10950,0.5729,pivot/pivoted_lab.sql,P3
mimic-iii,51222,hemoglobin,unspecified,hemoglobin,mimiciii.LABEVENTS,g/dL,0.9999,numeric,7.0461,10.269,15.3498,234246,18868,0.9872,pivot/pivoted_lab.sql,P3
mimic-iv,50811,hemoglobin,unspecified,hemoglobin,mimiciv.hosp.labevents,g/dL,1.0,numeric,5.9561,9.9096,15.3762,55916,14085,0.3876,measurement/bg.sql,P1
mimic-iv,51222,hemoglobin,unspecified,hemoglobin,mimiciv.hosp.labevents,g/dL,1.0,numeric,6.4361,9.4326,15.282,481938,36201,0.9962,measurement/complete_blood_count.sql,P1
eicu,PT - INR,inr,unspecified,inr,eicu.lab,ratio,1.0,numeric,0.9,1.3,5.866,285576,80596,0.731,pivoted/pivoted-lab.sql,P4
eicu,PT - INR,inr,unspecified,inr,eicu.lab,ratio,1.0,numeric,0.9,1.3,5.866,285576,80596,0.731,concepts/labsfirstday.sql,P4
mimic-iii,51237,inr,unspecified,inr,mimiciii.LABEVENTS,,0.0,numeric,0.9,1.3,5.2181,163049,18333,0.9592,firstday/labs_first_day.sql,P3
mimic-iii,51237,inr,unspecified,inr,mimiciii.LABEVENTS,,0.0,numeric,0.9,1.3,5.2181,163049,18333,0.9592,pivot/pivoted_lab.sql,P3
mimic-iv,51237,inr,unspecified,inr,mimiciv.hosp.labevents,,0.0,numeric,0.9001,1.3,4.7233,291819,34390,0.9463,measurement/coagulation.sql,P1
eicu,lactate,lactate,unspecified,lactate,eicu.lab,mmol/L,1.0,numeric,0.4974,1.7945,14.7338,154120,48584,0.4406,pivoted/pivoted-lab.sql,P4
eicu,lactate,lactate,unspecified,lactate,eicu.lab,mmol/L,1.0,numeric,0.4974,1.7945,14.7338,154120,48584,0.4406,concepts/labsfirstday.sql,P4
mimic-iii,50813,lactate,unspecified,lactate,mimiciii.LABEVENTS,mmol/L,1.0,numeric,0.6053,1.8429,14.8203,70422,12172,0.6369,firstday/blood_gas_first_day.sql,P3
mimic-iii,50813,lactate,unspecified,lactate,mimiciii.LABEVENTS,mmol/L,1.0,numeric,0.6053,1.8429,14.8203,70422,12172,0.6369,firstday/labs_first_day.sql,P3
mimic-iii,50813,lactate,unspecified,lactate,mimiciii.LABEVENTS,mmol/L,1.0,numeric,0.6053,1.8429,14.8203,70422,12172,0.6369,pivot/pivoted_bg.sql,P3
mimic-iii,50813,lactate,unspecified,lactate,mimiciii.LABEVENTS,mmol/L,1.0,numeric,0.6053,1.8429,14.8203,70422,12172,0.6369,pivot/pivoted_lab.sql,P3
mimic-iv,50813,lactate,unspecified,lactate,mimiciv.hosp.labevents,mmol/L,1.0,numeric,0.6,1.7895,13.1361,188290,26479,0.7286,measurement/bg.sql,P1
eicu,Vital Signs|O2 L/%|O2 L/%,o2_flow,unspecified,o2_flow,eicu.nurseCharting,,0.0,numeric,0.6618,4.0,100.0,1438199,46020,0.4174,pivoted/pivoted-o2.sql,P5
mimic-iii,50815,o2_flow,unspecified,o2_flow,mimiciii.LABEVENTS,L/min,1.0,numeric,0.6175,4.0,100.0,6342,3800,0.1988,firstday/blood_gas_first_day.sql,P3
mimic-iii,50815,o2_flow,unspecified,o2_flow,mimiciii.LABEVENTS,L/min,1.0,numeric,0.6175,4.0,100.0,6342,3800,0.1988,pivot/pivoted_bg.sql,P3
mimic-iv,50815,o2_flow,unspecified,o2_flow,mimiciv.hosp.labevents,L/min,1.0,numeric,0.6696,4.0,100.0,3929,2730,0.0751,measurement/bg.sql,P1
