base_concept,group,db,field_key,method,src_table,unit_observed,p01,p50,p99,n_rows,evidence,src_file
chloride,lab,mimic-iii,50806,unspecified,mimiciii.LABEVENTS,mEq/L,91.0241,106.0215,120.4892,18864,3-source agreement,firstday/blood_gas_first_day.sql
chloride,lab,mimic-iii,50902,unspecified,mimiciii.LABEVENTS,mEq/L,89.3084,104.0,119.3542,245887,3-source agreement,firstday/labs_first_day.sql
chloride,lab,mimic-iv,50806,unspecified,mimiciv.hosp.labevents,mEq/L,90.0138,105.4734,119.794,33536,3-source agreement,measurement/bg.sql
chloride,lab,mimic-iv,50902,unspecified,mimiciv.hosp.labevents,mEq/L,86.3456,102.5774,119.9748,533138,3-source agreement,measurement/chemistry.sql
creatinine,lab,eicu,creatinine,unspecified,eicu.lab,mg/dL,0.3128,1.0085,8.5351,901029,3-source agreement,pivoted/pivoted-lab.sql
creatinine,lab,mimic-iii,50912,unspecified,mimiciii.LABEVENTS,mg/dL,0.2997,0.9483,7.8685,253176,3-source agreement,firstday/labs_first_day.sql
creatinine,lab,mimic-iv,50912,unspecified,mimiciv.hosp.labevents,mg/dL,0.3,0.9979,7.5883,519789,3-source agreement,measurement/chemistry.sql
dbp,vital,eicu,Vital Signs|Non-Invasive BP|Non-Invasive BP Diastolic,noninvasive,eicu.nurseCharting,,34.5525,64.7758,108.6732,9992144,3-source agreement,pivoted/pivoted-vital.sql
dbp,vital,eicu,Vital Signs|Invasive BP|Invasive BP Diastolic,invasive,eicu.nurseCharting,,32.8682,57.8081,100.6106,2592898,3-source agreement,pivoted/pivoted-vital.sql
dbp,vital,mimic-iii,8368,unspecified,mimiciii.CHARTEVENTS,mmHg,33.1663,58.9391,100.2529,1570955,3-source agreement,firstday/vitals_first_day.sql
dbp,vital,mimic-iii,8440,unspecified,mimiciii.CHARTEVENTS,mmHg,31.13,61.7837,99.0367,1489,3-source agreement,firstday/vitals_first_day.sql
dbp,vital,mimic-iii,8441,unspecified,mimiciii.CHARTEVENTS,mmHg,26.7487,57.0563,98.8023,1045799,3-source agreement,firstday/vitals_first_day.sql
dbp,vital,mimic-iii,8555,unspecified,mimiciii.CHARTEVENTS,mmHg,28.8136,57.1763,96.2427,14845,3-source agreement,firstday/vitals_first_day.sql
dbp,vital,mimic-iii,220180,unspecified,mimiciii.CHARTEVENTS,mmHg,34.91,66.0954,101.471,1523,3-source agreement,firstday/vitals_first_day.sql
dbp,vital,mimic-iii,220051,unspecified,mimiciii.CHARTEVENTS,mmHg,36.3222,59.9912,96.3778,1240,3-source agreement,firstday/vitals_first_day.sql
dbp,vital,mimic-iv,220180,unspecified,mimiciv.icu.chartevents,mmHg,35.2368,64.5765,110.345,2317959,3-source agreement,measurement/vitalsign.sql
dbp,vital,mimic-iv,220051,unspecified,mimiciv.icu.chartevents,mmHg,34.2917,57.7372,98.5245,1526345,3-source agreement,measurement/vitalsign.sql
dbp,vital,mimic-iv,225310,unspecified,mimiciv.icu.chartevents,mmHg,29.7264,56.8551,98.0818,185986,3-source agreement,measurement/vitalsign.sql
glucose,lab,eicu,bedside glucose,unspecified,eicu.lab,mg/dL,60.0165,138.1475,373.9323,2275585,3-source agreement,pivoted/pivoted-lab.sql
glucose,lab,eicu,glucose,unspecified,eicu.lab,mg/dL,64.3387,124.5849,427.0305,934056,3-source agreement,pivoted/pivoted-lab.sql
glucose,lab,mimic-iii,50809,unspecified,mimiciii.LABEVENTS,mg/dL,60.9899,130.1471,329.2384,110647,3-source agreement,firstday/blood_gas_first_day.sql
glucose,lab,mimic-iii,50931,unspecified,mimiciii.LABEVENTS,mg/dL,58.7913,119.256,339.7565,243060,3-source agreement,firstday/labs_first_day.sql
glucose,lab,mimic-iii,807,unspecified,mimiciii.CHARTEVENTS,,61.0412,130.143,332.2447,305034,3-source agreement,firstday/vitals_first_day.sql
glucose,lab,mimic-iii,811,unspecified,mimiciii.CHARTEVENTS,,60.9541,125.7254,317.8038,279109,3-source agreement,firstday/vitals_first_day.sql
glucose,lab,mimic-iii,1529,unspecified,mimiciii.CHARTEVENTS,,60.2054,123.4376,312.7063,203899,3-source agreement,firstday/vitals_first_day.sql
glucose,lab,mimic-iii,225664,unspecified,mimiciii.CHARTEVENTS,,55.07,149.84,307.65,357,3-source agreement,firstday/vitals_first_day.sql
glucose,lab,mimic-iii,220621,unspecified,mimiciii.CHARTEVENTS,mg/dL,61.3212,124.1664,325.3244,10219,3-source agreement,firstday/vitals_first_day.sql
glucose,lab,mimic-iii,226537,unspecified,mimiciii.CHARTEVENTS,mg/dL,60.0094,121.2454,276.4306,6362,3-source agreement,firstday/vitals_first_day.sql
glucose,lab,mimic-iv,50809,unspecified,mimiciv.hosp.labevents,mg/dL,67.8184,133.3099,317.0065,119727,3-source agreement,measurement/bg.sql
glucose,lab,mimic-iv,50931,unspecified,mimiciv.hosp.labevents,mg/dL,65.4862,121.7652,346.9996,505890,3-source agreement,measurement/chemistry.sql
glucose,lab,mimic-iv,225664,unspecified,mimiciv.icu.chartevents,,65.0865,137.6317,365.8524,466121,3-source agreement,measurement/vitalsign.sql
glucose,lab,mimic-iv,220621,unspecified,mimiciv.icu.chartevents,mg/dL,66.8886,128.7272,358.5033,261758,3-source agreement,measurement/vitalsign.sql
glucose,lab,mimic-iv,226537,unspecified,mimiciv.icu.chartevents,mg/dL,67.0733,133.2107,323.0977,104415,3-source agreement,measurement/vitalsign.sql
heart_rate,vital,eicu,Vital Signs|Heart Rate|Heart Rate,unspecified,eicu.nurseCharting,,49.5509,84.9941,136.6683,12850933,3-source agreement,pivoted/pivoted-vital.sql
heart_rate,vital,mimic-iii,211,unspecified,mimiciii.CHARTEVENTS,BPM,51.4583,85.7331,135.1195,2476111,3-source agreement,firstday/vitals_first_day.sql
heart_rate,vital,mimic-iii,220045,unspecified,mimiciii.CHARTEVENTS,bpm,49.3636,84.7848,138.7857,2650,3-source agreement,firstday/vitals_first_day.sql
heart_rate,vital,mimic-iv,220045,unspecified,mimiciv.icu.chartevents,bpm,49.1024,84.3441,135.3071,3947601,3-source agreement,measurement/vitalsign.sql
hematocrit,lab,eicu,Hct,unspecified,eicu.lab,%,19.1072,30.5224,48.4893,905005,3-source agreement,pivoted/pivoted-lab.sql
hematocrit,lab,mimic-iii,50810,unspecified,mimiciii.LABEVENTS,%,18.1268,30.9853,46.714,47335,3-source agreement,firstday/blood_gas_first_day.sql
hematocrit,lab,mimic-iii,51221,unspecified,mimiciii.LABEVENTS,%,20.8924,30.2299,44.421,289976,3-source agreement,firstday/labs_first_day.sql
hematocrit,lab,mimic-iv,50810,unspecified,mimiciv.hosp.labevents,%,17.9576,29.9971,46.5548,55919,3-source agreement,measurement/bg.sql
hematocrit,lab,mimic-iv,51221,unspecified,mimiciv.hosp.labevents,%,19.746,28.8475,45.9256,519688,3-source agreement,measurement/complete_blood_count.sql
hemoglobin,lab,eicu,Hgb,unspecified,eicu.lab,g/dL,6.3321,9.9772,16.2097,920579,3-source agreement,pivoted/pivoted-lab.sql
hemoglobin,lab,mimic-iii,50811,unspecified,mimiciii.LABEVENTS,g/dL,6.036,10.2566,15.5185,47333,3-source agreement,firstday/blood_gas_first_day.sql
hemoglobin,lab,mimic-iii,51222,unspecified,mimiciii.LABEVENTS,g/dL,7.0461,10.269,15.3498,234246,3-source agreement,firstday/labs_first_day.sql
hemoglobin,lab,mimic-iv,50811,unspecified,mimiciv.hosp.labevents,g/dL,5.9561,9.9096,15.3762,55916,3-source agreement,measurement/bg.sql
hemoglobin,lab,mimic-iv,51222,unspecified,mimiciv.hosp.labevents,g/dL,6.4361,9.4326,15.282,481938,3-source agreement,measurement/complete_blood_count.sql
inr,lab,eicu,PT - INR,unspecified,eicu.lab,ratio,0.9,1.3,5.866,285576,3-source agreement,pivoted/pivoted-lab.sql
inr,lab,mimic-iii,51237,unspecified,mimiciii.LABEVENTS,,0.9,1.3,5.2181,163049,3-source agreement,firstday/labs_first_day.sql
inr,lab,mimic-iv,51237,unspecified,mimiciv.hosp.labevents,,0.9001,1.3,4.7233,291819,3-source agreement,measurement/coagulation.sql
lactate,lab,eicu,lactate,unspecified,eicu.lab,mmol/L,0.4974,1.7945,14.7338,154120,3-source agreement,pivoted/pivoted-lab.sql
lactate,lab,mimic-iii,50813,unspecified,mimiciii.LABEVENTS,mmol/L,0.6053,1.8429,14.8203,70422,3-source agreement,firstday/blood_gas_first_day.sql
lactate,lab,mimic-iv,50813,unspecified,mimiciv.hosp.labevents,mmol/L,0.6,1.7895,13.1361,188290,3-source agreement,measurement/bg.sql
o2_flow,respiratory_bloodgas,eicu,Vital Signs|O2 L/%|O2 L/%,unspecified,eicu.nurseCharting,,0.6618,4.0,100.0,1438199,3-source agreement,pivoted/pivoted-o2.sql
o2_flow,respiratory_bloodgas,mimic-iii,50815,unspecified,mimiciii.LABEVENTS,L/min,0.6175,4.0,100.0,6342,3-source agreement,firstday/blood_gas_first_day.sql
o2_flow,respiratory_bloodgas,mimic-iv,50815,unspecified,mimiciv.hosp.labevents,L/min,0.6696,4.0,100.0,3929,3-source agreement,measurement/bg.sql
o2_flow,respiratory_bloodgas,mimic-iv,223834,unspecified,mimiciv.icu.chartevents,L/min,1.0,4.0,57.9582,338199,3-source agreement,measurement/oxygen_delivery.sql
pco2,respiratory_bloodgas,eicu,paCO2,unspecified,eicu.lab,mm Hg,20.8372,40.7146,95.0292,324889,3-source agreement,pivoted/pivoted-bg.sql
pco2,respiratory_bloodgas,mimic-iii,50818,unspecified,mimiciii.LABEVENTS,mm Hg,23.959,40.0,77.685,253360,3-source agreement,firstday/blood_gas_first_day.sql
pco2,respiratory_bloodgas,mimic-iv,50818,unspecified,mimiciv.hosp.labevents,mm Hg,23.3508,40.9803,81.652,298835,3-source agreement,measurement/bg.sql
peep,respiratory_bloodgas,eicu,PEEP,unspecified,eicu.lab,cm H2O,3.2533,5.0,19.2835,90757,3-source agreement,pivoted/pivoted-bg.sql
peep,respiratory_bloodgas,mimic-iii,50819,unspecified,mimiciii.LABEVENTS,,1.4679,5.0,21.972,47609,3-source agreement,firstday/blood_gas_first_day.sql
peep,respiratory_bloodgas,mimic-iv,50819,unspecified,mimiciv.hosp.labevents,,0.3495,8.0,22.3011,32654,3-source agreement,measurement/bg.sql
peep,respiratory_bloodgas,mimic-iv,220339,unspecified,mimiciv.icu.chartevents,cmH2O,0.0,5.0,18.1914,407008,3-source agreement,measurement/ventilator_setting.sql
peep,respiratory_bloodgas,mimic-iv,224700,unspecified,mimiciv.icu.chartevents,cmH2O,4.9993,8.0,21.2517,122081,3-source agreement,measurement/ventilator_setting.sql
ph,respiratory_bloodgas,eicu,pH,unspecified,eicu.lab,,7.0473,7.3805,7.5621,322260,3-source agreement,pivoted/pivoted-bg.sql
ph,respiratory_bloodgas,mimic-iii,50820,unspecified,mimiciii.LABEVENTS,units,7.1453,7.3982,7.536,275962,3-source agreement,firstday/blood_gas_first_day.sql
ph,respiratory_bloodgas,mimic-iv,50820,unspecified,mimiciv.hosp.labevents,units,7.1113,7.385,7.5414,320795,3-source agreement,measurement/bg.sql
platelets,lab,eicu,platelets x 1000,unspecified,eicu.lab,K/mcL,22.0151,194.1101,614.3356,809530,3-source agreement,pivoted/pivoted-lab.sql
platelets,lab,mimic-iii,51265,unspecified,mimiciii.LABEVENTS,K/uL,20.75,209.2022,759.8632,246006,3-source agreement,firstday/labs_first_day.sql
platelets,lab,mimic-iv,51265,unspecified,mimiciv.hosp.labevents,K/uL,15.6695,192.3568,697.6281,485164,3-source agreement,measurement/complete_blood_count.sql
po2,respiratory_bloodgas,eicu,paO2,unspecified,eicu.lab,mm Hg,36.0044,96.1547,486.0152,328557,3-source agreement,pivoted/pivoted-bg.sql
po2,respiratory_bloodgas,mimic-iii,50821,unspecified,mimiciii.LABEVENTS,mm Hg,32.512,111.5229,465.4954,253363,3-source agreement,firstday/blood_gas_first_day.sql
po2,respiratory_bloodgas,mimic-iv,50821,unspecified,mimiciv.hosp.labevents,mm Hg,29.2346,103.3243,450.9593,298962,3-source agreement,measurement/bg.sql
potassium,lab,eicu,potassium,unspecified,eicu.lab,mmol/L,2.7566,3.9997,6.0829,1065018,3-source agreement,pivoted/pivoted-lab.sql
potassium,lab,mimic-iii,50822,unspecified,mimiciii.LABEVENTS,mEq/L,2.8603,4.1,6.4853,106969,3-source agreement,firstday/blood_gas_first_day.sql
potassium,lab,mimic-iii,50971,unspecified,mimiciii.LABEVENTS,mEq/L,2.9094,4.0093,6.0143,269392,3-source agreement,firstday/labs_first_day.sql
potassium,lab,mimic-iv,50822,unspecified,mimiciv.hosp.labevents,mEq/L,2.8174,4.1,6.4814,112379,3-source agreement,measurement/bg.sql
potassium,lab,mimic-iv,50971,unspecified,mimiciv.hosp.labevents,mEq/L,2.9754,4.0877,5.9721,545228,3-source agreement,measurement/chemistry.sql
pt,lab,eicu,PT,unspecified,eicu.lab,sec,10.0624,15.5228,58.5596,275975,3-source agreement,concepts/labsfirstday.sql
pt,lab,mimic-iii,51274,unspecified,mimiciii.LABEVENTS,sec,11.3595,14.151,37.9495,162797,3-source agreement,firstday/labs_first_day.sql
pt,lab,mimic-iv,51274,unspecified,mimiciv.hosp.labevents,sec,10.2948,14.318,49.601,291808,3-source agreement,measurement/coagulation.sql
ptt,lab,eicu,PTT,unspecified,eicu.lab,sec,21.4065,37.1388,147.7286,207733,3-source agreement,pivoted/pivoted-lab.sql
ptt,lab,mimic-iii,51275,unspecified,mimiciii.LABEVENTS,sec,21.0658,34.5991,150.0,176157,3-source agreement,firstday/labs_first_day.sql
ptt,lab,mimic-iv,51275,unspecified,mimiciv.hosp.labevents,sec,21.8782,35.2411,150.0,321337,3-source agreement,measurement/coagulation.sql
respiratory_rate,vital,eicu,Vital Signs|Respiratory Rate|Respiratory Rate,unspecified,eicu.nurseCharting,,8.5324,19.0,38.6526,11914385,3-source agreement,pivoted/pivoted-vital.sql
respiratory_rate,vital,mimic-iii,50827,set,mimiciii.LABEVENTS,,,,,52471,3-source agreement,firstday/blood_gas_first_day.sql
respiratory_rate,vital,mimic-iii,615,unspecified,mimiciii.CHARTEVENTS,BPM,8.6671,20.0,37.612,301373,3-source agreement,firstday/vitals_first_day.sql
respiratory_rate,vital,mimic-iii,618,unspecified,mimiciii.CHARTEVENTS,BPM,7.8177,19.6875,37.7512,2408175,3-source agreement,firstday/vitals_first_day.sql
respiratory_rate,vital,mimic-iii,220210,unspecified,mimiciii.CHARTEVENTS,insp/min,9.0,20.0,40.782,2659,3-source agreement,firstday/vitals_first_day.sql
respiratory_rate,vital,mimic-iii,224690,unspecified,mimiciii.CHARTEVENTS,insp/min,11.42,23.0,42.16,192,3-source agreement,firstday/vitals_first_day.sql
respiratory_rate,vital,mimic-iv,224688,set,mimiciv.icu.chartevents,insp/min,6.2135,18.0,34.7526,216448,3-source agreement,measurement/ventilator_setting.sql
respiratory_rate,vital,mimic-iv,224690,total,mimiciv.icu.chartevents,insp/min,8.9994,20.6372,37.8789,358253,3-source agreement,measurement/ventilator_setting.sql
respiratory_rate,vital,mimic-iv,224689,spontaneous,mimiciv.icu.chartevents,insp/min,0.0,9.1335,36.6942,375569,3-source agreement,measurement/ventilator_setting.sql
respiratory_rate,vital,mimic-iv,220210,unspecified,mimiciv.icu.chartevents,insp/min,8.0762,19.5389,36.7446,3891517,3-source agreement,measurement/vitalsign.sql
sbp,vital,eicu,Vital Signs|Non-Invasive BP|Non-Invasive BP Systolic,noninvasive,eicu.nurseCharting,,75.9669,120.8976,186.8126,9992195,3-source agreement,pivoted/pivoted-vital.sql
sbp,vital,eicu,Vital Signs|Invasive BP|Invasive BP Systolic,invasive,eicu.nurseCharting,,71.0943,119.7567,190.4254,2592192,3-source agreement,pivoted/pivoted-vital.sql
sbp,vital,mimic-iii,51,unspecified,mimiciii.CHARTEVENTS,mmHg,69.2983,120.5858,189.8377,1578805,3-source agreement,firstday/vitals_first_day.sql
sbp,vital,mimic-iii,442,unspecified,mimiciii.CHARTEVENTS,mmHg,69.6121,120.5458,189.2413,1754,3-source agreement,firstday/vitals_first_day.sql
sbp,vital,mimic-iii,455,unspecified,mimiciii.CHARTEVENTS,mmHg,75.3966,118.9683,181.2962,1050200,3-source agreement,firstday/vitals_first_day.sql
sbp,vital,mimic-iii,6701,unspecified,mimiciii.CHARTEVENTS,mmHg,50.9037,108.6144,180.9568,15175,3-source agreement,firstday/vitals_first_day.sql
sbp,vital,mimic-iii,220179,unspecified,mimiciii.CHARTEVENTS,mmHg,77.873,125.0435,187.6825,1527,3-source agreement,firstday/vitals_first_day.sql
sbp,vital,mimic-iii,220050,unspecified,mimiciii.CHARTEVENTS,mmHg,70.2756,132.1667,208.3111,1242,3-source agreement,firstday/vitals_first_day.sql
sbp,vital,mimic-iv,220179,unspecified,mimiciv.icu.chartevents,mmHg,77.8832,118.6456,178.5178,2318386,3-source agreement,measurement/vitalsign.sql
sbp,vital,mimic-iv,220050,unspecified,mimiciv.icu.chartevents,mmHg,74.3972,117.4358,184.0858,1526547,3-source agreement,measurement/vitalsign.sql
sbp,vital,mimic-iv,225309,unspecified,mimiciv.icu.chartevents,mmHg,65.5376,112.1252,180.9812,186034,3-source agreement,measurement/vitalsign.sql
sodium,lab,eicu,sodium,unspecified,eicu.lab,mmol/L,121.8855,138.8239,155.3377,991978,3-source agreement,pivoted/pivoted-lab.sql
sodium,lab,mimic-iii,50824,unspecified,mimiciii.LABEVENTS,mEq/L,124.8915,137.0,150.1363,34565,3-source agreement,firstday/blood_gas_first_day.sql
sodium,lab,mimic-iii,50983,unspecified,mimiciii.LABEVENTS,mEq/L,125.9601,139.0,151.7003,251898,3-source agreement,firstday/labs_first_day.sql
sodium,lab,mimic-iv,50824,unspecified,mimiciv.hosp.labevents,mEq/L,114.5935,136.0,157.148,53714,3-source agreement,measurement/bg.sql
sodium,lab,mimic-iv,50983,unspecified,mimiciv.hosp.labevents,mEq/L,125.0425,138.6111,154.2462,541967,3-source agreement,measurement/chemistry.sql
spo2,vital,eicu,Vital Signs|O2 Saturation|O2 Saturation,unspecified,eicu.nurseCharting,,86.3225,97.0,100.0,10590118,3-source agreement,pivoted/pivoted-vital.sql
spo2,vital,mimic-iii,646,unspecified,mimiciii.CHARTEVENTS,%,87.2615,98.0,100.0,2439167,3-source agreement,firstday/vitals_first_day.sql
spo2,vital,mimic-iii,220277,unspecified,mimiciii.CHARTEVENTS,%,86.0,98.0,100.0,2737,3-source agreement,firstday/vitals_first_day.sql
spo2,vital,mimic-iv,220277,unspecified,mimiciv.icu.chartevents,%,87.4732,97.0,100.0,3870472,3-source agreement,measurement/vitalsign.sql
temperature,vital,eicu,Vital Signs|Temperature|Temperature (C),unspecified,eicu.nurseCharting,,34.1314,36.9,39.2333,4591818,3-source agreement,pivoted/pivoted-vital.sql
temperature,vital,mimic-iii,50825,unspecified,mimiciii.LABEVENTS,,34.9363,37.231,39.4875,72009,3-source agreement,firstday/blood_gas_first_day.sql
temperature,vital,mimic-iii,223761,unspecified,mimiciii.CHARTEVENTS,?F,95.8,98.9302,102.736,582,3-source agreement,firstday/vitals_first_day.sql
temperature,vital,mimic-iii,678,unspecified,mimiciii.CHARTEVENTS,Deg. F,95.1193,98.7111,102.6414,544102,3-source agreement,firstday/vitals_first_day.sql
temperature,vital,mimic-iii,223762,unspecified,mimiciii.CHARTEVENTS,?C,33.7,38.9444,41.654,196,3-source agreement,firstday/vitals_first_day.sql
temperature,vital,mimic-iii,676,unspecified,mimiciii.CHARTEVENTS,Deg. C,34.8576,37.2,38.936,304958,3-source agreement,firstday/vitals_first_day.sql
temperature,vital,mimic-iv,50825,unspecified,mimiciv.hosp.labevents,,33.7245,37.0,39.3628,55536,3-source agreement,measurement/bg.sql
wbc,lab,eicu,WBC x 1000,unspecified,eicu.lab,K/mcL,1.7849,10.1944,35.9186,798155,3-source agreement,pivoted/pivoted-lab.sql
wbc,lab,mimic-iii,51300,unspecified,mimiciii.LABEVENTS,K/uL,1.316,8.0438,35.64,266,3-source agreement,firstday/labs_first_day.sql
wbc,lab,mimic-iii,51301,unspecified,mimiciii.LABEVENTS,K/uL,1.0638,10.5046,35.3234,235183,3-source agreement,firstday/labs_first_day.sql
wbc,lab,mimic-iv,51300,unspecified,mimiciv.hosp.labevents,K/uL,0.533,7.0188,35.436,283,3-source agreement,measurement/blood_differential.sql
wbc,lab,mimic-iv,51301,unspecified,mimiciv.hosp.labevents,K/uL,0.7495,10.0514,38.0509,476740,3-source agreement,measurement/blood_differential.sql
age,demographic,mimic-iv,hosp/patients.anchor_age,unspecified,table_column,,,,,,explicit table column,
age,demographic,mimic-iii,PATIENTS.DOB+ICUSTAYS.INTIME,unspecified,table_column,,,,,,explicit table column,
age,demographic,eicu,patient.age,unspecified,table_column,,,,,,explicit table column,
sex,demographic,mimic-iv,hosp/patients.gender,unspecified,table_column,,,,,,explicit table column,
sex,demographic,mimic-iii,PATIENTS.GENDER,unspecified,table_column,,,,,,explicit table column,
sex,demographic,eicu,patient.gender,unspecified,table_column,,,,,,explicit table column,
admission_weight,demographic,mimic-iv,icu/chartevents:Admission Weight,unspecified,table_column,,,,,,explicit table column,
admission_weight,demographic,mimic-iii,CHARTEVENTS:Admit Wt,unspecified,table_column,,,,,,explicit table column,
admission_weight,demographic,eicu,patient.admissionweight,unspecified,table_column,,,,,,explicit table column,
admission_height,demographic,mimic-iv,icu/chartevents:Height,unspecified,table_column,,,,,,explicit table column,
admission_height,demographic,mimic-iii,CHARTEVENTS:Height,unspecified,table_column,,,,,,explicit table column,
admission_height,demographic,eicu,patient.admissionheight,unspecified,table_column,,,,,,explicit table column,
ethnicity,demographic,mimic-iv,hosp/admissions.race,unspecified,table_column,,,,,,explicit table column,
ethnicity,demographic,mimic-iii,ADMISSIONS.ETHNICITY,unspecified,table_column,,,,,,explicit table column,
ethnicity,demographic,eicu,patient.ethnicity,unspecified,table_column,,,,,,explicit table column,
admission_type,demographic,mimic-iv,hosp/admissions.admission_type,unspecified,table_column,,,,,,explicit table column,
admission_type,demographic,mimic-iii,ADMISSIONS.ADMISSION_TYPE,unspecified,table_column,,,,,,explicit table column,
admission_type,demographic,eicu,patient.unitadmitsource,unspecified,table_column,,,,,,explicit table column,
first_careunit,demographic,mimic-iv,icu/icustays.first_careunit,unspecified,table_column,,,,,,explicit table column,
first_careunit,demographic,mimic-iii,ICUSTAYS.FIRST_CAREUNIT,unspecified,table_column,,,,,,explicit table column,
first_careunit,demographic,eicu,patient.unittype,unspecified,table_column,,,,,,explicit table column,
hospital_los,demographic,mimic-iv,hosp/admissions(dis-adm),unspecified,table_column,,,,,,explicit table column,
