db,src_table,field_name,reason
eicu,customLab,monos-manual,站点自定义化验名
eicu,customLab,lymphs-manual,站点自定义化验名
eicu,customLab,band neutrophils,站点自定义化验名
eicu,customLab,alb/glob ratio,站点自定义化验名
eicu,customLab,PIP,站点自定义化验名
eicu,customLab,Myoglobin,站点自定义化验名
eicu,customLab,B-Hydroxybutyratew,站点自定义化验名
eicu,customLab,lymph,站点自定义化验名
eicu,customLab,Influenza Type A Ag,站点自定义化验名
eicu,customLab,alk phos,站点自定义化验名
eicu,customLab,Direct Coombs,站点自定义化验名
eicu,customLab,Benzodiazepines Screen,站点自定义化验名
eicu,customLab,NT-pro BNP,站点自定义化验名
eicu,customLab,CSF Character,站点自定义化验名
eicu,customLab,CSF Color,站点自定义化验名
eicu,customLab,CSF Polynu,站点自定义化验名
eicu,customLab,LDH,站点自定义化验名
eicu,customLab,TIBC,站点自定义化验名
eicu,customLab,Vitamin B-12,站点自定义化验名
eicu,customLab,absol neutrophils,站点自定义化验名
eicu,customLab,CEA,站点自定义化验名
eicu,customLab,Tricyclic,站点自定义化验名
eicu,customLab,Opiates,站点自定义化验名
eicu,customLab,leukocyte esterase,站点自定义化验名
eicu,customLab,"Urobilinogen, quali",站点自定义化验名
eicu,customLab,clarity,站点自定义化验名
eicu,customLab,O2 sat venous,站点自定义化验名
eicu,customLab,"Urobilinogen, qual",站点自定义化验名
eicu,customLab,nitrite,站点自定义化验名
eicu,customLab,pH urine,站点自定义化验名
eicu,customLab,"bilirubin, urine",站点自定义化验名
eicu,customLab,Venous pH,站点自定义化验名
eicu,customLab,"Glucose, urine",站点自定义化验名
eicu,customLab,METHADONE,站点自定义化验名
eicu,customLab,OXYCODONE,站点自定义化验名
eicu,customLab,ACETAMINOPHEN,站点自定义化验名
eicu,customLab,BENZODIAZEPAMS,站点自定义化验名
eicu,customLab,URINE APPEARANCE,站点自定义化验名
eicu,customLab,URINE BLOOD,站点自定义化验名
eicu,customLab,URINE KETONES,站点自定义化验名
eicu,customLab,UR LEUKOCYE ESTERASE,站点自定义化验名
eicu,customLab,INFLUENZA B AG,站点自定义化验名
eicu,customLab,URINE BILIRUBIN,站点自定义化验名
eicu,customLab,UR SPECIFIC GRAVITY,站点自定义化验名
eicu,customLab,rbc urine,站点自定义化验名
eicu,customLab,urine protien,站点自定义化验名
eicu,customLab,bacteria urine,站点自定义化验名
eicu,customLab,urobilinogen,站点自定义化验名
eicu,customLab,wbc urine,站点自定义化验名
eicu,customLab,epi's urine,站点自定义化验名
eicu,customLab,A1c Hgb,站点自定义化验名
eicu,customLab,Occult Blood,站点自定义化验名
eicu,customLab,Pre-Albumin,站点自定义化验名
eicu,customLab,carbon monoxice,站点自定义化验名
eicu,customLab,Urine Potassium,站点自定义化验名
eicu,customLab,urine sodium,站点自定义化验名
eicu,customLab,urine osm,站点自定义化验名
eicu,customLab,RR,站点自定义化验名
eicu,customLab,Ps,站点自定义化验名
eicu,customLab,Spont,站点自定义化验名
eicu,customLab,esr,站点自定义化验名
eicu,customLab,d- Dimer,站点自定义化验名
eicu,customLab,B-Natriurectic Peptide,站点自定义化验名
eicu,customLab,nucleated RBCs,站点自定义化验名
eicu,customLab,plt estiimate,站点自定义化验名
eicu,customLab,immature gran %,站点自定义化验名
eicu,customLab,URINE OCCULT BLOOD,站点自定义化验名
eicu,customLab,URINE LEUKOCYTE ESTERASE,站点自定义化验名
eicu,customLab,URINE SQUAMOUS EPITH CELLS,站点自定义化验名
eicu,customLab,URINE CLARITY,站点自定义化验名
eicu,customLab,UR SPICIFIC GRAVITY,站点自定义化验名
eicu,customLab,Heparin Anti-Xa Unfract,站点自定义化验名
eicu,customLab,Influenza Type B Ag,站点自定义化验名
eicu,customLab,B-Hydroxybutyrate,站点自定义化验名
eicu,customLab,Neut,站点自定义化验名
eicu,customLab,UIBC,站点自定义化验名
eicu,customLab,Mycoplasma,站点自定义化验名
eicu,customLab,25-OH Vitamin D Total,站点自定义化验名
eicu,customLab,DDimer,站点自定义化验名
eicu,customLab,CSF RBC,站点自定义化验名
eicu,customLab,CSF Volume,站点自定义化验名
eicu,customLab,CSF Gluc,站点自定义化验名
eicu,customLab,CSF Prot,站点自定义化验名
eicu,customLab,CSF WBC,站点自定义化验名
eicu,customLab,Bleeding Time,站点自定义化验名
eicu,customLab,Iron,站点自定义化验名
eicu,customLab,bedside glucose,站点自定义化验名
eicu,customLab,absolute neutrophil,站点自定义化验名
eicu,customLab,MRSA DNA PCR,站点自定义化验名
eicu,customLab,barbituates,站点自定义化验名
eicu,customLab,Benzo,站点自定义化验名
eicu,customLab,THC,站点自定义化验名
eicu,customLab,PCP,站点自定义化验名
eicu,customLab,Methamphetamine,站点自定义化验名
eicu,customLab,Epithelial cells,站点自定义化验名
eicu,customLab,Bacteria,站点自定义化验名
eicu,customLab,"occult blood, urine",站点自定义化验名
eicu,customLab,"UA, color",站点自定义化验名
eicu,customLab,specific gravity,站点自定义化验名
eicu,customLab,"Protein, urine",站点自定义化验名
eicu,customLab,T Chol/HDL,站点自定义化验名
eicu,customLab,SALICYLATES,站点自定义化验名
eicu,customLab,UR METHAMPHETAMINES,站点自定义化验名
eicu,customLab,UR TRICYCLICS,站点自定义化验名
eicu,customLab,ETHYL ALCOHOL,站点自定义化验名
eicu,customLab,T4 free,站点自定义化验名
eicu,customLab,neuts absol,站点自定义化验名
eicu,customLab,UR SQUAMOUS EPITH CELLS,站点自定义化验名
eicu,customLab,% Ethyl Alcohol,站点自定义化验名
eicu,customLab,"Alcohol, Quantitative",站点自定义化验名
eicu,customLab,mycoplasma IgM,站点自定义化验名
eicu,customLab,WB Ionized Ca+ pH,站点自定义化验名
eicu,customLab,Whole blood Ionized CA+,站点自定义化验名
eicu,customLab,mucous urine,站点自定义化验名
eicu,customLab,Leuk Est,站点自定义化验名
eicu,customLab,RTE's urine,站点自定义化验名
eicu,customLab,urine bile,站点自定义化验名
eicu,customLab,c&s,站点自定义化验名
eicu,customLab,Vitamin B 12,站点自定义化验名
eicu,customLab,benzos,站点自定义化验名
eicu,customLab,troponin,站点自定义化验名
eicu,customLab,Samply Typle,站点自定义化验名
eicu,customLab,AC,站点自定义化验名
eicu,infusionDrug,Fentanyl (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Propofol (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Fentanyl (mcg/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Insulin (units/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Propofol (mcg/kg/min),"输注药名, 不在概念目录内"
eicu,infusionDrug,Midazolam (mg/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Heparin (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Midazolam (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Dexmedetomidine (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Insulin (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Amiodarone (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Heparin (units/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,NS (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Amiodarone (mg/min),"输注药名, 不在概念目录内"
eicu,infusionDrug,Dexmedetomidine (mcg/kg/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,NSS (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Phenylephrine (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Nicardipine (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Milrinone (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Nicardipine (mg/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Phenylephrine (mcg/min),"输注药名, 不在概念目录内"
eicu,infusionDrug,Pantoprazole (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Propofol (),"输注药名, 不在概念目录内"
eicu,infusionDrug,Diltiazem (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Diltiazem (mg/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Pantoprazole (mg/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Fentanyl (),"输注药名, 不在概念目录内"
eicu,infusionDrug,IVF (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Nitroglycerin (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Sodium Bicarb IVF Infused (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Furosemide (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Nitroglycerin (mcg/min),"输注药名, 不在概念目录内"
eicu,infusionDrug,Octreotide (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Furosemide (mg/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Amiodarone (),"输注药名, 不在概念目录内"
eicu,infusionDrug,Octreotide (mcg/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,LR (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Phenylephrine (mcg/kg/min),"输注药名, 不在概念目录内"
eicu,infusionDrug,Milrinone (mcg/kg/min),"输注药名, 不在概念目录内"
eicu,infusionDrug,MIV (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Heparin (),"输注药名, 不在概念目录内"
eicu,infusionDrug,Insulin (),"输注药名, 不在概念目录内"
eicu,infusionDrug,Insulin 250 Units Sodium Chloride 0.9% 250 ml (units/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,NitroGLYCERIN IVF Infused (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,TPN (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,"Volume (ml) Heparin-heparin 25,000 units in dextrose 500 mL infusion (ml/hr)","输注药名, 不在概念目录内"
eicu,infusionDrug,Calcium Gluconate IVF Infused (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Bumetanide (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Volume (mL) TPN (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Nitroprusside (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,"Volume (ml) Heparin-heparin 25,000 units in 0.45 % sodium chloride 500 mL infusion (ml/hr)","输注药名, 不在概念目录内"
eicu,infusionDrug,Hydromorphone IVF Infused (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Volume (mL) Lipids (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,D5W (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Esmolol (mcg/kg/min),"输注药名, 不在概念目录内"
eicu,infusionDrug,Phenylephrine (),"输注药名, 不在概念目录内"
eicu,infusionDrug,Nicardipine (),"输注药名, 不在概念目录内"
eicu,infusionDrug,Fentanyl (mcg/kg/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Morphine (mg/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,0.9% NS (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Nimbex (mcg/kg/min),"输注药名, 不在概念目录内"
eicu,infusionDrug,Esmolol (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Pantoprazole (),"输注药名, 不在概念目录内"
eicu,infusionDrug,Volume (ml) Phenylephrine (),"输注药名, 不在概念目录内"
eicu,infusionDrug,3% Sodium Chloride IVF Infused (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Volume (mL) Magnesium  (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Lorazepam (mg/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Bumetanide (mg/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Diltiazem (),"输注药名, 不在概念目录内"
eicu,infusionDrug,Propofol (Diprivan) 1000 mg  100 ml  Premix (mcg/kg/min),"输注药名, 不在概念目录内"
eicu,infusionDrug,0.9% NSS (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Lorazepam (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Normal Saline (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Lidocaine (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Eptifibatide (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Nitroglycerin (),"输注药名, 不在概念目录内"
eicu,infusionDrug,Heparin (units/kg/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Fentanyl (mcg/kg/min),"输注药名, 不在概念目录内"
eicu,infusionDrug,Cisatracurium IVF Infused (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Furosemide (),"输注药名, 不在概念目录内"
eicu,infusionDrug,Morphine (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,FentaNYL (Sublimaze) 2500 mcg Sodium Chloride 0.9% 250 ml  Premix (mcg/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Propofol (mg/kg/min),"输注药名, 不在概念目录内"
eicu,infusionDrug,Magnesium Sulfate IVF Infused (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Volume-Transfuse RBC (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,0.9 NS (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Argatroban (mcg/kg/min),"输注药名, 不在概念目录内"
eicu,infusionDrug,Eptifibatide (mcg/kg/min),"输注药名, 不在概念目录内"
eicu,infusionDrug,0.9 NSS (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Ketamine (mg/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,0.9NS (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Alteplase IVF Infused (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,D10 (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Aminocaproic Acid IVF Infused (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Nitroprusside (mcg/kg/min),"输注药名, 不在概念目录内"
eicu,infusionDrug,NUTREN 1.5 (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,D5NS (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Labetalol (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Argatroban IVF Infused (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Labetalol (mg/min),"输注药名, 不在概念目录内"
eicu,infusionDrug,Dexmedetomidine (mcg/kg/hr) (mcg/kg/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Octreotide (),"输注药名, 不在概念目录内"
eicu,infusionDrug,PRBC (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Milrinone (),"输注药名, 不在概念目录内"
eicu,infusionDrug,Dexmedetomidine(Precedex) 400 mcg Sodium Chloride 0.9% 100 ml (mcg/kg/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Methylprednisolone IVF infused (Unknown),"输注药名, 不在概念目录内"
eicu,infusionDrug,IV (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,1/2 NS (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Lidocaine (mg/min),"输注药名, 不在概念目录内"
eicu,infusionDrug,cisatracurium (mcg/kg/min),"输注药名, 不在概念目录内"
eicu,infusionDrug,0.9%NS (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Lorazepam (),"输注药名, 不在概念目录内"
eicu,infusionDrug,Morphine (),"输注药名, 不在概念目录内"
eicu,infusionDrug,Fentanyl,"输注药名, 不在概念目录内"
eicu,infusionDrug,Isoproterenol (mcg/min),"输注药名, 不在概念目录内"
eicu,infusionDrug,Lipids (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Propofol,"输注药名, 不在概念目录内"
eicu,infusionDrug,MAIN (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,TF (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,.9 NS (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Lactated Ringers (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,0.9%NSS (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Insulin,"输注药名, 不在概念目录内"
eicu,infusionDrug,0.9% NaCl (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,NSS  (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,cisatracurium Volume (ml) (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,NS  (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Phenylephrine  STD 20 mg Sodium Chloride 0.9% 250 ml (mcg/min),"输注药名, 不在概念目录内"
eicu,infusionDrug,D5 1/2 NS (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Epoprostenol (nanograms/kg/min),"输注药名, 不在概念目录内"
eicu,infusionDrug,Pantoprazole(Protonix) (mg/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,D5LR (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Levophed (mcg/min),"输注药名, 不在概念目录内"
eicu,infusionDrug,3% NS (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Phenylephrine  MAX 100 mg Sodium Chloride 0.9% 250 ml (mcg/min),"输注药名, 不在概念目录内"
eicu,infusionDrug,.9NSS (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Nitroglycerin (mcg/kg/min),"输注药名, 不在概念目录内"
eicu,infusionDrug,0.9NSS (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Insulin Scale A (units/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Heparin,"输注药名, 不在概念目录内"
eicu,infusionDrug,Midazolam (Versed) 100 mg Sodium Chloride 0.9% 100 ml (mg/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Isoproterenol (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Calcium Chloride mL/hr (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,D51/2NS (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Citrate mL/hr (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,D5 1/2NS (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Amicar (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,KVO (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Bicarb (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Volume-Transfuse fresh frozen plasma (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Insulin (units/kg/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Cisatracurium (mg/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,.9 NSS (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,D5 (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,0.45 NSS (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Vecuronium (mcg/kg/min),"输注药名, 不在概念目录内"
eicu,infusionDrug,Heparin 25000 Units Dextrose 5% 500 ml  Premix (units/kg/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Amiodarone,"输注药名, 不在概念目录内"
eicu,infusionDrug,Alteplase (mg/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,NS for Blood Administration (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Dilaudid (mg/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,0.9% (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,"Volume (mL)-sodium chloride 0.9 % bolus 1,000 mL (ml/hr)","输注药名, 不在概念目录内"
eicu,infusionDrug,Mannitol IVF Infused (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Isoproterenol (),"输注药名, 不在概念目录内"
eicu,infusionDrug,Nimbex (mg/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Dexmedetomidine,"输注药名, 不在概念目录内"
eicu,infusionDrug,Esmolol (),"输注药名, 不在概念目录内"
eicu,infusionDrug,hydromorphone (mg/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,.45 NSS (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,3% saline (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Volume (mL) Argatroban (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Amiodarone (mg/min) (mg/min),"输注药名, 不在概念目录内"
eicu,infusionDrug,Phenylephrine,"输注药名, 不在概念目录内"
eicu,infusionDrug,Pentobarbital (mg/kg/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Midazolam,"输注药名, 不在概念目录内"
eicu,infusionDrug,Volume (mL)-sodium chloride 0.9 % bolus 500 mL (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Dexmetetomidine (Precedex) (mcg/kg/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Tube Feed (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,NiCARDipine (premix) 20 mg Sodium Chloride 0.9% 200 ml (mg/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,.45 NS (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,D10W (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,1/2 NSS (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Water flush (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Normal Saline 0.9% (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Nitroprusside (),"输注药名, 不在概念目录内"
eicu,infusionDrug,Eptifibatide (mcg/min),"输注药名, 不在概念目录内"
eicu,infusionDrug,Protonix (mg/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,ZOSYN (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,HYDROmorphone (Dilaudid) 50 mg Sodium Chloride 0.9% 250 ml  Premix (mg/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Naloxone IVF Infused (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,D5.45NS (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,D5 / 0.45% NSS (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Nitroglycerin(25mg/250ml) 25 mg Dextrose 5% 250 ml  Premix (glass bottle) (mcg/min),"输注药名, 不在概念目录内"
eicu,infusionDrug,3% NaCl (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Normal Saline  (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,NiCARDipine (std) 50 mg Sodium Chloride 0.9% 500 ml (mg/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Rocuronium (mcg/kg/min),"输注药名, 不在概念目录内"
eicu,infusionDrug,NS KVO (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,NIMBEX  (mcg/kg/min),"输注药名, 不在概念目录内"
eicu,infusionDrug,H20 TF flush  (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Angiomax (mg/kg/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Aminophylline IVF Infused (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Sodium Bicarb (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,D5 1/2NSS (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,0.45NS (ml/hr),"输注药名, 不在概念目录内"
eicu,infusionDrug,Nicardipine,"输注药名, 不在概念目录内"
