src_table,field_key,label,unit_observed,dtype_inferred,p01,p50,p99,n_rows,n_keys,coverage,concept,method,note
mimiciv.hosp.prescriptions,Bisacodyl,Bisacodyl,mg,numeric,10.0,10.0,10.0,39088,19568,0.5385,,,
mimiciv.hosp.prescriptions,Vial,Vial,VIAL,numeric,0.3207,1.0,3.6192,36059,13273,0.3652,,,
mimiciv.hosp.prescriptions,Propofol,Propofol,mg,numeric,10.7299,1000.0,1000.0,35295,16597,0.4567,,,
mimiciv.hosp.prescriptions,Potassium Chloride Replacement (Critical Care and Oncology) ,Potassium Chloride Replacement (Critical Care and Oncology) ,mEq,numeric,20.0,60.0,80.0,35036,6557,0.1804,,,
mimiciv.hosp.prescriptions,Dextrose 50%,Dextrose 50%,gm,numeric,12.5,12.5,25.0,34461,21645,0.5956,,,
mimiciv.hosp.prescriptions,Warfarin,Warfarin,mg,numeric,0.0,2.5,10.0,32732,5616,0.1545,,,
mimiciv.hosp.prescriptions,Heparin Sodium,Heparin Sodium,UNIT,categorical,50.0,4000.0,8600.0,32094,8832,0.243,,,
mimiciv.hosp.prescriptions,Fentanyl Citrate,Fentanyl Citrate,mcg,mixed,2.5,2.5,288.9488,31156,14856,0.4088,,,
mimiciv.hosp.prescriptions,Ondansetron,Ondansetron,mg,mixed,3.9659,4.0,15.3679,29613,18148,0.4994,,,
mimiciv.hosp.prescriptions,Morphine Sulfate,Morphine Sulfate,mg,mixed,0.5,2.0,100.0,28138,12061,0.3319,,,
mimiciv.hosp.prescriptions,Acetaminophen IV,Acetaminophen IV,mg,numeric,500.0,1000.0,1000.0,28100,13903,0.3826,,,
mimiciv.hosp.prescriptions,Aspirin,Aspirin,mg,numeric,81.0,81.0,325.0,26761,16982,0.4673,,,
mimiciv.hosp.prescriptions,Glucagon,Glucagon,mg,numeric,1.0,1.0,1.0,25603,21006,0.578,,,
mimiciv.hosp.prescriptions,Iso-Osmotic Sodium Chloride,Iso-Osmotic Sodium Chloride,BAG,numeric,0.0,1.0,225.4005,23823,11710,0.3222,,,
mimiciv.hosp.prescriptions,Pantoprazole,Pantoprazole,mg,numeric,40.0,40.0,80.0,23349,11713,0.3223,,,
mimiciv.hosp.prescriptions,OxyCODONE (Immediate Release),OxyCODONE (Immediate Release),mg,mixed,2.5,5.0,20.0,23329,8554,0.2354,,,
mimiciv.hosp.prescriptions,0.9% Sodium Chloride (Mini Bag Plus),0.9% Sodium Chloride (Mini Bag Plus),mL,numeric,2.0,100.0,100.0,22565,7646,0.2104,,,
mimiciv.hosp.prescriptions,Amiodarone,Amiodarone,mg,numeric,103.7355,400.0,600.0,22053,4806,0.1323,,,
mimiciv.hosp.prescriptions,Lorazepam,Lorazepam,mg,mixed,0.25,0.5,3.963,21389,7294,0.2007,,,
mimiciv.hosp.prescriptions,Heparin Flush (10 units/ml),Heparin Flush (10 units/ml),mL,numeric,1.0,2.0,5.0,21203,12929,0.3558,,,
mimiciv.hosp.prescriptions,Famotidine,Famotidine,mg,numeric,20.0,20.0,27.0092,20610,12187,0.3354,,,
mimiciv.hosp.prescriptions,CefePIME,CefePIME,g,numeric,1.0,2.0,500.0,20593,7452,0.2051,,,
mimiciv.hosp.prescriptions,D5W,D5W,mL,numeric,51.1408,250.0,1000.0,19552,8974,0.2469,,,
mimiciv.hosp.prescriptions,PHENYLEPHrine,PHENYLEPHrine,mg,numeric,6.0,50.0,240.0,19417,10019,0.2757,,,
mimiciv.hosp.prescriptions,Neutra-Phos,Neutra-Phos,PKT,numeric,1.0,2.0,2.8435,19399,9704,0.267,,,
mimiciv.hosp.prescriptions,Glucose Gel,Glucose Gel,g,numeric,1.0,15.0,15.0,19330,15807,0.435,,,
mimiciv.hosp.prescriptions,Polyethylene Glycol,Polyethylene Glycol,g,numeric,17.0,17.0,17.0,18049,12439,0.3423,,,
mimiciv.hosp.prescriptions,Soln,Soln,mL,numeric,50.0,50.0,100.0,17908,10198,0.2806,,,
mimiciv.hosp.prescriptions,Atorvastatin,Atorvastatin,mg,numeric,10.0,40.0,80.0,16998,11149,0.3068,,,
mimiciv.hosp.prescriptions,LORazepam,LORazepam,mg,mixed,0.25,0.5,2.0244,16632,6234,0.1715,,,
mimiciv.hosp.prescriptions,Albuterol 0.083% Neb Soln,Albuterol 0.083% Neb Soln,NEB,numeric,1.0,1.0,1.1758,16165,9428,0.2594,,,
mimiciv.hosp.prescriptions,Chlorhexidine Gluconate 0.12% Oral Rinse,Chlorhexidine Gluconate 0.12% Oral Rinse,mL,numeric,15.0,15.0,15.0,15912,13591,0.374,,,
mimiciv.hosp.prescriptions,NS,NS,mL,numeric,50.0,100.0,1000.0,15207,6626,0.1823,,,
mimiciv.hosp.prescriptions,Labetalol,Labetalol,mg,mixed,5.0,100.0,1154.3914,15087,5032,0.1385,,,
mimiciv.hosp.prescriptions,Nitroglycerin,Nitroglycerin,mg,numeric,8.0,100.0,100.0,15087,8116,0.2233,,,
mimiciv.hosp.prescriptions,HydrALAZINE,HydrALAZINE,mg,mixed,5.0,10.0,100.0,15035,5947,0.1636,,,
mimiciv.hosp.prescriptions,Piperacillin-Tazobactam,Piperacillin-Tazobactam,g,numeric,2.25,4.5,4.5,14612,5438,0.1496,,,
mimiciv.hosp.prescriptions,Dextrose 5%,Dextrose 5%,mL,numeric,99.347,1000.0,1000.0,14276,7842,0.2158,,,
mimiciv.hosp.prescriptions,Ranitidine,Ranitidine,mg,numeric,75.0,150.0,300.0,14207,5733,0.1578,,,
mimiciv.hosp.prescriptions,Lisinopril,Lisinopril,mg,numeric,2.5,10.0,40.0,13979,7181,0.1976,,,
mimiciv.hosp.prescriptions,Haloperidol,Haloperidol,mg,mixed,0.25,1.4475,10.0,13839,4626,0.1273,,,
mimiciv.hosp.prescriptions,NORepinephrine,NORepinephrine,mg,numeric,8.0,8.0,16.0,13793,7546,0.2076,,,
mimiciv.hosp.prescriptions,Midazolam,Midazolam,mg,mixed,0.5,100.0,203.3351,13771,6222,0.1712,,,
mimiciv.hosp.prescriptions,Dexamethasone,Dexamethasone,mg,numeric,1.0,4.0,20.0,13279,3088,0.085,,,
mimiciv.hosp.prescriptions,OxycoDONE (Immediate Release) ,OxycoDONE (Immediate Release) ,mg,mixed,2.5,5.0,20.0567,12944,6093,0.1677,,,
mimiciv.hosp.prescriptions,HydrALAzine,HydrALAzine,mg,mixed,5.0,10.0,83.8648,12943,5006,0.1378,,,
mimiciv.hosp.prescriptions,PredniSONE,PredniSONE,mg,numeric,2.0402,20.0,100.0,12866,3659,0.1007,,,
mimiciv.hosp.prescriptions,Lactulose,Lactulose,mL,numeric,15.0,30.0,60.0,12066,5510,0.1516,,,
mimiciv.hosp.prescriptions,QUEtiapine Fumarate,QUEtiapine Fumarate,mg,numeric,12.0022,25.0,230.1422,12021,3165,0.0871,,,
mimiciv.hosp.prescriptions,Influenza Vaccine Quadrivalent,Influenza Vaccine Quadrivalent,mL,numeric,0.5,0.5,0.5,11932,8926,0.2456,,,
mimiciv.hosp.prescriptions,Aspirin EC,Aspirin EC,mg,numeric,81.0,81.0,325.0,11859,7497,0.2063,,,
mimiciv.hosp.prescriptions,Diltiazem,Diltiazem,mg,numeric,5.0,30.0,125.0,11705,2719,0.0748,,,
mimiciv.hosp.prescriptions,D5 1/2NS,D5 1/2NS,mL,numeric,1000.0,1000.0,1000.0,11509,5968,0.1642,,,
mimiciv.hosp.prescriptions,Potassium Phosphate,Potassium Phosphate,mmol,numeric,15.0,15.0,30.0,11412,5617,0.1546,,,
mimiciv.hosp.prescriptions,Insulin Human Regular,Insulin Human Regular,UNIT,numeric,100.0,100.0,191.5258,11026,8619,0.2372,,,
mimiciv.hosp.prescriptions,Thiamine,Thiamine,mg,numeric,1.0,100.0,500.0,10741,5584,0.1537,,,
mimiciv.hosp.prescriptions,Albumin 25% (12.5g / 50mL),Albumin 25% (12.5g / 50mL),g,numeric,12.5,25.0,103.266,10228,3038,0.0836,,,
mimiciv.hosp.prescriptions,Levothyroxine Sodium,Levothyroxine Sodium,mcg,numeric,12.5,75.1233,294.6677,10158,4983,0.1371,,,
mimiciv.hosp.prescriptions,Sodium Bicarbonate,Sodium Bicarbonate,mEq,numeric,47.216,150.0,1300.0,9762,3796,0.1045,,,
mimiciv.hosp.prescriptions,Dexmedetomidine,Dexmedetomidine,mg,numeric,0.2,0.4,1.0,9761,5841,0.1607,,,
mimiciv.hosp.prescriptions,Milk of Magnesia,Milk of Magnesia,mL,numeric,30.0,30.0,30.0,9692,6203,0.1707,,,
mimiciv.hosp.prescriptions,Omeprazole,Omeprazole,mg,numeric,20.0,20.0,40.0,9526,6877,0.1892,,,
mimiciv.hosp.prescriptions,LevETIRAcetam,LevETIRAcetam,mg,numeric,250.0,1000.0,2000.0,9494,2538,0.0698,,,
mimiciv.hosp.prescriptions,Metoclopramide,Metoclopramide,mg,numeric,5.0,10.0,10.0,9295,6081,0.1673,,,
mimiciv.hosp.prescriptions,Gabapentin,Gabapentin,mg,numeric,100.0,300.0,1200.0,9170,4156,0.1144,,,
mimiciv.hosp.prescriptions,Syringe,Syringe,SYR,numeric,0.2,1.0,34.8616,9146,4762,0.131,,,
mimiciv.hosp.prescriptions,Albuterol Inhaler,Albuterol Inhaler,PUFF,mixed,1.0,2.0,8.0,9124,5872,0.1616,,,
mimiciv.hosp.prescriptions,LR,LR,mL,numeric,500.0,1000.0,1000.0,9106,3316,0.0912,,,
mimiciv.hosp.prescriptions,Ipratropium Bromide Neb,Ipratropium Bromide Neb,NEB,numeric,1.0,1.0,1.0,8781,5449,0.1499,,,
mimiciv.hosp.prescriptions,FoLIC Acid,FoLIC Acid,mg,numeric,1.0,1.0,4.8263,8210,5374,0.1479,,,
mimiciv.hosp.prescriptions,Potassium Chloride (Powder),Potassium Chloride (Powder),mEq,numeric,19.1339,40.0,80.0,8128,3998,0.11,,,
mimiciv.hosp.prescriptions,Metoprolol Succinate XL,Metoprolol Succinate XL,mg,numeric,12.5,50.0,200.0,7978,4896,0.1347,,,
mimiciv.hosp.prescriptions,CefazoLIN,CefazoLIN,g,numeric,1.0,2.0,2.0,7877,4891,0.1346,,,
mimiciv.hosp.prescriptions,Albumin 5% (12.5g / 250mL),Albumin 5% (12.5g / 250mL),g,numeric,12.5,12.5,48.751,7702,3738,0.1029,,,
mimiciv.hosp.prescriptions,DiphenhydrAMINE,DiphenhydrAMINE,mg,mixed,12.5,25.0,50.0,7562,3661,0.1007,,,
mimiciv.hosp.prescriptions,CefTRIAXone,CefTRIAXone,gm,numeric,1.0,1.0,2.0,7542,4373,0.1203,,,
mimiciv.hosp.prescriptions,Docusate Sodium (Liquid),Docusate Sodium (Liquid),mg,numeric,100.0,100.0,183.1168,7463,5837,0.1606,,,
mimiciv.hosp.prescriptions,Phytonadione,Phytonadione,mg,numeric,1.0,5.0,10.0,7459,4116,0.1133,,,
mimiciv.hosp.prescriptions,Sodium Phosphate,Sodium Phosphate,mmol,numeric,15.0,30.0,30.0,7443,4064,0.1118,,,
mimiciv.hosp.prescriptions,Multivitamins,Multivitamins,TAB,numeric,1.0,1.0,10.0,7297,5469,0.1505,,,
mimiciv.hosp.prescriptions,Influenza Virus Vaccine,Influenza Virus Vaccine,mL,numeric,0.5,0.5,0.5,7267,5197,0.143,,,
mimiciv.hosp.prescriptions,Lidocaine 1% (For PICC/Midline Insertions),Lidocaine 1% (For PICC/Midline Insertions),mL,numeric,5.0,5.0,5.0,7192,5145,0.1416,,,
mimiciv.hosp.prescriptions,Ketorolac,Ketorolac,mg,numeric,15.0,15.0,30.0,7150,4005,0.1102,,,
mimiciv.hosp.prescriptions,MethylPREDNISolone Sodium Succ,MethylPREDNISolone Sodium Succ,mg,numeric,4.0483,63.6685,1000.0,7116,2420,0.0666,,,
mimiciv.hosp.prescriptions,Lidocaine Jelly 2% (Glydo),Lidocaine Jelly 2% (Glydo),Appl,numeric,1.0,1.0,1.3879,6916,4052,0.1115,,,
mimiciv.hosp.prescriptions,Meropenem,Meropenem,mg,numeric,500.0,500.0,2000.0,6831,2206,0.0607,,,
mimiciv.hosp.prescriptions,Ipratropium-Albuterol Neb,Ipratropium-Albuterol Neb,NEB,numeric,1.0,1.0,1.0,6820,4047,0.1114,,,
mimiciv.hosp.prescriptions,Magnesium Oxide,Magnesium Oxide,mg,numeric,254.2207,400.0,800.0,6780,4004,0.1102,,,
mimiciv.hosp.prescriptions,CeFAZolin,CeFAZolin,g,numeric,1.0,2.0,3.0,6677,4946,0.1361,,,
mimiciv.hosp.prescriptions,Lidocaine 5% Patch,Lidocaine 5% Patch,PTCH,numeric,1.0,1.0,2.0378,6675,4827,0.1328,,,
mimiciv.hosp.prescriptions,LeVETiracetam,LeVETiracetam,mg,numeric,250.0,750.0,2000.0,6674,1995,0.0549,,,
mimiciv.hosp.prescriptions,Simvastatin,Simvastatin,mg,numeric,5.0,20.0,80.0,6470,4295,0.1182,,,
mimiciv.hosp.prescriptions,Phosphorus,Phosphorus,mg,numeric,250.0,500.0,500.0,6359,4225,0.1163,,,
mimiciv.hosp.prescriptions,Clopidogrel,Clopidogrel,mg,numeric,75.0,75.0,600.0,6257,3844,0.1058,,,
mimiciv.hosp.prescriptions,TraZODone,TraZODone,mg,numeric,12.5,25.0,185.1437,6247,3818,0.1051,,,
mimiciv.hosp.prescriptions,Diazepam,Diazepam,mg,mixed,1.0587,5.0,30.709,6126,2251,0.0619,,,
mimiciv.hosp.prescriptions,Calcium Carbonate,Calcium Carbonate,mg,numeric,500.0,500.0,1819.8623,6087,4647,0.1279,,,
mimiciv.hosp.prescriptions,Glycopyrrolate,Glycopyrrolate,mg,mixed,0.1,0.6,1.0,6025,5288,0.1455,,,
mimiciv.hosp.prescriptions,Albumin 5% (25g / 500mL),Albumin 5% (25g / 500mL),g,numeric,25.0,25.0,163.4787,5765,3373,0.0928,,,
