src_table,field_key,label,unit_observed,dtype_inferred,p01,p50,p99,n_rows,n_keys,coverage,concept,method,note
mimiciv.hosp.prescriptions,Syringe (Iso-Osmotic Dextrose),Syringe (Iso-Osmotic Dextrose),mL,numeric,20.0,20.0,50.0,4689,3218,0.0886,,,
mimiciv.hosp.prescriptions,TraMADol,TraMADol,mg,mixed,25.0,50.0,100.0,4688,2983,0.0821,,,
mimiciv.hosp.prescriptions,CeftriaXONE,CeftriaXONE,gm,numeric,1.0,1.0,2.0,4624,3007,0.0827,,,
mimiciv.hosp.prescriptions,Mupirocin Ointment 2%,Mupirocin Ointment 2%,Appl,numeric,1.0,1.0,1.0,4540,2806,0.0772,,,
mimiciv.hosp.prescriptions,HYDROmorphone,HYDROmorphone,mg,numeric,20.0,20.0,2730.9296,4535,2160,0.0594,,,
mimiciv.hosp.prescriptions,Tamsulosin,Tamsulosin,mg,numeric,0.4,0.4,0.8,4526,3251,0.0895,,,
mimiciv.hosp.prescriptions,Phenylephrine,Phenylephrine,mg,numeric,12.0,60.0,240.0,4419,2308,0.0635,,,
mimiciv.hosp.prescriptions,Potassium Chl 20 mEq / 1000 mL D5 1/2 NS,Potassium Chl 20 mEq / 1000 mL D5 1/2 NS,mL,numeric,1000.0,1000.0,1000.0,4344,2467,0.0679,,,
mimiciv.hosp.prescriptions,Amlodipine,Amlodipine,mg,numeric,2.5,5.0,10.0,4336,2406,0.0662,,,
mimiciv.hosp.prescriptions,TraMADOL (Ultram),TraMADOL (Ultram),mg,numeric,25.0,50.0,100.0,4296,2806,0.0772,,,
mimiciv.hosp.prescriptions,Multivitamins W/minerals,Multivitamins W/minerals,TAB,numeric,1.0,1.0,15.0,4191,2953,0.0813,,,
mimiciv.hosp.prescriptions,Lidocaine Jelly 2% (Urojet),Lidocaine Jelly 2% (Urojet),Appl,numeric,1.0,1.0,1.3254,4121,2979,0.082,,,
mimiciv.hosp.prescriptions,Oxycodone-Acetaminophen,Oxycodone-Acetaminophen,TAB,mixed,1.0,1.0,2.0,3866,2323,0.0639,,,
mimiciv.hosp.prescriptions,Azithromycin,Azithromycin,mg,numeric,250.0,250.0,1200.0,3858,2179,0.06,,,
mimiciv.hosp.prescriptions,Enoxaparin Sodium,Enoxaparin Sodium,mg,numeric,30.0,60.0,146.3924,3754,2226,0.0613,,,
mimiciv.hosp.prescriptions,Neostigmine,Neostigmine,mg,numeric,1.5713,3.0,3.0472,3635,3489,0.096,,,
mimiciv.hosp.prescriptions,Prochlorperazine,Prochlorperazine,mg,mixed,5.0,10.0,25.0,3597,2469,0.0679,,,
mimiciv.hosp.prescriptions,Ipratropium Bromide MDI,Ipratropium Bromide MDI,PUFF,mixed,1.8929,2.0,6.0,3594,2366,0.0651,,,
mimiciv.hosp.prescriptions,Lansoprazole Oral Disintegrating Tab,Lansoprazole Oral Disintegrating Tab,mg,numeric,30.0,30.0,30.0,3491,2806,0.0772,,,
mimiciv.hosp.prescriptions,0.83% Sodium Chloride,0.83% Sodium Chloride,mL,numeric,200.0,200.0,200.0,3469,2465,0.0678,,,
mimiciv.hosp.prescriptions,Insulin Glargine  (CVICU Protocol),Insulin Glargine  (CVICU Protocol),UNIT,categorical,,,,3410,3359,0.0924,,,
mimiciv.hosp.prescriptions,EPINEPHrine,EPINEPHrine,mg,numeric,1.1925,2.0,400.0,3398,2012,0.0554,,,
mimiciv.hosp.prescriptions,Simethicone,Simethicone,mg,mixed,40.0,40.0,127.1112,3363,2765,0.0761,,,
mimiciv.hosp.prescriptions,Acetaminophen (Liquid),Acetaminophen (Liquid),mg,numeric,451.2865,650.0,1000.0,3210,2098,0.0577,,,
mimiciv.hosp.prescriptions,Apixaban,Apixaban,mg,numeric,2.5,5.0,10.0,3047,1934,0.0532,,,
mimiciv.hosp.prescriptions,0.45% Sodium Chloride,0.45% Sodium Chloride,mL,numeric,1000.0,1000.0,1000.0,3020,1892,0.0521,,,
mimiciv.hosp.prescriptions,Ibuprofen,Ibuprofen,mg,numeric,270.2906,600.0,800.0,2993,2083,0.0573,,,
mimiciv.hosp.prescriptions,Allopurinol,Allopurinol,mg,numeric,50.0,150.0,300.0,2967,1887,0.0519,,,
mimiciv.hosp.prescriptions,Mouth Care Oral Rinse,Mouth Care Oral Rinse,mL,mixed,7.0,15.0,15.0,2800,2449,0.0674,,,
mimiciv.hosp.prescriptions,Oxycodone-Acetaminophen (5mg-325mg),Oxycodone-Acetaminophen (5mg-325mg),TAB,mixed,1.0,1.0,2.0,2706,1841,0.0507,,,
mimiciv.hosp.prescriptions,Nystatin Oral Suspension,Nystatin Oral Suspension,mL,numeric,5.0,5.0,10.0,2688,1950,0.0537,,,
mimiciv.hosp.prescriptions,Readi-Cat 2 (Barium Sulfate 2% Suspension),Readi-Cat 2 (Barium Sulfate 2% Suspension),mL,numeric,450.0,900.0,900.0,2670,2142,0.0589,,,
mimiciv.hosp.prescriptions,Nicotine Patch,Nicotine Patch,mg,numeric,7.0,14.0,21.0,2534,2025,0.0557,,,
mimiciv.hosp.prescriptions,Hydrochlorothiazide,Hydrochlorothiazide,mg,numeric,12.5,25.0,50.0,2526,1817,0.05,,,
mimiciv.hosp.prescriptions,Sarna Lotion,Sarna Lotion,Appl,numeric,1.0,1.0,1.0,2488,2240,0.0616,,,
mimiciv.hosp.prescriptions,Meperidine,Meperidine,mg,numeric,12.5,12.5,43.6953,2481,1990,0.0548,,,
mimiciv.hosp.prescriptions,Artificial Tears,Artificial Tears,DROP,categorical,1.0,2.0,2.54,2450,2125,0.0585,,,
mimiciv.hosp.prescriptions,0.9 % Sodium Chloride,0.9 % Sodium Chloride,mL,numeric,25.0,25.0,250.0,2447,2120,0.0583,,,
mimiciv.hosp.prescriptions,Sodium Chloride Nasal,Sodium Chloride Nasal,SPRY,categorical,1.0,2.0,5.0,2352,2067,0.0569,,,
mimiciv.hosp.prescriptions,Scopolamine Patch,Scopolamine Patch,PTCH,numeric,1.0,1.0,1.2903,2294,1882,0.0518,,,
mimiciv.hosp.prescriptions,Miconazole Powder 2%,Miconazole Powder 2%,Appl,numeric,1.0,1.0,1.0,2268,2001,0.0551,,,
mimiciv.hosp.prescriptions,Nitroglycerin SL,Nitroglycerin SL,mg,numeric,0.3,0.3,0.4,2229,1948,0.0536,,,
mimiciv.icu.inputevents,225158,NaCl 0.9%,mL/hour,mixed,0.9998,13.1724,481.9248,731499,29410,0.8093,,,
mimiciv.icu.inputevents,220949,Dextrose 5%,mL/hour,mixed,1.2955,14.2417,241.5702,581475,25623,0.7051,,,
mimiciv.icu.inputevents,225943,Solution,mL/hour,mixed,0.5,14.3991,400.0,349554,20743,0.5708,,,
mimiciv.icu.inputevents,222168,Propofol,mcg/kg/min,mixed,9.3805,34.8313,102.4515,256300,14348,0.3948,,,
mimiciv.icu.inputevents,226452,PO Intake,,categorical,,,,225040,24945,0.6864,,,
mimiciv.icu.inputevents,221906,Norepinephrine,mcg/kg/min,numeric,0.0114,0.1,0.5577,197273,6508,0.1791,,,
mimiciv.icu.inputevents,225799,Gastric Meds,,categorical,,,,172232,9711,0.2672,,,
mimiciv.icu.inputevents,223258,Insulin - Regular,units/hour,mixed,0.6451,3.9993,24.9451,164987,12891,0.3547,,,
mimiciv.icu.inputevents,226453,GT Flush,,categorical,,,,127757,7967,0.2192,,,
mimiciv.icu.inputevents,221744,Fentanyl,mcg/hour,mixed,12.5031,99.9979,509.3418,119012,10976,0.302,,,
mimiciv.icu.inputevents,221749,Phenylephrine,mcg/kg/min,numeric,0.102,0.8074,5.0401,106028,7373,0.2029,,,
mimiciv.icu.inputevents,225166,Potassium Chloride,,categorical,,,,99653,15545,0.4278,,,
mimiciv.icu.inputevents,225975,Heparin Sodium (Prophylaxis),,categorical,,,,74807,10762,0.2961,,,
mimiciv.icu.inputevents,225942,Fentanyl (Concentrate),mcg/hour,numeric,24.9999,100.0093,492.5231,67287,6216,0.1711,,,
mimiciv.icu.inputevents,221668,Midazolam (Versed),mg/hour,mixed,0.5,3.2077,42.6785,65150,5313,0.1462,,,
mimiciv.icu.inputevents,225798,Vancomycin,,categorical,,,,63987,13450,0.3701,,,
mimiciv.icu.inputevents,225828,LR,mL/hour,mixed,5.0,100.0327,1321.6649,63545,14553,0.4005,,,
mimiciv.icu.inputevents,221833,Hydromorphone (Dilaudid),mg/hour,mixed,0.25,3.001,20.4164,59287,6417,0.1766,,,
mimiciv.icu.inputevents,227522,KCL (Bolus),mL/hour,numeric,40.4619,50.0,100.6188,57886,10646,0.293,,,
mimiciv.icu.inputevents,221794,Furosemide (Lasix),mg/hour,mixed,0.9999,5.0117,29.6504,55359,12448,0.3425,,,
mimiciv.icu.inputevents,226089,Piggyback,mL/hour,numeric,23.0621,100.0,500.0,53229,12095,0.3328,,,
mimiciv.icu.inputevents,222056,Nitroglycerin,mcg/kg/min,numeric,0.1085,1.0,4.3685,50760,4905,0.135,,,
mimiciv.icu.inputevents,229420,Dexmedetomidine (Precedex),mcg/kg/hour,numeric,0.1961,0.8009,1.6254,45759,2343,0.0645,,,
mimiciv.icu.inputevents,225152,Heparin Sodium,units/hour,mixed,287.6282,1244.3548,3860.5555,43600,5080,0.1398,,,
mimiciv.icu.inputevents,225797,Free Water,,categorical,,,,41605,3541,0.0974,,,
mimiciv.icu.inputevents,225944,Sterile Water,mL/hour,numeric,9.6227,29.9427,102.0623,41493,4034,0.111,,,
mimiciv.icu.inputevents,228315,Acetaminophen-IV,mg/min,mixed,66.6667,66.6667,71.9602,40474,9948,0.2737,,,
mimiciv.icu.inputevents,223262,Insulin - Humalog,,categorical,,,,39315,6386,0.1757,,,
mimiciv.icu.inputevents,225154,Morphine Sulfate,mg/hour,mixed,0.6793,5.0005,47.1936,39125,7382,0.2031,,,
mimiciv.icu.inputevents,222011,Magnesium Sulfate,,categorical,,,,37857,16941,0.4662,,,
mimiciv.icu.inputevents,221456,Calcium Gluconate,,categorical,,,,34798,11034,0.3036,,,
mimiciv.icu.inputevents,225907,Famotidine (Pepcid),,categorical,,,,33078,7068,0.1945,,,
mimiciv.icu.inputevents,225851,Cefepime,,categorical,,,,32506,5217,0.1436,,,
mimiciv.icu.inputevents,225974,Metoprolol,,categorical,,,,31888,6142,0.169,,,
mimiciv.icu.inputevents,225893,Piperacillin/Tazobactam (Zosyn),,categorical,,,,30996,3900,0.1073,,,
mimiciv.icu.inputevents,225884,Metronidazole,,categorical,,,,27864,3667,0.1009,,,
mimiciv.icu.inputevents,225910,Pantoprazole (Protonix),mg/hour,mixed,7.9919,8.0,10.1324,27489,7058,0.1942,,,
mimiciv.icu.inputevents,227523,Magnesium Sulfate (Bolus),mL/hour,numeric,50.0,50.0,100.0,27214,13406,0.3689,,,
mimiciv.icu.inputevents,225850,Cefazolin,,categorical,,,,25944,7514,0.2068,,,
mimiciv.icu.inputevents,225168,Packed Red Blood Cells,mL/hour,numeric,74.79,287.9918,1845.1253,25826,7712,0.2122,,,
mimiciv.icu.inputevents,225150,Dexmedetomidine (Precedex),mcg/kg/hour,numeric,0.1764,0.7042,1.8547,25202,1835,0.0505,,,
mimiciv.icu.inputevents,222042,Nicardipine,mcg/kg/min,numeric,0.2829,1.4455,9.9343,23806,1826,0.0502,,,
mimiciv.icu.inputevents,221385,Lorazepam (Ativan),mg/hour,categorical,0.3442,2.9993,9.3009,19274,4513,0.1242,,,
mimiciv.icu.inputevents,221828,Hydralazine,mg/hour,categorical,10.0,10.0,10.0,18197,4728,0.1301,,,
mimiciv.icu.inputevents,222315,Vasopressin,units/hour,numeric,0.5977,2.4,4.3238,15564,2264,0.0623,,,
mimiciv.icu.inputevents,220864,Albumin 5%,mL/hour,numeric,200.0,500.0,999.9999,15547,5532,0.1522,,,
mimiciv.icu.inputevents,223260,Insulin - Glargine,,categorical,,,,15406,6208,0.1708,,,
mimiciv.icu.inputevents,225823,D5 1/2NS,mL/hour,numeric,5.0,81.8426,471.2293,14126,4112,0.1132,,,
mimiciv.icu.inputevents,225153,Labetalol,mg/min,mixed,0.25,1.2743,8.493,13799,2310,0.0636,,,
mimiciv.icu.inputevents,226364,OR Crystalloid Intake,,categorical,,,,12255,10372,0.2854,,,
mimiciv.icu.inputevents,220862,Albumin 25%,mL/hour,numeric,64.9097,100.0,574.9922,11476,2280,0.0627,,,
mimiciv.icu.inputevents,225855,Ceftriaxone,,categorical,,,,10236,4127,0.1136,,,
mimiciv.icu.inputevents,228316,Levetiracetam (Keppra),mg/min,mixed,4.5476,66.6667,501.0126,9677,2172,0.0598,,,
mimiciv.icu.inputevents,225859,Ciprofloxacin,,categorical,,,,8749,1982,0.0545,,,
mimiciv.icu.inputevents,220970,Fresh Frozen Plasma,mL/hour,numeric,149.1586,316.8501,1821.2588,7869,2430,0.0669,,,
mimiciv.icu.inputevents,221824,Haloperidol (Haldol),,categorical,,,,7423,2020,0.0556,,,
mimiciv.icu.inputevents,220952,Dextrose 50%,,categorical,,,,6380,2845,0.0783,,,
mimiciv.icu.inputevents,225833,Thiamine,,categorical,,,,6343,2111,0.0581,,,
mimiciv.icu.inputevents,226361,Pre-Admission/Non-ICU Intake,,categorical,,,,6118,5861,0.1613,,,
mimiciv.icu.inputevents,225170,Platelets,mL/hour,numeric,111.4925,291.2827,1339.9188,5533,2055,0.0565,,,
mimiciv.icu.inputevents,225834,K Phos,,categorical,,,,5212,3043,0.0837,,,
mimiciv.icu.inputevents,221347,Amiodarone,mg/min,mixed,0.2835,0.5017,15.6298,4914,1831,0.0504,,,
mimiciv.icu.inputevents,226372,OR Cell Saver Intake,,categorical,,,,4703,4654,0.1281,,,
